date,FB,FB_EPS,PE Ratio
2014-06-16,64.19,0.25,256.76
2014-06-17,64.4,0.25,257.6
2014-06-18,65.6,0.25,262.4
2014-06-19,64.34,0.25,257.36
2014-06-20,64.5,0.25,258.0
2014-06-23,65.37,0.25,261.48
2014-06-24,65.72,0.25,262.88
2014-06-25,67.44,0.25,269.76
2014-06-26,67.13,0.25,268.52
2014-06-27,67.6,0.25,270.4
2014-06-30,67.29,0.25,269.16
2014-07-01,68.06,0.25,272.24
2014-07-02,66.45,0.25,265.8
2014-07-03,66.29,0.25,265.16
2014-07-07,65.29,0.25,261.16
2014-07-08,62.76,0.25,251.04
2014-07-09,64.97,0.25,259.88
2014-07-10,64.87,0.25,259.48
2014-07-11,66.34,0.25,265.36
2014-07-14,67.9,0.25,271.6
2014-07-15,67.17,0.25,268.68
2014-07-16,67.66,0.25,270.64
2014-07-17,66.41,0.25,265.64
2014-07-18,68.42,0.25,273.68
2014-07-21,69.4,0.25,277.6
2014-07-22,69.27,0.25,277.08
2014-07-23,71.29,0.25,285.16
2014-07-24,74.98,0.3,249.93333333333337
2014-07-25,75.19,0.3,250.63333333333333
2014-07-28,74.92,0.3,249.73333333333335
2014-07-29,73.71,0.3,245.7
2014-07-30,74.68,0.3,248.93333333333337
2014-07-31,72.65,0.3,242.16666666666669
2014-08-01,72.36,0.3,241.20000000000002
2014-08-04,73.51,0.3,245.03333333333336
2014-08-05,72.69,0.3,242.3
2014-08-06,72.47,0.3,241.56666666666666
2014-08-07,73.17,0.3,243.9
2014-08-08,73.06,0.3,243.53333333333336
2014-08-11,73.44,0.3,244.8
2014-08-12,72.83,0.3,242.76666666666668
2014-08-13,73.77,0.3,245.9
2014-08-14,74.3,0.3,247.66666666666666
2014-08-15,73.63,0.3,245.43333333333334
2014-08-18,74.59,0.3,248.63333333333335
2014-08-19,75.29,0.3,250.9666666666667
2014-08-20,74.81,0.3,249.36666666666667
2014-08-21,74.57,0.3,248.56666666666666
2014-08-22,74.57,0.3,248.56666666666666
2014-08-25,75.02,0.3,250.06666666666666
2014-08-26,75.96,0.3,253.2
2014-08-27,74.63,0.3,248.76666666666665
2014-08-28,73.86,0.3,246.20000000000002
2014-08-29,74.82,0.3,249.39999999999998
2014-09-02,76.68,0.3,255.60000000000002
2014-09-03,75.83,0.3,252.76666666666668
2014-09-04,75.95,0.3,253.16666666666669
2014-09-05,77.26,0.3,257.53333333333336
2014-09-08,77.89,0.3,259.6333333333333
2014-09-09,76.67,0.3,255.5666666666667
2014-09-10,77.43,0.3,258.1
2014-09-11,77.92,0.3,259.73333333333335
2014-09-12,77.48,0.3,258.2666666666667
2014-09-15,74.58,0.3,248.6
2014-09-16,76.08,0.3,253.6
2014-09-17,76.43,0.3,254.7666666666667
2014-09-18,77.0,0.3,256.6666666666667
2014-09-19,77.91,0.3,259.7
2014-09-22,76.8,0.3,256.0
2014-09-23,78.29,0.3,260.9666666666667
2014-09-24,78.54,0.3,261.8
2014-09-25,77.22,0.3,257.40000000000003
2014-09-26,78.79,0.3,262.6333333333334
2014-09-29,79.0,0.3,263.33333333333337
2014-09-30,79.04,0.3,263.4666666666667
2014-10-01,76.55,0.3,255.16666666666666
2014-10-02,77.08,0.3,256.93333333333334
2014-10-03,77.44,0.3,258.1333333333333
2014-10-06,77.56,0.3,258.53333333333336
2014-10-07,76.29,0.3,254.30000000000004
2014-10-08,77.52,0.3,258.4
2014-10-09,75.91,0.3,253.03333333333333
2014-10-10,72.91,0.3,243.03333333333333
2014-10-13,72.99,0.3,243.29999999999998
2014-10-14,73.59,0.3,245.3
2014-10-15,73.21,0.3,244.03333333333333
2014-10-16,72.63,0.3,242.1
2014-10-17,75.95,0.3,253.16666666666669
2014-10-20,76.95,0.3,256.5
2014-10-21,78.69,0.3,262.3
2014-10-22,78.37,0.3,261.23333333333335
2014-10-23,80.04,0.3,266.8
2014-10-24,80.67,0.3,268.90000000000003
2014-10-27,80.28,0.3,267.6
2014-10-28,80.77,0.3,269.23333333333335
2014-10-29,75.86,0.3,252.86666666666667
2014-10-30,74.11,0.27,274.48148148148147
2014-10-31,74.99,0.27,277.7407407407407
2014-11-03,73.88,0.27,273.6296296296296
2014-11-04,75.76,0.27,280.5925925925926
2014-11-05,74.83,0.27,277.1481481481481
2014-11-06,75.26,0.27,278.74074074074076
2014-11-07,75.6,0.27,279.99999999999994
2014-11-10,75.0,0.27,277.77777777777777
2014-11-11,74.61,0.27,276.3333333333333
2014-11-12,74.72,0.27,276.7407407407407
2014-11-13,74.25,0.27,275.0
2014-11-14,74.88,0.27,277.3333333333333
2014-11-17,74.24,0.27,274.96296296296293
2014-11-18,74.34,0.27,275.3333333333333
2014-11-19,73.33,0.27,271.59259259259255
2014-11-20,73.6,0.27,272.59259259259255
2014-11-21,73.75,0.27,273.14814814814815
2014-11-24,74.01,0.27,274.1111111111111
2014-11-25,75.63,0.27,280.1111111111111
2014-11-26,77.62,0.27,287.48148148148147
