date,ABBV,ABBV_EPS,PE Ratio
2014-07-14,54.85,0.61,89.91803278688525
2014-07-15,53.44,0.61,87.60655737704919
2014-07-16,53.65,0.61,87.95081967213115
2014-07-17,53.52,0.61,87.73770491803279
2014-07-18,54.91,0.61,90.01639344262294
2014-07-21,54.0,0.61,88.52459016393443
2014-07-22,54.05,0.61,88.60655737704917
2014-07-23,54.48,0.61,89.31147540983606
2014-07-24,54.08,0.61,88.65573770491804
2014-07-25,53.18,0.61,87.18032786885246
2014-07-28,53.74,0.61,88.09836065573771
2014-07-29,53.43,0.61,87.59016393442623
2014-07-30,53.75,0.61,88.11475409836066
2014-07-31,52.34,0.61,85.8032786885246
2014-08-01,52.48,0.61,86.0327868852459
2014-08-04,53.29,0.61,87.36065573770492
2014-08-05,52.79,0.61,86.54098360655738
2014-08-06,52.05,0.61,85.32786885245902
2014-08-07,52.43,0.69,75.98550724637681
2014-08-08,52.82,0.69,76.55072463768117
2014-08-11,53.31,0.69,77.2608695652174
2014-08-12,52.84,0.69,76.57971014492755
2014-08-13,53.6,0.69,77.68115942028986
2014-08-14,54.19,0.69,78.53623188405797
2014-08-15,53.9,0.69,78.11594202898551
2014-08-18,54.31,0.69,78.71014492753625
2014-08-19,55.29,0.69,80.1304347826087
2014-08-20,55.06,0.69,79.79710144927537
2014-08-21,54.96,0.69,79.65217391304348
2014-08-22,55.2,0.69,80.00000000000001
2014-08-25,55.87,0.69,80.97101449275362
2014-08-26,55.75,0.69,80.79710144927537
2014-08-27,55.7,0.69,80.72463768115944
2014-08-28,55.6,0.69,80.57971014492755
2014-08-29,55.28,0.69,80.11594202898551
2014-09-02,55.07,0.69,79.81159420289856
2014-09-03,55.51,0.69,80.44927536231884
2014-09-04,55.54,0.69,80.4927536231884
2014-09-05,55.94,0.69,81.07246376811594
2014-09-08,55.57,0.69,80.53623188405798
2014-09-09,56.95,0.69,82.53623188405798
2014-09-10,57.19,0.69,82.8840579710145
2014-09-11,57.85,0.69,83.84057971014494
2014-09-12,57.88,0.69,83.8840579710145
2014-09-15,57.93,0.69,83.95652173913044
2014-09-16,58.6,0.69,84.92753623188406
2014-09-17,59.62,0.69,86.40579710144928
2014-09-18,59.45,0.69,86.15942028985508
2014-09-19,59.06,0.69,85.59420289855073
2014-09-22,58.71,0.69,85.08695652173914
2014-09-23,57.56,0.69,83.42028985507247
2014-09-24,59.05,0.69,85.57971014492753
2014-09-25,58.0,0.69,84.05797101449276
2014-09-26,59.19,0.69,85.78260869565217
2014-09-29,58.52,0.69,84.81159420289856
2014-09-30,57.76,0.69,83.71014492753623
2014-10-01,57.23,0.69,82.94202898550725
2014-10-02,56.67,0.69,82.1304347826087
2014-10-03,58.69,0.69,85.05797101449275
2014-10-06,57.81,0.69,83.78260869565219
2014-10-07,56.65,0.69,82.10144927536233
2014-10-08,58.34,0.69,84.55072463768117
2014-10-09,56.72,0.69,82.20289855072464
2014-10-10,54.97,0.69,79.66666666666667
2014-10-13,53.62,0.69,77.71014492753623
2014-10-14,54.13,0.69,78.44927536231884
2014-10-15,54.63,0.69,79.17391304347827
2014-10-16,52.9,0.69,76.66666666666667
2014-10-17,53.37,0.69,77.34782608695653
2014-10-20,54.41,0.69,78.85507246376812
2014-10-21,56.29,0.69,81.57971014492755
2014-10-22,56.9,0.69,82.46376811594203
2014-10-23,59.52,0.69,86.2608695652174
2014-10-24,60.29,0.69,87.3768115942029
2014-10-27,60.49,0.69,87.66666666666667
2014-10-28,60.93,0.69,88.30434782608697
2014-10-29,59.98,0.69,86.92753623188406
2014-10-30,61.18,0.69,88.66666666666667
2014-10-31,63.46,0.69,91.97101449275362
2014-11-03,63.25,0.69,91.66666666666667
2014-11-04,62.66,0.69,90.81159420289855
2014-11-05,62.54,0.69,90.6376811594203
2014-11-06,62.71,0.69,90.8840579710145
2014-11-07,61.5,0.51,120.58823529411764
2014-11-10,63.79,0.51,125.07843137254902
2014-11-11,63.85,0.51,125.19607843137256
2014-11-12,63.76,0.51,125.01960784313725
2014-11-13,63.63,0.51,124.76470588235294
2014-11-14,64.0,0.51,125.49019607843137
2014-11-17,65.04,0.51,127.5294117647059
2014-11-18,66.05,0.51,129.50980392156862
2014-11-19,65.5,0.51,128.4313725490196
