date,C,C_EPS,PE Ratio
1992-11-05,34.86,,
1992-11-06,35.59,,
1992-11-09,35.38,,
1992-11-10,35.79,,
1992-11-11,36.83,,
1992-11-12,37.56,,
1992-11-13,36.94,,
1992-11-16,36.94,,
1992-11-17,36.94,,
1992-11-18,36.52,,
1992-11-19,36.83,,
1992-11-20,37.25,,
1992-11-23,37.25,,
1992-11-24,37.76,,
1992-11-25,38.18,,
1992-11-27,38.6,,
1992-11-30,39.63,,
1992-12-01,40.15,,
1992-12-02,40.26,,
1992-12-03,40.05,,
1992-12-04,40.05,,
1992-12-07,39.63,,
1992-12-08,40.36,,
1992-12-09,39.84,,
1992-12-10,40.05,,
1992-12-11,39.84,,
1992-12-14,39.84,,
1992-12-15,39.22,,
1992-12-16,38.7,,
1992-12-17,38.7,,
1992-12-18,41.4,,
1992-12-21,40.36,,
1992-12-22,40.36,,
1992-12-23,40.77,,
1992-12-24,40.67,,
1992-12-28,41.08,,
1992-12-29,40.26,,
1992-12-30,40.46,,
1992-12-31,40.15,,
1993-01-04,40.46,,
1993-01-05,40.46,,
1993-01-06,40.88,,
1993-01-07,41.5,,
1993-01-08,41.08,,
1993-01-11,40.36,,
1993-01-12,41.19,,
1993-01-13,41.71,,
1993-01-14,43.16,,
1993-01-15,43.26,,
1993-01-18,43.06,,
1993-01-19,42.33,,
1993-01-20,42.95,,
1993-01-21,42.95,,
1993-01-22,43.58,,
1993-01-25,43.89,,
1993-01-26,43.99,,
1993-01-27,44.2,,
1993-01-28,44.72,,
1993-01-29,44.09,,
1993-02-01,44.92,,
1993-02-02,45.86,,
1993-02-03,47.31,,
1993-02-04,48.66,,
1993-02-05,46.69,,
1993-02-08,47.1,,
1993-02-09,46.06,,
1993-02-10,46.79,,
1993-02-11,47.1,,
1993-02-12,46.48,,
1993-02-16,43.68,,
1993-02-17,43.89,,
1993-02-18,43.99,,
1993-02-19,45.65,,
1993-02-22,44.82,,
1993-02-23,43.16,,
1993-02-24,43.78,,
1993-02-25,45.86,,
1993-02-26,45.55,,
1993-03-01,45.44,,
1993-03-02,47.15,,
1993-03-03,47.93,,
1993-03-04,46.84,,
1993-03-05,47.47,,
1993-03-08,49.8,,
1993-03-09,55.71,,
1993-03-10,58.36,,
1993-03-11,59.76,,
1993-03-12,61.63,,
1993-03-15,61.94,,
1993-03-16,59.6,,
1993-03-17,58.05,,
1993-03-18,58.51,,
1993-03-19,56.18,,
1993-03-22,56.49,,
1993-03-23,55.87,,
1993-03-24,57.74,,
1993-03-25,57.58,,
1993-03-26,58.36,,
1993-03-29,58.05,,
1993-03-30,58.2,,
1993-03-31,57.43,,
1993-04-01,55.71,,
1993-04-02,56.18,,
1993-04-05,55.87,,
1993-04-06,55.09,,
1993-04-07,56.96,,
1993-04-08,56.65,,
1993-04-12,58.05,,
1993-04-13,61.01,,
1993-04-14,62.09,,
1993-04-15,60.23,,
1993-04-16,59.45,,
1993-04-19,58.36,,
1993-04-20,57.43,,
1993-04-21,56.65,,
1993-04-22,56.96,,
1993-04-23,56.65,,
1993-04-26,51.82,,
1993-04-27,54.78,,
1993-04-28,55.71,,
1993-04-29,55.25,,
1993-04-30,57.27,,
1993-05-03,56.03,,
1993-05-04,56.8,,
1993-05-05,56.49,,
1993-05-06,56.03,,
1993-05-07,55.56,,
1993-05-10,57.27,,
1993-05-11,57.74,,
1993-05-12,57.89,,
1993-05-13,56.96,,
1993-05-14,55.25,,
1993-05-17,55.4,,
1993-05-18,55.87,,
1993-05-19,56.34,,
1993-05-20,57.74,,
1993-05-21,57.58,,
1993-05-24,57.27,,
1993-05-25,57.11,,
1993-05-26,58.98,,
1993-05-27,58.98,,
1993-05-28,57.74,,
1993-06-01,57.74,,
1993-06-02,58.67,,
1993-06-03,58.05,,
1993-06-04,57.27,,
1993-06-07,54.78,,
1993-06-08,55.25,,
1993-06-09,54.94,,
1993-06-10,54.78,,
1993-06-11,55.09,,
1993-06-14,57.11,,
1993-06-15,56.49,,
1993-06-16,56.49,,
1993-06-17,56.49,,
1993-06-18,56.03,,
1993-06-21,56.96,,
1993-06-22,57.27,,
1993-06-23,56.96,,
1993-06-24,61.32,,
1993-06-25,62.09,,
1993-06-28,65.52,,
1993-06-29,64.9,,
1993-06-30,65.52,,
1993-07-01,64.58,,
1993-07-02,62.87,,
1993-07-06,62.41,,
1993-07-07,64.43,,
1993-07-08,66.61,,
1993-07-09,65.05,,
1993-07-12,67.23,,
1993-07-13,65.21,,
1993-07-14,64.12,,
1993-07-15,64.58,,
1993-07-16,64.12,,
1993-07-19,65.21,,
1993-07-20,66.45,,
1993-07-21,67.23,,
1993-07-22,65.21,,
1993-07-23,66.61,,
1993-07-26,66.61,,
1993-07-27,66.61,,
1993-07-28,66.92,,
1993-07-29,67.7,,
1993-07-30,67.23,,
1993-08-02,67.54,,
1993-08-03,68.47,,
1993-08-04,68.32,,
1993-08-05,67.54,,
1993-08-06,68.47,,
1993-08-09,70.65,,
1993-08-10,70.65,,
1993-08-11,69.88,,
1993-08-12,69.72,,
1993-08-13,69.56,,
1993-08-16,69.1,,
1993-08-17,68.63,,
1993-08-18,68.32,,
1993-08-19,70.19,,
1993-08-20,68.79,,
1993-08-23,69.56,,
1993-08-24,70.34,,
1993-08-25,70.96,,
1993-08-26,72.37,,
1993-08-27,70.96,,
1993-08-30,71.79,,
1993-08-31,73.66,,
1993-09-01,74.49,,
1993-09-02,73.04,,
1993-09-03,73.66,,
1993-09-07,72.63,,
1993-09-08,70.55,,
1993-09-09,72.63,,
1993-09-10,74.7,,
1993-09-13,75.74,,
1993-09-14,77.19,,
1993-09-15,78.23,,
1993-09-16,78.02,,
1993-09-17,78.43,,
1993-09-20,78.43,,
1993-09-21,76.36,,
1993-09-22,78.64,,
1993-09-23,80.3,,
1993-09-24,80.51,,
1993-09-27,81.34,,
1993-09-28,82.17,,
1993-09-29,81.55,,
1993-09-30,79.26,,
1993-10-01,79.68,,
1993-10-04,79.26,,
1993-10-05,79.68,,
1993-10-06,79.06,,
1993-10-07,77.61,,
1993-10-08,77.19,,
1993-10-11,77.4,,
1993-10-12,80.1,,
1993-10-13,79.68,,
1993-10-14,80.72,,
1993-10-15,78.02,,
1993-10-18,77.19,,
1993-10-19,75.53,,
1993-10-20,74.91,,
1993-10-21,74.08,,
1993-10-22,74.08,,
1993-10-25,73.25,,
1993-10-26,72.0,,
1993-10-27,71.38,,
1993-10-28,72.83,,
1993-10-29,73.25,,
1993-11-01,72.42,,
1993-11-02,70.34,,
1993-11-03,66.61,,
1993-11-04,66.82,,
1993-11-05,67.44,,
1993-11-08,69.93,,
1993-11-09,70.55,,
1993-11-10,70.34,,
1993-11-11,70.34,,
1993-11-12,69.31,,
1993-11-15,68.68,,
1993-11-16,68.06,,
1993-11-17,67.64,,
1993-11-18,65.99,,
1993-11-19,66.4,,
1993-11-22,64.95,,
1993-11-23,67.23,,
1993-11-24,65.99,,
1993-11-26,66.4,,
1993-11-29,66.61,,
1993-11-30,66.4,,
1993-12-01,67.85,,
1993-12-02,67.64,,
1993-12-03,68.68,,
1993-12-06,71.17,,
1993-12-07,69.93,,
1993-12-08,69.1,,
1993-12-09,69.72,,
1993-12-10,68.27,,
