date,TFC,TFC_EPS,PE Ratio
1983-09-16,3.06,,
1983-09-19,3.06,,
1983-09-20,3.06,,
1983-09-21,3.08,,
1983-09-22,3.11,,
1983-09-23,3.11,,
1983-09-26,3.11,,
1983-09-27,3.17,,
1983-09-28,3.19,,
1983-09-29,3.19,,
1983-09-30,3.22,,
1983-10-03,3.22,,
1983-10-04,3.22,,
1983-10-05,3.25,,
1983-10-06,3.28,,
1983-10-07,3.31,,
1983-10-10,3.31,,
1983-10-11,3.31,,
1983-10-12,3.25,,
1983-10-13,3.25,,
1983-10-14,3.25,,
1983-10-17,3.25,,
1983-10-18,3.28,,
1983-10-19,3.28,,
1983-10-20,3.28,,
1983-10-21,3.28,,
1983-10-24,3.28,,
1983-10-25,3.28,,
1983-10-26,3.28,,
1983-10-27,3.28,,
1983-10-28,3.28,,
1983-10-31,3.28,,
1983-11-01,3.28,,
1983-11-02,3.28,,
1983-11-03,3.31,,
1983-11-04,3.31,,
1983-11-07,3.31,,
1983-11-08,3.31,,
1983-11-09,3.31,,
1983-11-10,3.31,,
1983-11-11,3.31,,
1983-11-14,3.33,,
1983-11-15,3.33,,
1983-11-16,3.36,,
1983-11-17,3.33,,
1983-11-18,3.33,,
1983-11-21,3.33,,
1983-11-22,3.33,,
1983-11-23,3.36,,
1983-11-25,3.44,,
1983-11-28,3.44,,
1983-11-29,3.5,,
1983-11-30,3.56,,
1983-12-01,3.64,,
1983-12-02,3.64,,
1983-12-05,3.64,,
1983-12-06,3.64,,
1983-12-07,3.61,,
1983-12-08,3.58,,
1983-12-09,3.58,,
1983-12-12,3.58,,
1983-12-13,3.58,,
1983-12-14,3.58,,
1983-12-15,3.58,,
1983-12-16,3.58,,
1983-12-19,3.58,,
1983-12-20,3.58,,
1983-12-21,3.61,,
1983-12-22,3.61,,
1983-12-23,3.61,,
1983-12-27,3.61,,
1983-12-28,3.61,,
1983-12-29,3.61,,
1983-12-30,3.64,,
1984-01-03,3.64,,
1984-01-04,3.64,,
1984-01-05,3.64,,
1984-01-06,3.64,,
1984-01-09,3.64,,
1984-01-10,3.64,,
1984-01-11,3.67,,
1984-01-12,3.67,,
1984-01-13,3.67,,
1984-01-16,3.67,,
1984-01-17,3.67,,
1984-01-18,3.69,,
1984-01-19,3.69,,
1984-01-20,3.69,,
1984-01-23,3.69,,
1984-01-24,3.72,,
1984-01-25,3.72,,
1984-01-26,3.75,,
1984-01-27,3.75,,
1984-01-30,3.75,,
1984-01-31,3.75,,
1984-02-01,3.75,,
1984-02-02,3.75,,
1984-02-03,3.75,,
1984-02-06,3.75,,
1984-02-07,3.75,,
1984-02-08,3.75,,
1984-02-09,3.75,,
1984-02-10,3.75,,
1984-02-13,3.75,,
1984-02-14,3.75,,
1984-02-15,3.75,,
1984-02-16,3.75,,
1984-02-17,3.75,,
1984-02-21,3.75,,
1984-02-22,3.75,,
1984-02-23,3.75,,
1984-02-24,3.75,,
1984-02-27,3.75,,
1984-02-28,3.75,,
1984-02-29,3.75,,
1984-03-01,3.75,,
1984-03-02,3.78,,
1984-03-05,3.81,,
1984-03-06,3.81,,
1984-03-07,3.81,,
1984-03-08,3.78,,
1984-03-09,3.81,,
1984-03-12,3.81,,
1984-03-13,3.81,,
1984-03-14,3.81,,
1984-03-15,3.81,,
1984-03-16,3.86,,
1984-03-19,3.86,,
1984-03-20,3.86,,
1984-03-21,3.89,,
1984-03-22,3.92,,
1984-03-23,3.92,,
1984-03-26,3.92,,
1984-03-27,3.92,,
1984-03-28,3.92,,
1984-03-29,3.92,,
1984-03-30,3.92,,
1984-04-02,3.92,,
1984-04-03,3.92,,
1984-04-04,3.92,,
1984-04-05,3.92,,
1984-04-06,3.92,,
1984-04-09,3.92,,
1984-04-10,3.92,,
1984-04-11,3.92,,
1984-04-12,3.94,,
1984-04-13,3.92,,
1984-04-16,3.92,,
1984-04-17,3.89,,
1984-04-18,3.89,,
1984-04-19,3.89,,
1984-04-23,3.89,,
1984-04-24,3.86,,
1984-04-25,3.78,,
1984-04-26,3.75,,
1984-04-27,3.69,,
1984-04-30,3.64,,
1984-05-01,3.64,,
1984-05-02,3.64,,
1984-05-03,3.64,,
1984-05-04,3.67,,
1984-05-07,3.67,,
1984-05-08,3.67,,
1984-05-09,3.67,,
1984-05-10,3.67,,
1984-05-11,3.67,,
1984-05-14,3.67,,
1984-05-15,3.67,,
1984-05-16,3.67,,
1984-05-17,3.67,,
1984-05-18,3.67,,
1984-05-21,3.67,,
1984-05-22,3.67,,
1984-05-23,3.67,,
1984-05-24,3.61,,
1984-05-25,3.56,,
1984-05-29,3.56,,
1984-05-30,3.5,,
1984-05-31,3.5,,
1984-06-01,3.5,,
1984-06-04,3.5,,
1984-06-05,3.5,,
1984-06-06,3.5,,
1984-06-07,3.53,,
1984-06-08,3.53,,
