date,close price,TPR_SHE,TPR_TA,TPR_TL,market cap,PB Ratio
2011-11-21,59.79,1816503000.0,2878078000.0,1061575000.0,17672249880.0,9.728720448025685
2011-11-22,59.88,1816503000.0,2878078000.0,1061575000.0,17698851360.0,9.74336478387319
2011-11-23,58.7,1816503000.0,2878078000.0,1061575000.0,17350076400.0,9.551361269428126
2011-11-25,58.25,1816503000.0,2878078000.0,1061575000.0,17217069000.0,9.478139590190603
2011-11-28,62.13,1816503000.0,2878078000.0,1061575000.0,18363888360.0,10.109473180060808
2011-11-29,60.2,1816503000.0,2878078000.0,1061575000.0,17793434400.0,9.795433533553206
2011-11-30,62.59,1816503000.0,2878078000.0,1061575000.0,18499851480.0,10.184322007725834
2011-12-01,62.69,1816503000.0,2878078000.0,1061575000.0,18529408680.0,10.20059349200084
2011-12-02,62.2,1816503000.0,2878078000.0,1061575000.0,18384578400.0,10.120863219053312
2011-12-05,63.47,1816503000.0,2878078000.0,1061575000.0,18759954840.0,10.327511069345881
2011-12-06,63.09,1816503000.0,2878078000.0,1061575000.0,18647637480.0,10.26567942910086
2011-12-07,62.65,1816503000.0,2878078000.0,1061575000.0,18517585800.0,10.194084898290837
2011-12-08,61.05,1816503000.0,2878078000.0,1061575000.0,18044670600.0,9.933741149890752
2011-12-09,62.45,1816503000.0,2878078000.0,1061575000.0,18458471400.0,10.161541929740826
2011-12-12,61.53,1816503000.0,2878078000.0,1061575000.0,18186545160.0,10.011844274410777
2011-12-13,60.06,1816503000.0,2878078000.0,1061575000.0,17752054320.0,9.772653455568198
2011-12-14,59.51,1816503000.0,2878078000.0,1061575000.0,17589489720.0,9.68316029205567
2011-12-15,58.81,1816503000.0,2878078000.0,1061575000.0,17382589320.0,9.569259902130632
2011-12-16,57.59,1816503000.0,2878078000.0,1061575000.0,17021991480.000002,9.370747793975568
2011-12-19,56.92,1816503000.0,2878078000.0,1061575000.0,16823958240.0,9.261728849333032
2011-12-20,58.64,1816503000.0,2878078000.0,1061575000.0,17332342080.0,9.541598378863123
2011-12-21,59.87,1816503000.0,2878078000.0,1061575000.0,17695895640.0,9.74173763544569
2011-12-22,59.74,1816503000.0,2878078000.0,1061575000.0,17657471280.0,9.720584705888182
2011-12-23,61.19,1816503000.0,2878078000.0,1061575000.0,18086050680.0,9.95652122787576
2011-12-27,61.74,1816503000.0,2878078000.0,1061575000.0,18248615280.0,10.046014391388288
2011-12-28,60.86,1816503000.0,2878078000.0,1061575000.0,17988511920.0,9.902825329768241
2011-12-29,61.54,1816503000.0,2878078000.0,1061575000.0,18189500880.0,10.013471422838277
2011-12-30,61.04,1816503000.0,2878078000.0,1061575000.0,18041714880.0,9.932114001463251
2012-01-03,60.04,1816503000.0,2878078000.0,1061575000.0,17708918080.0,9.748906596906254
2012-01-04,61.59,1816503000.0,2878078000.0,1061575000.0,18166093680.0,10.000585564681149
2012-01-05,61.86,1816503000.0,2878078000.0,1061575000.0,18245730720.0,10.044426417132259
2012-01-06,62.64,1816503000.0,2878078000.0,1061575000.0,18475793280.0,10.17107776865769
2012-01-09,62.86,1816503000.0,2878078000.0,1061575000.0,18540682720.0,10.206799944728965
2012-01-10,62.32,1816503000.0,2878078000.0,1061575000.0,18381408640.0,10.119118239826744
2012-01-11,61.0,1816503000.0,2878078000.0,1061575000.0,17992072000.0,9.904785183399092
2012-01-12,61.35,1816503000.0,2878078000.0,1061575000.0,18095305200.0,9.96161591805794
2012-01-13,62.02,1816503000.0,2878078000.0,1061575000.0,18292923040.0,10.070406181547732
2012-01-17,62.67,1816503000.0,2878078000.0,1061575000.0,18484641840.0,10.17594897448559
2012-01-18,64.55,1816503000.0,2878078000.0,1061575000.0,19039151600.0,10.4812112063674
2012-01-19,65.0,1816503000.0,2878078000.0,1061575000.0,19171880000.0,10.554279293785918
2012-01-20,64.84,1816503000.0,2878078000.0,1061575000.0,19124687680.0,10.528299529370445
2012-01-23,64.24,1816503000.0,2878078000.0,1061575000.0,18947716480.0,10.430875412812421
2012-01-24,67.97,1816503000.0,2878078000.0,1061575000.0,20047887440.0,11.036528670748135
2012-01-25,69.3,1816503000.0,2878078000.0,1061575000.0,20440173600.0,11.252485462451755
2012-01-26,68.89,1816503000.0,2878078000.0,1061575000.0,20319243280.0,11.185912316137106
2012-01-27,68.47,1816503000.0,2878078000.0,1061575000.0,20195363440.0,11.117715434546488
2012-01-30,68.51,1816503000.0,2878078000.0,1061575000.0,20207161520.0,11.124210375650357
2012-01-31,70.05,1816503000.0,2878078000.0,1061575000.0,20661387600.0,11.374265608149285
2012-02-01,70.6,1816503000.0,2878078000.0,1061575000.0,20823611200.0,11.463571048327474
2012-02-02,70.76,1816503000.0,2878078000.0,1061575000.0,20870803520.0,11.489550812742946
2012-02-03,72.59,1816503000.0,2878078000.0,1061575000.0,21410565680.0,11.78669436824492
2012-02-06,72.57,1816503000.0,2878078000.0,1061575000.0,21404666639.999996,11.783446897692983
2012-02-07,72.38,1816503000.0,2878078000.0,1061575000.0,21348625760.0,11.75259592744961
2012-02-08,73.21,1868726000.0,3100885000.0,1232159000.0,21593435920.0,11.555164277695072
2012-02-09,74.04,1868726000.0,3100885000.0,1232159000.0,21838246080.0,11.68616805245927
2012-02-10,74.54,1868726000.0,3100885000.0,1232159000.0,21985722080.0,11.765085989064207
2012-02-13,74.99,1868726000.0,3100885000.0,1232159000.0,22118450480.0,11.836112132008651
2012-02-14,75.82,1868726000.0,3100885000.0,1232159000.0,22363260639.999996,11.967115906772847
2012-02-15,75.12,1868726000.0,3100885000.0,1232159000.0,22156794240.0,11.856630795525936
2012-02-16,74.52,1868726000.0,3100885000.0,1232159000.0,21979823040.0,11.76192927160001
2012-02-17,75.03,1868726000.0,3100885000.0,1232159000.0,22130248560.0,11.842425566937047
2012-02-21,74.3,1868726000.0,3100885000.0,1232159000.0,21914933600.0,11.727205379493837
2012-02-22,74.29,1868726000.0,3100885000.0,1232159000.0,21911984080.0,11.725627020761738
2012-02-23,73.98,1868726000.0,3100885000.0,1232159000.0,21820548960.0,11.676697900066676
2012-02-24,75.28,1868726000.0,3100885000.0,1232159000.0,22203986560.0,11.881884535239516
2012-02-27,76.05,1868726000.0,3100885000.0,1232159000.0,22431099600.0,12.00341815761112
2012-02-28,75.25,1868726000.0,3100885000.0,1232159000.0,22195138000.0,11.87714945904322
2012-02-29,74.84,1868726000.0,3100885000.0,1232159000.0,22074207680.0,11.812436751027171
2012-03-01,76.74,1868726000.0,3100885000.0,1232159000.0,22634616480.0,12.112324910125936
2012-03-02,76.49,1868726000.0,3100885000.0,1232159000.0,22560878480.0,12.072865941823467
2012-03-05,76.17,1868726000.0,3100885000.0,1232159000.0,22466493840.0,12.022358462396307
2012-03-06,73.12,1868726000.0,3100885000.0,1232159000.0,21566890240.0,11.540959049106183
2012-03-07,73.39,1868726000.0,3100885000.0,1232159000.0,21646527280.0,11.58357473487285
2012-03-08,76.79,1868726000.0,3100885000.0,1232159000.0,22649364080.0,12.12021670378643
2012-03-09,77.31,1868726000.0,3100885000.0,1232159000.0,22802739120.0,12.202291357855566
2012-03-12,77.26,1868726000.0,3100885000.0,1232159000.0,22787991520.0,12.194399564195072
2012-03-13,78.68,1868726000.0,3100885000.0,1232159000.0,23206823360.000004,12.4185265041531
2012-03-14,78.77,1868726000.0,3100885000.0,1232159000.0,23233369040.0,12.432731732741985
2012-03-15,78.19,1868726000.0,3100885000.0,1232159000.0,23062296880.0,12.341186926280256
2012-03-16,77.84,1868726000.0,3100885000.0,1232159000.0,22959063680.0,12.2859443706568
2012-03-19,77.36,1868726000.0,3100885000.0,1232159000.0,22817486720.0,12.210183151516059
2012-03-20,78.24,1868726000.0,3100885000.0,1232159000.0,23077044480.0,12.349078719940751
2012-03-21,78.77,1868726000.0,3100885000.0,1232159000.0,23233369040.0,12.432731732741985
2012-03-22,78.37,1868726000.0,3100885000.0,1232159000.0,23115388240.0,12.369597383458036
2012-03-23,77.09,1868726000.0,3100885000.0,1232159000.0,22737849680.0,12.167567465749393
