date,close price,DGX_SHE,DGX_TA,DGX_TL,market cap,PB Ratio
2016-09-19,83.28,4537000000.0,10109000000.0,5572000000.0,11909040000.0,2.6248710601719196
2016-09-20,83.1,4537000000.0,10109000000.0,5572000000.0,11883300000.0,2.6191977077363897
2016-09-21,84.86,4537000000.0,10109000000.0,5572000000.0,12134980000.0,2.674670487106017
2016-09-22,85.73,4537000000.0,10109000000.0,5572000000.0,12259390000.0,2.7020916905444126
2016-09-23,85.44,4537000000.0,10109000000.0,5572000000.0,12217920000.0,2.6929512893982808
2016-09-26,84.61,4537000000.0,10109000000.0,5572000000.0,12099230000.0,2.666790830945559
2016-09-27,84.88,4537000000.0,10109000000.0,5572000000.0,12137840000.0,2.675300859598854
2016-09-28,84.94,4537000000.0,10109000000.0,5572000000.0,12146420000.0,2.677191977077364
2016-09-29,83.55,4537000000.0,10109000000.0,5572000000.0,11947650000.0,2.6333810888252147
2016-09-30,84.63,4537000000.0,10109000000.0,5572000000.0,12102090000.0,2.6674212034383955
2016-10-03,84.07,4537000000.0,10109000000.0,5572000000.0,11937939999.999998,2.6312409080890453
2016-10-04,83.69,4537000000.0,10109000000.0,5572000000.0,11883980000.0,2.6193475865109104
2016-10-05,84.05,4537000000.0,10109000000.0,5572000000.0,11935100000.0,2.6306149437954596
2016-10-06,84.23,4537000000.0,10109000000.0,5572000000.0,11960660000.0,2.6362486224377344
2016-10-07,84.74,4537000000.0,10109000000.0,5572000000.0,12033080000.0,2.652210711924179
2016-10-10,84.83,4537000000.0,10109000000.0,5572000000.0,12045860000.0,2.655027551245316
2016-10-11,83.31,4537000000.0,10109000000.0,5572000000.0,11830020000.0,2.607454264932775
2016-10-12,83.23,4537000000.0,10109000000.0,5572000000.0,11818660000.0,2.6049504077584307
2016-10-13,83.32,4537000000.0,10109000000.0,5572000000.0,11831439999.999998,2.6077672470795674
2016-10-14,83.17,4537000000.0,10109000000.0,5572000000.0,11810140000.0,2.6030725148776725
2016-10-17,83.04,4537000000.0,10109000000.0,5572000000.0,11791680000.0,2.599003746969363
2016-10-18,83.7,4537000000.0,10109000000.0,5572000000.0,11885400000.0,2.6196605686577032
2016-10-19,82.98,4537000000.0,10109000000.0,5572000000.0,11783160000.0,2.597125854088605
2016-10-20,84.57,4537000000.0,10109000000.0,5572000000.0,12008939999.999998,2.646890015428697
2016-10-21,83.69,4663000000.0,10173000000.0,5510000000.0,11883980000.0,2.548569590392451
2016-10-24,83.67,4663000000.0,10173000000.0,5510000000.0,11881140000.0,2.5479605404246195
2016-10-25,83.17,4663000000.0,10173000000.0,5510000000.0,11810140000.0,2.5327342912288224
2016-10-26,80.15,4663000000.0,10173000000.0,5510000000.0,11381300000.0,2.4407677460862107
2016-10-27,79.93,4663000000.0,10173000000.0,5510000000.0,11350060000.000002,2.4340681964400606
2016-10-28,80.44,4663000000.0,10173000000.0,5510000000.0,11422480000.0,2.4495989706197725
