date,close price,APA_SHE,APA_TA,APA_TL,market cap,PB Ratio
1992-07-07,6.87,-365000000.0,139000000.0,505000000.0,,
1992-07-08,7.09,-365000000.0,139000000.0,505000000.0,,
1992-07-09,7.36,-365000000.0,139000000.0,505000000.0,,
1992-07-10,7.79,-365000000.0,139000000.0,505000000.0,,
1992-07-13,7.74,-365000000.0,139000000.0,505000000.0,,
1992-07-14,8.12,-365000000.0,139000000.0,505000000.0,,
1992-07-15,8.01,-365000000.0,139000000.0,505000000.0,,
1992-07-16,7.95,-365000000.0,139000000.0,505000000.0,,
1992-07-17,7.63,-365000000.0,139000000.0,505000000.0,,
1992-07-20,7.74,-365000000.0,139000000.0,505000000.0,,
1992-07-21,7.79,-365000000.0,139000000.0,505000000.0,,
1992-07-22,7.79,-365000000.0,139000000.0,505000000.0,,
1992-07-23,7.68,-365000000.0,139000000.0,505000000.0,,
1992-07-24,7.79,-365000000.0,139000000.0,505000000.0,,
1992-07-27,7.85,-365000000.0,139000000.0,505000000.0,,
1992-07-28,8.06,-365000000.0,139000000.0,505000000.0,,
1992-07-29,8.17,-365000000.0,139000000.0,505000000.0,,
1992-07-30,8.17,-365000000.0,139000000.0,505000000.0,,
1992-07-31,8.17,-365000000.0,139000000.0,505000000.0,,
1992-08-03,8.12,-365000000.0,139000000.0,505000000.0,,
1992-08-04,8.06,-365000000.0,139000000.0,505000000.0,,
1992-08-05,7.9,-365000000.0,139000000.0,505000000.0,,
1992-08-06,7.9,-365000000.0,139000000.0,505000000.0,,
1992-08-07,7.95,-365000000.0,139000000.0,505000000.0,,
1992-08-10,7.79,-365000000.0,139000000.0,505000000.0,,
1992-08-11,7.85,-365000000.0,139000000.0,505000000.0,,
1992-08-12,7.95,-365000000.0,139000000.0,505000000.0,,
1992-08-13,8.28,-365000000.0,139000000.0,505000000.0,,
1992-08-14,8.39,-365000000.0,139000000.0,505000000.0,,
1992-08-17,8.33,-365000000.0,139000000.0,505000000.0,,
1992-08-18,8.33,-365000000.0,139000000.0,505000000.0,,
1992-08-19,8.23,-365000000.0,139000000.0,505000000.0,,
1992-08-20,8.06,-365000000.0,139000000.0,505000000.0,,
1992-08-21,8.01,-365000000.0,139000000.0,505000000.0,,
1992-08-24,7.95,-365000000.0,139000000.0,505000000.0,,
1992-08-25,8.12,-365000000.0,139000000.0,505000000.0,,
1992-08-26,8.23,-365000000.0,139000000.0,505000000.0,,
1992-08-27,8.44,-365000000.0,139000000.0,505000000.0,,
1992-08-28,8.71,-365000000.0,139000000.0,505000000.0,,
1992-08-31,8.77,-365000000.0,139000000.0,505000000.0,,
1992-09-01,8.6,-365000000.0,139000000.0,505000000.0,,
1992-09-02,8.87,-365000000.0,139000000.0,505000000.0,,
1992-09-03,9.04,-365000000.0,139000000.0,505000000.0,,
1992-09-04,9.04,-365000000.0,139000000.0,505000000.0,,
1992-09-08,9.04,-365000000.0,139000000.0,505000000.0,,
