date,NTRS,NTRS_SHE,PB Ratio
2015-01-06,14879657071.800001,8542600000.0,1.741818307283497
2015-01-07,15119651540.7,8542600000.0,1.7699121509493598
2015-01-08,15354940235.7,8542600000.0,1.7974551349355
2015-01-09,15084358236.45,8542600000.0,1.7657807033514388
2015-01-12,14903185941.300001,8542600000.0,1.744572605682111
2015-01-13,14931420584.7,8542600000.0,1.7478777637604477
2015-01-14,14646721263.75,8542600000.0,1.7145507531372182
2015-01-15,14538488464.05,8542600000.0,1.7018809805035937
2015-01-16,14658485698.5,8542600000.0,1.7159279023365253
2015-01-20,14691426115.8,8542600000.0,1.7197839200945848
2015-01-21,15604346252.399998,8542600000.0,1.826650697960808
2015-01-22,15999631260.0,8542600000.0,1.8729229110575234
2015-01-23,15736107921.599998,8542600000.0,1.8420747689930463
2015-01-26,15907868668.95,8542600000.0,1.8621811473029288
2015-01-27,15601993365.45,8542600000.0,1.8263752681209469
2015-01-28,15256118983.800001,8542600000.0,1.785887081661321
2015-01-29,15625522234.949999,8542600000.0,1.8291295665195606
2015-01-30,15383174879.099998,8542600000.0,1.8007602930138364
2015-02-02,15672579973.95,8542600000.0,1.834638163316789
2015-02-03,16032571677.3,8542600000.0,1.876778928815583
2015-02-04,15940809086.25,8542600000.0,1.8660371650609884
2015-02-05,16119628494.45,8542600000.0,1.886969832890455
2015-02-06,16378446058.95,8542600000.0,1.917267115275209
2015-02-09,16220802633.3,8542600000.0,1.898813316004495
2015-02-10,16446679780.500002,8542600000.0,1.9252545806311898
2015-02-11,16606676093.1,8542600000.0,1.9439838097417648
2015-02-12,16609028980.050001,8542600000.0,1.9442592395816263
2015-02-13,16489031745.6,8542600000.0,1.9302123177486947
2015-02-17,16519619275.949999,8542600000.0,1.9337929056668928
2015-02-18,16277271920.100002,8542600000.0,1.905423632161169
2015-02-19,16383151832.849998,8542600000.0,1.9178179749549316
2015-02-20,16489031745.6,8542600000.0,1.9302123177486947
2015-02-23,16503149067.3,8542600000.0,1.931864896787863
2015-02-24,16726673327.550001,8542600000.0,1.9580307315746963
2015-02-25,16731379101.45,8542600000.0,1.958581591254419
2015-02-26,16512560615.100002,8448900000.0,1.9544036046230873
2015-02-27,16430209571.85,8448900000.0,1.944656650197067
2015-03-02,16590205884.45,8448900000.0,1.963593590224763
2015-03-03,16510207728.15,8448900000.0,1.954125120210915
2015-03-04,16321976772.150002,8448900000.0,1.9318463672371553
2015-03-05,16347858528.6,8448900000.0,1.9349096957710472
2015-03-06,16554912580.2,8448900000.0,1.9594163240421831
2015-03-09,16590205884.45,8448900000.0,1.963593590224763
2015-03-10,16324329659.099998,8448900000.0,1.932124851649327
2015-03-11,16427856684.899998,8448900000.0,1.9443781657848949
2015-03-12,16681968475.500002,8448900000.0,1.9744544822994712
2015-03-13,16674909814.650002,8448900000.0,1.9736190290629552
2015-03-16,16910198509.650002,8448900000.0,2.001467470280155
2015-03-17,16961962022.550001,8448900000.0,2.007594127347939
2015-03-18,16778436840.45,8448900000.0,1.985872343198523
2015-03-19,16689027136.350002,8448900000.0,1.9752899355359872
2015-03-20,16787848388.249998,8448900000.0,1.9869862808472107
2015-03-23,16639616510.4,8448900000.0,1.9694417628803749
2015-03-24,16383151832.849998,8448900000.0,1.9390869619536268
2015-03-25,16199626650.749998,8448900000.0,1.917365177804211
2015-03-26,16380798945.900002,8448900000.0,1.9388084775414554
2015-03-27,16312565224.35,8448900000.0,1.9307324295884671
2015-03-30,16453738441.350002,8448900000.0,1.9474414943187874
2015-03-31,16387857606.750002,8448900000.0,1.9396439307779714
2015-04-01,16480005800.55,8448900000.0,1.9505504622554415
2015-04-02,16632925197.7,8448900000.0,1.968649788457669
2015-04-06,16571757438.84,8448900000.0,1.9614100579767781
2015-04-07,16703503381.0,8448900000.0,1.9770033236279279
2015-04-08,16745850290.980001,8448900000.0,1.9820154447300833
2015-04-09,16752908109.31,8448900000.0,1.982850798247109
2015-04-10,16670566895.46,8448900000.0,1.9731050072151404
2015-04-13,16811723262.06,8448900000.0,1.989812077555658
2015-04-14,16783491988.740002,8448900000.0,1.9864706634875549
2015-04-15,16738792472.650002,8448900000.0,1.9811800912130575
2015-04-16,16705855987.11,8448900000.0,1.97728177480027
2015-04-17,16428248466.13,8448900000.0,1.9444245364639183
2015-04-20,16522352710.53,8448900000.0,1.955562583357597
2015-04-21,16912885324.79,8448900000.0,2.0017854779663624
2015-04-22,17373996122.35,8448900000.0,2.0563619077453867
2015-04-23,17359880485.690002,8448900000.0,2.0546912007113356
2015-04-24,17197550664.1,8448900000.0,2.0354780698197397
2015-04-27,17176377209.11,8448900000.0,2.0329720092686623
