date,close price,ADI_SHE,ADI_TA,ADI_TL,market cap,PB Ratio
2018-03-21,92.8,10348000000.0,20853000000.0,10506000000.0,34747104000.0,3.3578569771936606
2018-03-22,90.54,10348000000.0,20853000000.0,10506000000.0,33900892200.000004,3.2760815809818324
2018-03-23,87.7,10348000000.0,20853000000.0,10506000000.0,32837511000.0,3.1733195786625434
2018-03-26,93.11,10348000000.0,20853000000.0,10506000000.0,34863177300.0,3.369073956320062
2018-03-27,91.05,10348000000.0,20853000000.0,10506000000.0,34091851500.0,3.294535320834944
2018-03-28,89.91,10348000000.0,20853000000.0,10506000000.0,33665001300.0,3.2532857846926944
2018-03-29,91.13,10348000000.0,20853000000.0,10506000000.0,34121805900.0,3.297430025125628
2018-04-02,88.75,10348000000.0,20853000000.0,10506000000.0,33230662500.0,3.2113125724777736
2018-04-03,89.52,10348000000.0,20853000000.0,10506000000.0,33518973600.0,3.239174101275609
2018-04-04,91.24,10348000000.0,20853000000.0,10506000000.0,34162993199.999996,3.3014102435253188
2018-04-05,90.94,10348000000.0,20853000000.0,10506000000.0,34050664200.0,3.290555102435253
2018-04-06,88.31,10348000000.0,20853000000.0,10506000000.0,33065913300.0,3.1953916988790105
2018-04-09,87.99,10348000000.0,20853000000.0,10506000000.0,32946095699.999996,3.1838128817162734
2018-04-10,90.03,10348000000.0,20853000000.0,10506000000.0,33709932900.0,3.2576278411287207
2018-04-11,90.8,10348000000.0,20853000000.0,10506000000.0,33998244000.0,3.2854893699265557
2018-04-12,93.02,10348000000.0,20853000000.0,10506000000.0,34829478600.0,3.3658174139930424
2018-04-13,92.78,10348000000.0,20853000000.0,10506000000.0,34739615400.0,3.3571333011209896
2018-04-16,93.14,10348000000.0,20853000000.0,10506000000.0,34874410200.0,3.3701594704290683
2018-04-17,95.17,10348000000.0,20853000000.0,10506000000.0,35634503100.0,3.44361259180518
2018-04-18,94.57,10348000000.0,20853000000.0,10506000000.0,35409845100.0,3.4219023096250485
2018-04-19,89.85,10348000000.0,20853000000.0,10506000000.0,33642535499.999996,3.2511147564746805
2018-04-20,89.76,10348000000.0,20853000000.0,10506000000.0,33608836800.000004,3.2478582141476617
2018-04-23,88.0,10348000000.0,20853000000.0,10506000000.0,32949840000.0,3.184174719752609
2018-04-24,87.65,10348000000.0,20853000000.0,10506000000.0,32818789500.000004,3.171510388480866
2018-04-25,87.77,10348000000.0,20853000000.0,10506000000.0,32863721100.0,3.175852444916892
2018-04-26,88.7,10348000000.0,20853000000.0,10506000000.0,33211941000.0,3.209503382296096
2018-04-27,87.68,10348000000.0,20853000000.0,10506000000.0,32830022400.000004,3.172595902589873
2018-04-30,87.35,10348000000.0,20853000000.0,10506000000.0,32706460499.999996,3.1606552473907996
2018-05-01,88.86,10348000000.0,20853000000.0,10506000000.0,33271849800.0,3.2152927908774642
2018-05-02,88.3,10348000000.0,20853000000.0,10506000000.0,33062169000.0,3.195029860842675
2018-05-03,87.91,10348000000.0,20853000000.0,10506000000.0,32916141300.0,3.1809181774255895
2018-05-04,90.27,10348000000.0,20853000000.0,10506000000.0,33799796100.0,3.266311954000773
2018-05-07,90.5,10348000000.0,20853000000.0,10506000000.0,33926640000.0,3.2785697719366063
2018-05-08,91.42,10348000000.0,20853000000.0,10506000000.0,34271529600.0,3.3118988790104367
2018-05-09,92.62,10348000000.0,20853000000.0,10506000000.0,34721385600.0,3.355371627367607
2018-05-10,93.34,10348000000.0,20853000000.0,10506000000.0,34991299200.0,3.3814552763819097
2018-05-11,92.6,10348000000.0,20853000000.0,10506000000.0,34713888000.0,3.3546470815616543
2018-05-14,93.87,10348000000.0,20853000000.0,10506000000.0,35189985600.0,3.4006557402396598
2018-05-15,93.56,10348000000.0,20853000000.0,10506000000.0,35073772800.0,3.3894252802473908
2018-05-16,94.77,10348000000.0,20853000000.0,10506000000.0,35527377600.0,3.433260301507538
2018-05-17,95.04,10348000000.0,20853000000.0,10506000000.0,35628595200.0,3.443041669887901
2018-05-18,94.88,10348000000.0,20853000000.0,10506000000.0,35568614400.0,3.437245303440278
2018-05-21,95.3,10348000000.0,20853000000.0,10506000000.0,35726064000.0,3.452460765365288
2018-05-22,95.71,10348000000.0,20853000000.0,10506000000.0,35879764800.0,3.467313954387321
2018-05-23,94.39,10348000000.0,20853000000.0,10506000000.0,35384923200.0,3.4194939311944337
2018-05-24,95.04,10348000000.0,20853000000.0,10506000000.0,35628595200.0,3.443041669887901
2018-05-25,95.45,10348000000.0,20853000000.0,10506000000.0,35782296000.0,3.4578948589099343
