date,close price,A_SHE,A_TA,A_TL,market cap,PB Ratio
2011-05-06,35.57,3332000000.0,8044000000.0,4712000000.0,12627350000.0,3.789720888355342
2011-05-09,35.68,3332000000.0,8044000000.0,4712000000.0,12666400000.0,3.801440576230492
2011-05-10,36.24,3332000000.0,8044000000.0,4712000000.0,12865200000.0,3.861104441776711
2011-05-11,35.79,3332000000.0,8044000000.0,4712000000.0,12705450000.0,3.813160264105642
2011-05-12,36.0,3332000000.0,8044000000.0,4712000000.0,12780000000.0,3.835534213685474
2011-05-13,37.61,3332000000.0,8044000000.0,4712000000.0,13351550000.0,4.007067827130852
2011-05-16,37.42,3332000000.0,8044000000.0,4712000000.0,13284100000.0,3.9868247298919566
2011-05-17,36.6,3332000000.0,8044000000.0,4712000000.0,12993000000.0,3.8994597839135654
2011-05-18,37.0,3332000000.0,8044000000.0,4712000000.0,13135000000.0,3.942076830732293
2011-05-19,36.6,3332000000.0,8044000000.0,4712000000.0,12993000000.0,3.8994597839135654
2011-05-20,36.27,3332000000.0,8044000000.0,4712000000.0,12875850000.000002,3.864300720288116
2011-05-23,35.12,3332000000.0,8044000000.0,4712000000.0,12467600000.0,3.741776710684274
2011-05-24,34.83,3332000000.0,8044000000.0,4712000000.0,12364650000.0,3.7108793517406964
2011-05-25,35.06,3332000000.0,8044000000.0,4712000000.0,12446300000.0,3.7353841536614647
2011-05-26,35.33,3332000000.0,8044000000.0,4712000000.0,12542150000.0,3.7641506602641055
2011-05-27,35.48,3332000000.0,8044000000.0,4712000000.0,12595399999.999998,3.780132052821128
2011-05-31,35.67,3332000000.0,8044000000.0,4712000000.0,12662850000.0,3.800375150060024
2011-06-01,34.33,3332000000.0,8044000000.0,4712000000.0,12187150000.0,3.657608043217287
2011-06-02,34.46,3332000000.0,8044000000.0,4712000000.0,12233300000.0,3.6714585834333735
2011-06-03,33.93,3332000000.0,8044000000.0,4712000000.0,12045150000.0,3.6149909963985594
2011-06-06,33.66,3332000000.0,8044000000.0,4712000000.0,11949299999.999998,3.5862244897959177
2011-06-07,34.12,3953000000.0,8649000000.0,4696000000.0,12112600000.0,3.0641538072350114
2011-06-08,34.15,3953000000.0,8649000000.0,4696000000.0,12123250000.0,3.0668479635719708
2011-06-09,34.84,3953000000.0,8649000000.0,4696000000.0,12368200000.000002,3.1288135593220345
2011-06-10,34.47,3953000000.0,8649000000.0,4696000000.0,12236850000.0,3.0955856311662027
2011-06-13,34.0,3953000000.0,8649000000.0,4696000000.0,12070000000.0,3.0533771818871744
2011-06-14,35.03,3953000000.0,8649000000.0,4696000000.0,12435650000.0,3.1458765494561094
2011-06-15,33.88,3953000000.0,8649000000.0,4696000000.0,12027400000.0,3.042600556539337
2011-06-16,33.66,3953000000.0,8649000000.0,4696000000.0,11949299999.999998,3.022843410068302
2011-06-17,33.93,3953000000.0,8649000000.0,4696000000.0,12045150000.0,3.047090817100936
2011-06-20,34.61,3953000000.0,8649000000.0,4696000000.0,12286550000.0,3.1081583607386793
2011-06-21,35.64,3953000000.0,8649000000.0,4696000000.0,12652200000.0,3.2006577283076143
2011-06-22,35.01,3953000000.0,8649000000.0,4696000000.0,12428550000.0,3.1440804452314697
2011-06-23,35.32,3953000000.0,8649000000.0,4696000000.0,12538600000.0,3.1719200607133824
2011-06-24,34.69,3953000000.0,8649000000.0,4696000000.0,12314950000.0,3.1153427776372373
2011-06-27,34.94,3953000000.0,8649000000.0,4696000000.0,12403700000.0,3.1377940804452313
2011-06-28,36.11,3953000000.0,8649000000.0,4696000000.0,12819050000.0,3.242866177586643
2011-06-29,36.19,3953000000.0,8649000000.0,4696000000.0,12847450000.0,3.250050594485201
2011-06-30,36.56,3953000000.0,8649000000.0,4696000000.0,12978800000.0,3.283278522641032
2011-07-01,37.2,3953000000.0,8649000000.0,4696000000.0,13206000000.000002,3.340753857829497
2011-07-05,36.95,3953000000.0,8649000000.0,4696000000.0,13117250000.000002,3.318302555021503
2011-07-06,37.07,3953000000.0,8649000000.0,4696000000.0,13159850000.0,3.3290791803693396
2011-07-07,37.47,3953000000.0,8649000000.0,4696000000.0,13301850000.0,3.36500126486213
2011-07-08,35.93,3953000000.0,8649000000.0,4696000000.0,12755150000.0,3.2267012395648873
2011-07-11,35.11,3953000000.0,8649000000.0,4696000000.0,12464050000.0,3.1530609663546674
2011-07-12,34.38,3953000000.0,8649000000.0,4696000000.0,12204900000.0,3.087503162155325
2011-07-13,34.43,3953000000.0,8649000000.0,4696000000.0,12222650000.0,3.0919934227169237
2011-07-14,33.86,3953000000.0,8649000000.0,4696000000.0,12020300000.0,3.0408044523146978
2011-07-15,33.68,3953000000.0,8649000000.0,4696000000.0,11956400000.0,3.024639514292942
2011-07-18,32.52,3953000000.0,8649000000.0,4696000000.0,11544600000.000002,2.9204654692638505
2011-07-19,33.58,3953000000.0,8649000000.0,4696000000.0,11920900000.0,3.0156589931697444
2011-07-20,33.56,3953000000.0,8649000000.0,4696000000.0,11913800000.0,3.013862888945105
2011-07-21,33.56,3953000000.0,8649000000.0,4696000000.0,11913800000.0,3.013862888945105
2011-07-22,33.54,3953000000.0,8649000000.0,4696000000.0,11906700000.0,3.0120667847204654
2011-07-25,33.19,3953000000.0,8649000000.0,4696000000.0,11782450000.0,2.980634960789274
2011-07-26,32.07,3953000000.0,8649000000.0,4696000000.0,11384850000.0,2.880053124209461
2011-07-27,30.37,3953000000.0,8649000000.0,4696000000.0,10781350000.0,2.7273842651151026
2011-07-28,30.17,3953000000.0,8649000000.0,4696000000.0,10710350000.0,2.709423222868707
2011-07-29,30.16,3953000000.0,8649000000.0,4696000000.0,10706800000.0,2.7085251707563875
2011-08-01,29.18,3953000000.0,8649000000.0,4696000000.0,10358900000.0,2.620516063749051
2011-08-02,27.85,3953000000.0,8649000000.0,4696000000.0,9886750000.0,2.5010751328105236
2011-08-03,28.04,3953000000.0,8649000000.0,4696000000.0,9954200000.0,2.518138122944599
2011-08-04,26.4,3953000000.0,8649000000.0,4696000000.0,9372000000.0,2.370857576524159
2011-08-05,26.17,3953000000.0,8649000000.0,4696000000.0,9290350000.0,2.3502023779408043
2011-08-08,23.29,3953000000.0,8649000000.0,4696000000.0,8267950000.0,2.0915633695927145
2011-08-09,24.47,3953000000.0,8649000000.0,4696000000.0,8686850000.0,2.1975335188464458
2011-08-10,22.78,3953000000.0,8649000000.0,4696000000.0,8086900000.0,2.045762711864407
2011-08-11,24.69,3953000000.0,8649000000.0,4696000000.0,8764950000.0,2.2172906653174804
