date,close price,GS_SHE,GS_TA,GS_TL,market cap,PB Ratio
2006-05-08,163.53,28915000000.0,758821000000.0,729906000000.0,,
2006-05-09,165.75,28915000000.0,758821000000.0,729906000000.0,,
2006-05-10,164.09,28915000000.0,758821000000.0,729906000000.0,,
2006-05-11,159.28,28915000000.0,758821000000.0,729906000000.0,,
2006-05-12,156.11,28915000000.0,758821000000.0,729906000000.0,,
2006-05-15,153.14,28915000000.0,758821000000.0,729906000000.0,,
2006-05-16,152.7,28915000000.0,758821000000.0,729906000000.0,,
2006-05-17,148.21,28915000000.0,758821000000.0,729906000000.0,,
2006-05-18,147.03,28915000000.0,758821000000.0,729906000000.0,,
2006-05-19,149.41,28915000000.0,758821000000.0,729906000000.0,,
2006-05-22,146.15,28915000000.0,758821000000.0,729906000000.0,,
2006-05-23,143.7,28915000000.0,758821000000.0,729906000000.0,,
2006-05-24,143.92,28915000000.0,758821000000.0,729906000000.0,,
2006-05-25,147.32,28915000000.0,758821000000.0,729906000000.0,,
2006-05-26,152.94,28915000000.0,758821000000.0,729906000000.0,,
2006-05-30,149.83,28915000000.0,758821000000.0,729906000000.0,,
2006-05-31,150.95,28915000000.0,758821000000.0,729906000000.0,,
2006-06-01,153.55,28915000000.0,758821000000.0,729906000000.0,,
2006-06-02,154.09,28915000000.0,758821000000.0,729906000000.0,,
2006-06-05,150.4,28915000000.0,758821000000.0,729906000000.0,,
2006-06-06,149.24,28915000000.0,758821000000.0,729906000000.0,,
2006-06-07,149.95,28915000000.0,758821000000.0,729906000000.0,,
2006-06-08,149.76,28915000000.0,758821000000.0,729906000000.0,,
2006-06-09,149.89,28915000000.0,758821000000.0,729906000000.0,,
2006-06-12,145.0,28915000000.0,758821000000.0,729906000000.0,,
2006-06-13,139.25,28915000000.0,758821000000.0,729906000000.0,,
2006-06-14,138.5,28915000000.0,758821000000.0,729906000000.0,,
2006-06-15,144.12,28915000000.0,758821000000.0,729906000000.0,,
2006-06-16,144.0,28915000000.0,758821000000.0,729906000000.0,,
2006-06-19,143.75,28915000000.0,758821000000.0,729906000000.0,,
2006-06-20,145.26,28915000000.0,758821000000.0,729906000000.0,,
2006-06-21,149.83,28915000000.0,758821000000.0,729906000000.0,,
2006-06-22,148.31,28915000000.0,758821000000.0,729906000000.0,,
2006-06-23,147.92,28915000000.0,758821000000.0,729906000000.0,,
2006-06-26,149.9,28915000000.0,758821000000.0,729906000000.0,,
2006-06-27,147.16,28915000000.0,758821000000.0,729906000000.0,,
2006-06-28,146.49,28915000000.0,758821000000.0,729906000000.0,,
2006-06-29,152.2,28915000000.0,758821000000.0,729906000000.0,,
2006-06-30,150.43,28915000000.0,758821000000.0,729906000000.0,,
2006-07-03,152.45,31800000000.0,798884000000.0,767084000000.0,,
2006-07-05,150.95,31800000000.0,798884000000.0,767084000000.0,,
2006-07-06,150.58,31800000000.0,798884000000.0,767084000000.0,,
2006-07-07,148.51,31800000000.0,798884000000.0,767084000000.0,,
2006-07-10,148.85,31800000000.0,798884000000.0,767084000000.0,,
2006-07-11,148.67,31800000000.0,798884000000.0,767084000000.0,,
2006-07-12,145.27,31800000000.0,798884000000.0,767084000000.0,,
2006-07-13,142.55,31800000000.0,798884000000.0,767084000000.0,,
2006-07-14,140.1,31800000000.0,798884000000.0,767084000000.0,,
2006-07-17,140.87,31800000000.0,798884000000.0,767084000000.0,,
2006-07-18,142.34,31800000000.0,798884000000.0,767084000000.0,,
2006-07-19,146.97,31800000000.0,798884000000.0,767084000000.0,,
2006-07-20,145.18,31800000000.0,798884000000.0,767084000000.0,,
2006-07-21,142.04,31800000000.0,798884000000.0,767084000000.0,,
2006-07-24,146.9,31800000000.0,798884000000.0,767084000000.0,,
2006-07-25,148.49,31800000000.0,798884000000.0,767084000000.0,,
2006-07-26,147.38,31800000000.0,798884000000.0,767084000000.0,,
2006-07-27,148.26,31800000000.0,798884000000.0,767084000000.0,,
2006-07-28,151.72,31800000000.0,798884000000.0,767084000000.0,,
2006-07-31,152.75,31800000000.0,798884000000.0,767084000000.0,,
2006-08-01,151.26,31800000000.0,798884000000.0,767084000000.0,,
2006-08-02,149.9,31800000000.0,798884000000.0,767084000000.0,,
2006-08-03,152.1,31800000000.0,798884000000.0,767084000000.0,,
2006-08-04,152.99,31800000000.0,798884000000.0,767084000000.0,,
2006-08-07,152.65,31800000000.0,798884000000.0,767084000000.0,,
2006-08-08,151.45,31800000000.0,798884000000.0,767084000000.0,,
2006-08-09,150.01,31800000000.0,798884000000.0,767084000000.0,,
2006-08-10,151.63,31800000000.0,798884000000.0,767084000000.0,,
2006-08-11,151.11,31800000000.0,798884000000.0,767084000000.0,,
2006-08-14,150.37,31800000000.0,798884000000.0,767084000000.0,,
2006-08-15,152.65,31800000000.0,798884000000.0,767084000000.0,,
2006-08-16,154.99,31800000000.0,798884000000.0,767084000000.0,,
2006-08-17,154.45,31800000000.0,798884000000.0,767084000000.0,,
2006-08-18,154.68,31800000000.0,798884000000.0,767084000000.0,,
2006-08-21,153.83,31800000000.0,798884000000.0,767084000000.0,,
2006-08-22,154.15,31800000000.0,798884000000.0,767084000000.0,,
2006-08-23,152.7,31800000000.0,798884000000.0,767084000000.0,,
2006-08-24,151.4,31800000000.0,798884000000.0,767084000000.0,,
2006-08-25,150.07,31800000000.0,798884000000.0,767084000000.0,,
2006-08-28,149.53,31800000000.0,798884000000.0,767084000000.0,,
2006-08-29,147.09,31800000000.0,798884000000.0,767084000000.0,,
2006-08-30,147.06,31800000000.0,798884000000.0,767084000000.0,,
2006-08-31,148.65,31800000000.0,798884000000.0,767084000000.0,,
2006-09-01,149.14,31800000000.0,798884000000.0,767084000000.0,,
2006-09-05,151.28,31800000000.0,798884000000.0,767084000000.0,,
2006-09-06,150.67,31800000000.0,798884000000.0,767084000000.0,,
2006-09-07,148.57,31800000000.0,798884000000.0,767084000000.0,,
2006-09-08,149.8,31800000000.0,798884000000.0,767084000000.0,,
2006-09-11,151.0,31800000000.0,798884000000.0,767084000000.0,,
2006-09-12,158.29,31800000000.0,798884000000.0,767084000000.0,,
2006-09-13,160.86,31800000000.0,798884000000.0,767084000000.0,,
2006-09-14,162.52,31800000000.0,798884000000.0,767084000000.0,,
2006-09-15,162.71,31800000000.0,798884000000.0,767084000000.0,,
2006-09-18,163.22,31800000000.0,798884000000.0,767084000000.0,,
2006-09-19,163.39,31800000000.0,798884000000.0,767084000000.0,,
2006-09-20,166.6,31800000000.0,798884000000.0,767084000000.0,,
2006-09-21,167.15,31800000000.0,798884000000.0,767084000000.0,,
2006-09-22,167.52,31800000000.0,798884000000.0,767084000000.0,,
2006-09-25,168.69,31800000000.0,798884000000.0,767084000000.0,,
2006-09-26,168.68,31800000000.0,798884000000.0,767084000000.0,,
2006-09-27,169.0,31800000000.0,798884000000.0,767084000000.0,,
2006-09-28,170.0,31800000000.0,798884000000.0,767084000000.0,,
2006-09-29,169.17,31800000000.0,798884000000.0,767084000000.0,,
2006-10-02,170.69,31800000000.0,798884000000.0,767084000000.0,,
2006-10-03,174.2,31800000000.0,798884000000.0,767084000000.0,,
2006-10-04,176.56,33493000000.0,798309000000.0,764816000000.0,,
2006-10-05,175.5,33493000000.0,798309000000.0,764816000000.0,,
2006-10-06,175.65,33493000000.0,798309000000.0,764816000000.0,,
2006-10-09,177.45,33493000000.0,798309000000.0,764816000000.0,,
2006-10-10,178.86,33493000000.0,798309000000.0,764816000000.0,,
2006-10-11,178.97,33493000000.0,798309000000.0,764816000000.0,,
2006-10-12,181.51,33493000000.0,798309000000.0,764816000000.0,,
2006-10-13,183.85,33493000000.0,798309000000.0,764816000000.0,,
2006-10-16,185.22,33493000000.0,798309000000.0,764816000000.0,,
2006-10-17,183.07,33493000000.0,798309000000.0,764816000000.0,,
2006-10-18,182.97,33493000000.0,798309000000.0,764816000000.0,,
2006-10-19,180.05,33493000000.0,798309000000.0,764816000000.0,,
2006-10-20,180.4,33493000000.0,798309000000.0,764816000000.0,,
2006-10-23,184.7,33493000000.0,798309000000.0,764816000000.0,,
2006-10-24,187.84,33493000000.0,798309000000.0,764816000000.0,,
2006-10-25,188.61,33493000000.0,798309000000.0,764816000000.0,,
2006-10-26,193.38,33493000000.0,798309000000.0,764816000000.0,,
2006-10-27,188.67,33493000000.0,798309000000.0,764816000000.0,,
2006-10-30,189.75,33493000000.0,798309000000.0,764816000000.0,,
2006-10-31,189.79,33493000000.0,798309000000.0,764816000000.0,,
2006-11-01,185.0,33493000000.0,798309000000.0,764816000000.0,,
2006-11-02,187.39,33493000000.0,798309000000.0,764816000000.0,,
2006-11-03,187.13,33493000000.0,798309000000.0,764816000000.0,,
2006-11-06,190.0,33493000000.0,798309000000.0,764816000000.0,,
2006-11-07,188.68,33493000000.0,798309000000.0,764816000000.0,,
2006-11-08,188.77,33493000000.0,798309000000.0,764816000000.0,,
2006-11-09,184.78,33493000000.0,798309000000.0,764816000000.0,,
2006-11-10,187.06,33493000000.0,798309000000.0,764816000000.0,,
2006-11-13,187.73,33493000000.0,798309000000.0,764816000000.0,,
2006-11-14,190.36,33493000000.0,798309000000.0,764816000000.0,,
2006-11-15,193.11,33493000000.0,798309000000.0,764816000000.0,,
2006-11-16,196.72,33493000000.0,798309000000.0,764816000000.0,,
2006-11-17,195.04,33493000000.0,798309000000.0,764816000000.0,,
2006-11-20,197.45,33493000000.0,798309000000.0,764816000000.0,,
2006-11-21,199.76,33493000000.0,798309000000.0,764816000000.0,,
2006-11-22,202.29,33493000000.0,798309000000.0,764816000000.0,,
2006-11-24,201.6,33493000000.0,798309000000.0,764816000000.0,,
2006-11-27,193.11,33493000000.0,798309000000.0,764816000000.0,,
2006-11-28,197.12,33493000000.0,798309000000.0,764816000000.0,,
2006-11-29,196.22,33493000000.0,798309000000.0,764816000000.0,,
2006-11-30,194.8,33493000000.0,798309000000.0,764816000000.0,,
