date,close price,CHTR_SHE,CHTR_TA,CHTR_TL,market cap,PB Ratio
2015-08-28,181.59,-31000000.0,17319000000.0,17350000000.0,20299959900.84,-654.837416156129
2015-08-31,181.61,-31000000.0,17319000000.0,17350000000.0,20302195702.36,-654.9095387858065
2015-09-01,177.76,-31000000.0,17319000000.0,17350000000.0,19871803909.76,-641.0259325729031
2015-09-02,179.68,-31000000.0,17319000000.0,17350000000.0,20086440855.68,-647.9497050219355
2015-09-03,182.88,-31000000.0,17319000000.0,17350000000.0,20444169098.88,-659.4893257703226
2015-09-04,183.02,-31000000.0,17319000000.0,17350000000.0,20459819709.52,-659.9941841780645
2015-09-08,186.31,-31000000.0,17319000000.0,17350000000.0,20827609059.56,-671.85835676
2015-09-09,185.05,-31000000.0,17319000000.0,17350000000.0,20686753563.800003,-667.3146310903227
2015-09-10,184.29,-31000000.0,17319000000.0,17350000000.0,20601793106.04,-664.5739711625806
2015-09-11,184.45,-31000000.0,17319000000.0,17350000000.0,20619679518.199997,-665.1509521999999
2015-09-14,184.57,-31000000.0,17319000000.0,17350000000.0,20633094327.32,-665.5836879780645
2015-09-15,188.51,-31000000.0,17319000000.0,17350000000.0,21073547226.76,-679.7918460245161
2015-09-16,187.86,-31000000.0,17319000000.0,17350000000.0,21000883677.36,-677.44786056
2015-09-17,192.22,-31000000.0,17319000000.0,17350000000.0,21488288408.72,-693.1705938296775
2015-09-18,191.39,-31000000.0,17319000000.0,17350000000.0,21395502645.64,-690.1775046980645
2015-09-21,194.5,-31000000.0,17319000000.0,17350000000.0,21743169782.0,-701.3925736129032
2015-09-22,193.42,-31000000.0,17319000000.0,17350000000.0,21622436499.92,-697.4979516103225
2015-09-23,191.38,-31000000.0,17319000000.0,17350000000.0,21394384744.88,-690.1414433832258
2015-09-24,184.93,-31000000.0,17319000000.0,17350000000.0,20673338754.68,-666.881895312258
2015-09-25,183.53,-31000000.0,17319000000.0,17350000000.0,20516832648.28,-661.8333112348387
2015-09-28,172.1,-31000000.0,17319000000.0,17350000000.0,19239072079.6,-620.6152283741935
2015-09-29,167.36,-31000000.0,17319000000.0,17350000000.0,18709187119.36,-603.5221651406451
2015-09-30,175.85,-31000000.0,17319000000.0,17350000000.0,19658284864.6,-634.1382214387096
2015-10-01,181.77,-31000000.0,17319000000.0,17350000000.0,20334568274.670002,-655.9538153119355
2015-10-02,183.14,-31000000.0,17319000000.0,17350000000.0,20487829860.94,-660.8977374496774
2015-10-05,187.52,-31000000.0,17319000000.0,17350000000.0,20977819457.920002,-676.7038534812904
2015-10-06,185.52,-31000000.0,17319000000.0,17350000000.0,20754079915.920002,-669.4864489006452
2015-10-07,185.0,-31000000.0,17319000000.0,17350000000.0,20695907635.0,-667.6099237096774
2015-10-08,187.76,-31000000.0,17319000000.0,17350000000.0,21004668202.96,-677.5699420309677
2015-10-09,186.63,-31000000.0,17319000000.0,17350000000.0,20878255361.73,-673.4921084429033
2015-10-12,185.92,-31000000.0,17319000000.0,17350000000.0,20798827824.32,-670.9299298167742
2015-10-13,186.88,-31000000.0,17319000000.0,17350000000.0,20906222804.48,-674.3942840154839
2015-10-14,182.75,-31000000.0,17319000000.0,17350000000.0,20444200650.25,-659.4903435564516
2015-10-15,185.83,-31000000.0,17319000000.0,17350000000.0,20788759544.93,-670.6051466106452
2015-10-16,187.27,-31000000.0,17319000000.0,17350000000.0,20949852015.170002,-675.8016779087097
2015-10-19,186.31,-31000000.0,17319000000.0,17350000000.0,20842457035.010002,-672.3373237100001
