date,EVRG,EVRG_SHE,PB Ratio
2019-10-04,15835799000.000002,8883100000.0,1.782688363296597
2019-10-07,15744636999.999998,8883100000.0,1.7724259549031305
2019-10-08,15595899000.000002,8883100000.0,1.7556820254190544
2019-10-09,15305620000.0,8883100000.0,1.7230043565872275
2019-10-10,15226453000.0,8883100000.0,1.7140922650876382
2019-10-11,15341605000.0,8883100000.0,1.7270553072688588
2019-10-14,15308019000.0,8883100000.0,1.7232744199660028
2019-10-15,15327211000.0,8883100000.0,1.7254349269962064
2019-10-16,15252842000.0,8883100000.0,1.717062962254168
2019-10-17,15152084000.0,8883100000.0,1.7057203003456
2019-10-18,15188069000.0,8883100000.0,1.7097712510272314
2019-10-21,15212059000.0,8883100000.0,1.7124718848149858
2019-10-22,15341605000.0,8883100000.0,1.7270553072688588
2019-10-23,15228852000.0,8883100000.0,1.7143623284664138
2019-10-24,15320014000.0,8883100000.0,1.72462473685988
2019-10-25,15233650000.0,8883100000.0,1.7149024552239647
2019-10-28,15135291000.0,8883100000.0,1.703829856694172
2019-10-29,15245645000.0,8883100000.0,1.7162527721178418
2019-10-30,15276832000.0,8883100000.0,1.7197635960419222
2019-10-31,15332009000.0,8883100000.0,1.725975053753757
2019-11-01,15315216000.0,8883100000.0,1.724084610102329
2019-11-04,15142488000.0,8883100000.0,1.7046400468304983
2019-11-05,15000947000.0,8883100000.0,1.6887063074827482
2019-11-06,15094508000.0,8619300000.0,1.7512452287308715
2019-11-07,15070518000.0,8619300000.0,1.7484619400647385
2019-11-08,15128094000.0,8619300000.0,1.7551418328634576
2019-11-11,15022538000.0,8619300000.0,1.7428953627324724
2019-11-12,15130493000.0,8619300000.0,1.7554201617300709
2019-11-13,15329610000.0,8619300000.0,1.7785214576589747
2019-11-14,15499939000.0,8619300000.0,1.7982828071885189
2019-11-15,15533525000.0,8619300000.0,1.802179411321105
2019-11-18,15595899000.000002,8619300000.0,1.809415961853051
2019-11-19,15538322999.999998,8619300000.0,1.8027360690543313
2019-11-20,15588702000.000002,8619300000.0,1.808580975253211
2019-11-21,15528727000.000002,8619300000.0,1.8016227535878786
2019-11-22,15459156000.0,8619300000.0,1.7935512164560927
2019-11-25,15255241000.0,8619300000.0,1.7698932627939623
2019-11-26,15233650000.0,8619300000.0,1.7673883029944426
2019-11-27,15183271000.0,8619300000.0,1.7615433967955634
2019-11-29,15178473000.0,8619300000.0,1.7609867390623368
2019-12-02,14964962000.0,8619300000.0,1.7362154699337533
2019-12-03,15008144000.0,8619300000.0,1.7412253895327927
2019-12-04,15176074000.0,8619300000.0,1.7607084101957236
2019-12-05,15240847000.0,8619300000.0,1.7682232895942827
2019-12-06,15130493000.0,8619300000.0,1.7554201617300709
2019-12-09,14936174000.0,8619300000.0,1.7328755235343938
2019-12-10,15032134000.0,8619300000.0,1.7440086781989257
2019-12-11,15087311000.0,8619300000.0,1.7504102421310315
2019-12-12,14907386000.0,8619300000.0,1.7295355771350343
2019-12-13,15056124000.0,8619300000.0,1.7467919668650587
2019-12-16,15161680000.0,8619300000.0,1.7590384369960437
2019-12-17,15257640000.0,8619300000.0,1.7701715916605756
2019-12-18,15317615000.0,8619300000.0,1.7771298133259081
2019-12-19,15281630000.0,8619300000.0,1.7729548803267086
2019-12-20,15382388000.000002,8619300000.0,1.7846446927244675
2019-12-23,15305620000.0,8619300000.0,1.7757381689928415
2019-12-24,15406378000.0,8619300000.0,1.7874279813906002
2019-12-26,15365595000.0,8619300000.0,1.782696390658174
2019-12-27,15370392999.999998,8619300000.0,1.7832530483914004
2019-12-30,15408777000.000002,8619300000.0,1.7877063102572137
2019-12-31,15615091000.0,8619300000.0,1.8116425927859572
2020-01-02,15219256000.0,8619300000.0,1.765718329794763
2020-01-03,15233650000.0,8619300000.0,1.7673883029944426
2020-01-06,15190468000.0,8619300000.0,1.7623783833954034
2020-01-07,15200064000.0,8619300000.0,1.7634916988618565
2020-01-08,15228852000.0,8619300000.0,1.766831645261216
2020-01-09,15372792000.0,8619300000.0,1.783531377258014
2020-01-10,15475949000.000002,8619300000.0,1.795499518522386
2020-01-13,15648677000.000002,8619300000.0,1.8155391969185435
2020-01-14,15730242999.999998,8619300000.0,1.825002378383395
2020-01-15,15977339999.999998,8619300000.0,1.853670251644565
2020-01-16,16109285000.000002,8619300000.0,1.8689783393082968
2020-01-17,16152467000.0,8619300000.0,1.8739882589073358
2020-01-21,16473933000.0,8619300000.0,1.9112843270335178
2020-01-22,16579489000.0,8619300000.0,1.9235307971645028
2020-01-23,16840980000.0,8619300000.0,1.9538686436253525
2020-01-24,17121663000.000002,8619300000.0,1.9864331210191084
2020-01-27,17212825000.0,8619300000.0,1.9970096179504135
2020-01-28,17315982000.0,8619300000.0,2.0089777592147855
2020-01-29,17318381000.0,8619300000.0,2.0092560880813988
2020-01-30,17383154000.0,8619300000.0,2.0167709674799577
2020-01-31,17311184000.0,8619300000.0,2.008421101481559
2020-02-03,17227219000.0,8619300000.0,1.9986795911500934
2020-02-04,17032900000.0,8619300000.0,1.9761349529544163
2020-02-05,17037697999.999998,8619300000.0,1.9766916106876427
2020-02-06,17109667999.999998,8619300000.0,1.9850414766860416
2020-02-07,17001713000.000002,8619300000.0,1.9725166776884435
2020-02-10,16982521000.000002,8619300000.0,1.9702900467555373
2020-02-11,16994516000.0,8619300000.0,1.9716816910886035
2020-02-12,16970525999.999998,8619300000.0,1.9688984024224703
2020-02-13,17164845000.0,8619300000.0,1.9914430406181476
2020-02-14,17354366000.0,8619300000.0,2.0134310210805983
2020-02-18,17723812000.0,8619300000.0,2.056293666539046
2020-02-19,17731009000.0,8619300000.0,2.057128653138886
2020-02-20,17647044000.0,8619300000.0,2.0473871428074206
2020-02-21,17491109000.0,8619300000.0,2.0292957664775564
2020-02-24,17270401000.0,8619300000.0,2.003689510749133
2020-02-25,16816989999.999998,8619300000.0,1.9510853549592193
2020-02-26,16692242000.0,8619300000.0,1.9366122538953279
2020-02-27,16073300000.0,8619300000.0,1.864803406309097
2020-02-28,15677464999.999998,8619300000.0,1.8188791433179026
2020-03-02,16646661000.0,8571900000.0,1.942003639799811
2020-03-03,16517114999.999998,8571900000.0,1.9268907710075944
2020-03-04,17531892000.0,8571900000.0,2.0452749098799567
2020-03-05,17179239000.0,8571900000.0,2.0041343226122565
2020-03-06,16754616000.0,8571900000.0,1.954597697126658
2020-03-09,15480747000.0,8571900000.0,1.8059878206698632
2020-03-10,16015724000.000002,8571900000.0,1.8683983714229053
2020-03-11,14957765000.0,8571900000.0,1.7449766096198043
2020-03-12,13424804000.0,8571900000.0,1.5661409955785766
2020-03-13,14175691000.0,8571900000.0,1.6537396609853126
2020-03-16,11899040000.0,8571900000.0,1.3881449853591386
2020-03-17,13808644000.0,8571900000.0,1.6109198660740327
2020-03-18,13844629000.0,8571900000.0,1.6151178851829815
2020-03-19,13218490000.0,8571900000.0,1.5420723526872688
2020-03-20,11318482000.0,8571900000.0,1.3204169437347613
2020-03-23,10776308000.0,8571900000.0,1.2571667891599296
2020-03-24,12165329000.0,8571900000.0,1.4192103267653613
2020-03-25,12450810000.0,8571900000.0,1.4525146116963568
2020-03-26,13952584000.0,8571900000.0,1.6277119425098285
2020-03-27,13799048000.0,8571900000.0,1.6098003943116461
2020-03-30,14180489000.0,8571900000.0,1.6542993968665056
2020-03-31,12523875000.0,8571900000.0,1.4610383928883912
2020-04-01,11773125000.0,8571900000.0,1.3734557099359535
2020-04-02,12166700000.0,8571900000.0,1.4193702679685951
2020-04-03,11784500000.0,8571900000.0,1.3747827202837177
2020-04-06,13167700000.0,8571900000.0,1.5361471785718452
2020-04-07,12985700000.0,8571900000.0,1.5149150130076179
2020-04-08,13845650000.0,8571900000.0,1.6152369952985919
2020-04-09,14355250000.0,8571900000.0,1.6746870588784284
2020-04-13,13820625000.0,8571900000.0,1.6123175725335106
2020-04-14,14227850000.0,8571900000.0,1.6598245429834693
2020-04-15,13670475000.0,8571900000.0,1.5948010359430231
2020-04-16,13640900000.0,8571900000.0,1.5913508090388362
2020-04-17,13872950000.0,8571900000.0,1.618421820133226
2020-04-20,13449800000.0,8571900000.0,1.5690570351963975
2020-04-21,13249600000.0,8571900000.0,1.5457016530757475
2020-04-22,13547625000.0,8571900000.0,1.5804693241871697
2020-04-23,13147225000.0,8571900000.0,1.5337585599458696
2020-04-24,13311025000.0,8571900000.0,1.5528675089536743
2020-04-27,13481650000.0,8571900000.0,1.5727726641701374
2020-04-28,13670475000.0,8571900000.0,1.5948010359430231
2020-04-29,13556725000.0,8571900000.0,1.581530932465381
2020-04-30,13292825000.0,8571900000.0,1.5507442923972514
2020-05-01,12721800000.0,8571900000.0,1.4841283729394883
2020-05-04,12883325000.0,8571900000.0,1.50297191987774
2020-05-05,13033475000.0,8571900000.0,1.5204884564682275
2020-05-06,12496575000.0,8529200000.0,1.4651520658443933
2020-05-07,12710425000.0,8529200000.0,1.4902247573043192
2020-05-08,13081250000.0,8529200000.0,1.5337018712188717
2020-05-11,12685400000.0,8529200000.0,1.4872907189419875
2020-05-12,12762750000.0,8529200000.0,1.4963595647891947
2020-05-13,12858300000.0,8529200000.0,1.5075622567180977
2020-05-14,12894700000.0,8529200000.0,1.5118299488814895
2020-05-15,12862850000.0,8529200000.0,1.5080957182385217
2020-05-18,13404300000.0,8529200000.0,1.5715776391689724
2020-05-19,13135850000.0,8529200000.0,1.5401034094639592
2020-05-20,13447525000.0,8529200000.0,1.5766455236130001
2020-05-21,13342875000.0,8529200000.0,1.5643759086432492
2020-05-22,13650000000.0,8529200000.0,1.6003845612718661
