date,close price,HCA_SHE,HCA_TA,HCA_TL,market cap,PB Ratio
2016-06-23,79.75,-7556000000.0,32776000000.0,40332000000.0,31820250000.0,-4.211255955532027
2016-06-24,76.72,-7556000000.0,32776000000.0,40332000000.0,30611280000.0,-4.051254632080465
2016-06-27,74.43,-7556000000.0,32776000000.0,40332000000.0,29697570000.0,-3.9303295394388567
2016-06-28,75.93,-7556000000.0,32776000000.0,40332000000.0,30296070000.0,-4.009538115404976
2016-06-29,77.05,-7556000000.0,32776000000.0,40332000000.0,30742950000.0,-4.068680518793012
2016-06-30,77.01,-7556000000.0,32776000000.0,40332000000.0,30726990000.0,-4.066568290100582
2016-07-01,76.66,-7556000000.0,32776000000.0,40332000000.0,30587340000.0,-4.048086289041821
2016-07-05,76.11,-7556000000.0,32776000000.0,40332000000.0,30367890000.0,-4.019043144520911
2016-07-06,76.17,-7556000000.0,32776000000.0,40332000000.0,30391830000.0,-4.022211487559555
2016-07-07,76.99,-7556000000.0,32776000000.0,40332000000.0,30719010000.0,-4.0655121757543675
2016-07-08,78.21,-7556000000.0,32776000000.0,40332000000.0,31205790000.0,-4.129935150873478
2016-07-11,78.16,-7556000000.0,32776000000.0,40332000000.0,31185840000.0,-4.127294865007941
2016-07-12,78.4,-7556000000.0,32776000000.0,40332000000.0,31281600000.0,-4.1399682371625195
2016-07-13,79.55,-7556000000.0,32776000000.0,40332000000.0,31740450000.0,-4.200694812069878
2016-07-14,78.31,-7556000000.0,32776000000.0,40332000000.0,31245690000.0,-4.135215722604553
2016-07-15,78.71,-7556000000.0,32776000000.0,40332000000.0,31405290000.0,-4.156338009528851
2016-07-18,79.55,-7556000000.0,32776000000.0,40332000000.0,31740450000.0,-4.200694812069878
2016-07-19,79.36,-7556000000.0,32776000000.0,40332000000.0,31664640000.0,-4.190661725780837
2016-07-20,80.53,-7556000000.0,32776000000.0,40332000000.0,32131470000.0,-4.25244441503441
2016-07-21,80.63,-7556000000.0,32776000000.0,40332000000.0,32171370000.0,-4.257724986765484
2016-07-22,80.35,-7556000000.0,32776000000.0,40332000000.0,32059650000.0,-4.242939385918476
2016-07-25,79.7,-7556000000.0,32776000000.0,40332000000.0,31800300000.0,-4.20861566966649
2016-07-26,79.66,-7556000000.0,32776000000.0,40332000000.0,31784340000.0,-4.2065034409740605
2016-07-27,77.98,-7556000000.0,32776000000.0,40332000000.0,31114020000.0,-4.117789835892006
2016-07-28,77.88,-7556000000.0,32776000000.0,40332000000.0,31074120000.0,-4.1125092641609315
2016-07-29,77.13,-7556000000.0,32776000000.0,40332000000.0,30774870000.0,-4.072904976177872
2016-08-01,75.52,-7556000000.0,32776000000.0,40332000000.0,30132480000.0,-3.98788777130757
2016-08-02,75.04,-7556000000.0,32776000000.0,40332000000.0,29940960000.0,-3.962541026998412
2016-08-03,75.71,-7556000000.0,32776000000.0,40332000000.0,30208290000.0,-3.997920857596612
2016-08-04,75.25,-8107000000.0,33205000000.0,41312000000.0,30024750000.0,-3.703558653015912
2016-08-05,75.84,-8107000000.0,33205000000.0,41312000000.0,30260160000.0,-3.7325965215246084
2016-08-08,76.25,-8107000000.0,33205000000.0,41312000000.0,30423750000.0,-3.752775379301838
2016-08-09,76.14,-8107000000.0,33205000000.0,41312000000.0,30379860000.0,-3.7473615394103863
2016-08-10,76.48,-8107000000.0,33205000000.0,41312000000.0,30515520000.0,-3.764095226347601
2016-08-11,77.12,-8107000000.0,33205000000.0,41312000000.0,30770880000.0,-3.7955939311705933
2016-08-12,76.64,-8107000000.0,33205000000.0,41312000000.0,30579360000.0,-3.771969902553349
2016-08-15,77.42,-8107000000.0,33205000000.0,41312000000.0,30193800000.0,-3.7244110028370545
2016-08-16,76.11,-8107000000.0,33205000000.0,41312000000.0,29682900000.0,-3.6613913901566546
2016-08-17,74.02,-8107000000.0,33205000000.0,41312000000.0,28867800000.0,-3.5608486493154063
2016-08-18,74.66,-8107000000.0,33205000000.0,41312000000.0,29117400000.0,-3.591636857037128
2016-08-19,74.51,-8107000000.0,33205000000.0,41312000000.0,29058900000.0,-3.58442087085235
2016-08-22,74.79,-8107000000.0,33205000000.0,41312000000.0,29168100000.0,-3.5978907117306034
2016-08-23,74.97,-8107000000.0,33205000000.0,41312000000.0,29238300000.0,-3.6065498951523374
2016-08-24,74.02,-8107000000.0,33205000000.0,41312000000.0,28867800000.0,-3.5608486493154063
2016-08-25,75.02,-8107000000.0,33205000000.0,41312000000.0,29257800000.0,-3.608955223880597
2016-08-26,74.26,-8107000000.0,33205000000.0,41312000000.0,28961400000.0,-3.5723942272110523
2016-08-29,74.96,-8107000000.0,33205000000.0,41312000000.0,29234400000.0,-3.6060688294066856
2016-08-30,76.12,-8107000000.0,33205000000.0,41312000000.0,29686800000.0,-3.661872455902307
2016-08-31,75.55,-8107000000.0,33205000000.0,41312000000.0,29464500000.0,-3.634451708400148
2016-09-01,75.16,-8107000000.0,33205000000.0,41312000000.0,29312400000.0,-3.6156901443197236
2016-09-02,76.51,-8107000000.0,33205000000.0,41312000000.0,29838900000.0,-3.680634019982731
2016-09-06,76.15,-8107000000.0,33205000000.0,41312000000.0,29698500000.0,-3.6633156531392626
2016-09-07,78.13,-8107000000.0,33205000000.0,41312000000.0,30470700000.0,-3.7585666707783396
2016-09-08,77.98,-8107000000.0,33205000000.0,41312000000.0,30412200000.0,-3.751350684593561
2016-09-09,75.94,-8107000000.0,33205000000.0,41312000000.0,29616600000.0,-3.6532132724805724
2016-09-12,77.05,-8107000000.0,33205000000.0,41312000000.0,30049500000.0,-3.706611570247934
2016-09-13,76.16,-8107000000.0,33205000000.0,41312000000.0,29702400000.0,-3.6637967188849143
2016-09-14,75.13,-8107000000.0,33205000000.0,41312000000.0,29300700000.0,-3.614246947082768
2016-09-15,75.39,-8107000000.0,33205000000.0,41312000000.0,29402100000.0,-3.6267546564697177
2016-09-16,75.29,-8107000000.0,33205000000.0,41312000000.0,29363100000.0,-3.6219439990131983
2016-09-19,75.85,-8107000000.0,33205000000.0,41312000000.0,29581500000.0,-3.648883680769705
2016-09-20,74.95,-8107000000.0,33205000000.0,41312000000.0,29230500000.0,-3.605587763661034
2016-09-21,75.44,-8107000000.0,33205000000.0,41312000000.0,29421600000.0,-3.629159985197977
2016-09-22,76.38,-8107000000.0,33205000000.0,41312000000.0,29788200000.0,-3.6743801652892563
2016-09-23,76.12,-8107000000.0,33205000000.0,41312000000.0,29686800000.0,-3.661872455902307
2016-09-26,74.91,-8107000000.0,33205000000.0,41312000000.0,29214900000.0,-3.603663500678426
2016-09-27,75.13,-8107000000.0,33205000000.0,41312000000.0,29300700000.0,-3.614246947082768
2016-09-28,75.43,-8107000000.0,33205000000.0,41312000000.0,29417700000.0,-3.6286789194523252
2016-09-29,75.26,-8107000000.0,33205000000.0,41312000000.0,29351400000.0,-3.6205008017762426
2016-09-30,75.63,-8107000000.0,33205000000.0,41312000000.0,29495700000.0,-3.638300234365363
2016-10-03,74.55,-8107000000.0,33205000000.0,41312000000.0,29074500000.0,-3.5863451338349575
2016-10-04,74.5,-8107000000.0,33205000000.0,41312000000.0,29055000000.0,-3.5839398051066977
2016-10-05,74.74,-8107000000.0,33205000000.0,41312000000.0,29148600000.0,-3.5954853830023437
2016-10-06,74.6,-8107000000.0,33205000000.0,41312000000.0,29094000000.0,-3.588750462563217
2016-10-07,74.23,-8107000000.0,33205000000.0,41312000000.0,28949700000.0,-3.5709510299740965
2016-10-10,75.95,-8107000000.0,33205000000.0,41312000000.0,29620500000.0,-3.653694338226224
2016-10-11,75.76,-8107000000.0,33205000000.0,41312000000.0,29546400000.0,-3.644554089058838
2016-10-12,76.89,-8107000000.0,33205000000.0,41312000000.0,29987100000.0,-3.6989145183175034
2016-10-13,80.29,-8107000000.0,33205000000.0,41312000000.0,31313100000.0,-3.8624768718391516
2016-10-14,80.32,-8107000000.0,33205000000.0,41312000000.0,31324800000.0,-3.863920069076107
2016-10-17,80.39,-8107000000.0,33205000000.0,41312000000.0,31352100000.0,-3.8672875292956705
2016-10-18,82.02,-8107000000.0,33205000000.0,41312000000.0,31987800000.0,-3.945701245836931
2016-10-19,81.83,-8107000000.0,33205000000.0,41312000000.0,31913700000.0,-3.9365609966695447
2016-10-20,82.01,-8107000000.0,33205000000.0,41312000000.0,31983900000.0,-3.945220180091279
2016-10-21,81.74,-8107000000.0,33205000000.0,41312000000.0,31878600000.0,-3.9322314049586775
2016-10-24,81.72,-8107000000.0,33205000000.0,41312000000.0,31870800000.0,-3.931269273467374
2016-10-25,80.96,-8107000000.0,33205000000.0,41312000000.0,31574400000.0,-3.894708276797829
2016-10-26,78.93,-8107000000.0,33205000000.0,41312000000.0,30782700000.0,-3.7970519304304924
2016-10-27,79.31,-8107000000.0,33205000000.0,41312000000.0,30930900000.0,-3.815332428765265
2016-10-28,77.31,-8107000000.0,33205000000.0,41312000000.0,30150900000.0,-3.7191192796348833
2016-10-31,76.53,-8107000000.0,33205000000.0,41312000000.0,29846700000.0,-3.681596151474035
2016-11-01,75.4,-8107000000.0,33205000000.0,41312000000.0,29406000000.0,-3.6272357222153695
2016-11-02,75.1,-8107000000.0,33205000000.0,41312000000.0,29289000000.0,-3.612803749845812
2016-11-03,73.41,-7763000000.0,33127000000.0,40890000000.0,28629900000.0,-3.68799433208811
2016-11-04,75.33,-7763000000.0,33127000000.0,40890000000.0,29378700000.0,-3.7844518871570267
2016-11-07,79.62,-7763000000.0,33127000000.0,40890000000.0,31051800000.0,-3.9999742367641375
2016-11-08,80.88,-7763000000.0,33127000000.0,40890000000.0,31543200000.0,-4.0632745072781145
2016-11-09,72.16,-7763000000.0,33127000000.0,40890000000.0,28142400000.0,-3.625196444673451
2016-11-10,72.06,-7763000000.0,33127000000.0,40890000000.0,28103400000.0,-3.6201726136802783
2016-11-11,69.58,-7763000000.0,33127000000.0,40890000000.0,27136200000.0,-3.495581605049594
2016-11-14,71.94,-7763000000.0,33127000000.0,40890000000.0,28056600000.0,-3.614144016488471
