date,close price,MET_SHE,MET_TA,MET_TL,market cap,PB Ratio
2009-07-31,30.26,23110000000.0,491408000000.0,467979000000.0,33554748198.52,1.4519579488758114
2009-08-03,31.78,23110000000.0,491408000000.0,467979000000.0,35240247777.56,1.5248917255543053
2009-08-04,32.74,27293000000.0,509457000000.0,481845000000.0,36304773827.48,1.3301862685479795
2009-08-05,33.02,27293000000.0,509457000000.0,481845000000.0,36615260592.04,1.3415623270450299
2009-08-06,31.68,27293000000.0,509457000000.0,481845000000.0,35129359647.36,1.2871197613805738
2009-08-07,32.87,27293000000.0,509457000000.0,481845000000.0,36448928396.74,1.3354680099930385
2009-08-10,32.41,27293000000.0,509457000000.0,481845000000.0,35938842997.82,1.3167787710335983
2009-08-11,31.02,27293000000.0,509457000000.0,481845000000.0,34397497988.04,1.2603047663518119
2009-08-12,32.05,27293000000.0,509457000000.0,481845000000.0,35539645729.1,1.302152410108819
2009-08-13,33.19,27293000000.0,509457000000.0,481845000000.0,36803770413.38,1.3484692197039534
2009-08-14,32.44,27293000000.0,509457000000.0,481845000000.0,35972109436.88,1.3179976344439965
2009-08-17,30.66,27293000000.0,509457000000.0,481845000000.0,33998300719.32,1.2456784054270325
2009-08-18,31.63,27293000000.0,509457000000.0,481845000000.0,35073915582.26,1.2850883223632434
2009-08-19,32.37,27293000000.0,509457000000.0,481845000000.0,35894487745.74,1.315153619819734
2009-08-20,33.38,27293000000.0,509457000000.0,481845000000.0,37014457860.76,1.3561886879698093
2009-08-21,34.7,27293000000.0,509457000000.0,481845000000.0,38478181179.4,1.409818678027333
2009-08-24,34.58,27293000000.0,509457000000.0,481845000000.0,38345115423.159996,1.4049432243857398
2009-08-25,34.95,27293000000.0,509457000000.0,481845000000.0,38755401504.9,1.4199758731139853
2009-08-26,34.15,27293000000.0,509457000000.0,481845000000.0,37868296463.299995,1.3874728488366979
2009-08-27,33.95,27293000000.0,509457000000.0,481845000000.0,37646520202.9,1.3793470927673763
2009-08-28,33.94,27293000000.0,509457000000.0,481845000000.0,37635431389.88,1.37894080496391
2009-08-31,33.65,27293000000.0,509457000000.0,481845000000.0,37313855812.299995,1.3671584586633934
2009-09-01,31.17,27293000000.0,509457000000.0,481845000000.0,34563830183.340004,1.2663990834038032
2009-09-02,31.29,27293000000.0,509457000000.0,481845000000.0,34696895939.58,1.2712745370453964
2009-09-03,32.22,27293000000.0,509457000000.0,481845000000.0,35728155550.44,1.3090593027677426
2009-09-04,32.63,27293000000.0,509457000000.0,481845000000.0,36182796884.26,1.3257171027098524
2009-09-08,33.62,27293000000.0,509457000000.0,481845000000.0,37280589373.24,1.3659395952529951
2009-09-09,33.83,27293000000.0,509457000000.0,481845000000.0,37513454446.659996,1.374471639125783
2009-09-10,34.32,27293000000.0,509457000000.0,481845000000.0,38056806284.64,1.3943797414956216
2009-09-11,34.61,27293000000.0,509457000000.0,481845000000.0,38378381862.22,1.4061620877961383
2009-09-14,35.26,27293000000.0,509457000000.0,481845000000.0,39099154708.52,1.432570795021434
2009-09-15,35.08,27293000000.0,509457000000.0,481845000000.0,38899556074.159996,1.4252576145590443
2009-09-16,36.39,27293000000.0,509457000000.0,481845000000.0,40352190579.78,1.4784813168131021
2009-09-17,35.61,27293000000.0,509457000000.0,481845000000.0,39487263164.22,1.4467908681427473
2009-09-18,35.04,27293000000.0,509457000000.0,481845000000.0,38855200822.08,1.4236324633451802
2009-09-21,34.08,27293000000.0,509457000000.0,481845000000.0,37790674772.159996,1.3846288342124353
2009-09-22,34.62,27293000000.0,509457000000.0,481845000000.0,38389470675.24,1.4065683755996041
