date,close price,ACN_SHE,ACN_TA,ACN_TL,market cap,PB Ratio
2017-03-22,126.48,7417093000.0,20443741000.0,13026648000.0,83603280000.0,11.271704426518584
2017-03-23,120.76,7964245000.0,20078773000.0,12114528000.0,79822360000.0,10.022589711893595
2017-03-24,118.98,7964245000.0,20078773000.0,12114528000.0,78645780000.0,9.874856938730538
2017-03-27,119.39,7964245000.0,20078773000.0,12114528000.0,78916790000.0,9.90888527412203
2017-03-28,121.35,7964245000.0,20078773000.0,12114528000.0,80212350000.0,10.071557316481348
2017-03-29,120.98,7964245000.0,20078773000.0,12114528000.0,79967780000.0,10.040848818689028
2017-03-30,120.52,7964245000.0,20078773000.0,12114528000.0,79663720000.0,10.002670686298575
2017-03-31,119.88,7964245000.0,20078773000.0,12114528000.0,79240680000.0,9.94955328471186
2017-04-03,117.64,7964245000.0,20078773000.0,12114528000.0,77760040000.0,9.76364237915835
2017-04-04,118.04,7964245000.0,20078773000.0,12114528000.0,78024440000.0,9.796840755150049
2017-04-05,117.64,7964245000.0,20078773000.0,12114528000.0,77760040000.0,9.76364237915835
2017-04-06,116.81,7964245000.0,20078773000.0,12114528000.0,77211410000.0,9.694755748975577
2017-04-07,117.44,7964245000.0,20078773000.0,12114528000.0,77627840000.0,9.747043191162502
2017-04-10,117.84,7964245000.0,20078773000.0,12114528000.0,77892240000.0,9.7802415671542
2017-04-11,116.08,7964245000.0,20078773000.0,12114528000.0,76728880000.0,9.634168712790729
2017-04-12,115.58,7964245000.0,20078773000.0,12114528000.0,76398380000.0,9.592670742801106
2017-04-13,114.86,7964245000.0,20078773000.0,12114528000.0,75922460000.0,9.53291366601605
2017-04-17,115.72,7964245000.0,20078773000.0,12114528000.0,76259480000.0,9.575230294899265
2017-04-18,116.24,7964245000.0,20078773000.0,12114528000.0,76602160000.0,9.618257600061273
2017-04-19,116.95,7964245000.0,20078773000.0,12114528000.0,77070050000.0,9.677006420570939
2017-04-20,119.21,7964245000.0,20078773000.0,12114528000.0,78559390000.0,9.864009708390437
2017-04-21,119.23,7964245000.0,20078773000.0,12114528000.0,78572570000.0,9.865664604742822
2017-04-24,119.36,7964245000.0,20078773000.0,12114528000.0,78658240000.0,9.876421431033325
2017-04-25,118.69,7964245000.0,20078773000.0,12114528000.0,78216710000.0,9.82098240322843
2017-04-26,118.98,7964245000.0,20078773000.0,12114528000.0,78407820000.0,9.844978400338011
2017-04-27,120.49,7964245000.0,20078773000.0,12114528000.0,79402910000.0,9.969923074943074
2017-04-28,121.3,7964245000.0,20078773000.0,12114528000.0,79936700000.0,10.036946377214663
2017-05-01,121.25,7964245000.0,20078773000.0,12114528000.0,79903750000.0,10.032809136333702
2017-05-02,120.68,7964245000.0,20078773000.0,12114528000.0,79528120000.0,9.98564459029073
2017-05-03,120.3,7964245000.0,20078773000.0,12114528000.0,79277700000.0,9.954201559595417
2017-05-04,120.82,7964245000.0,20078773000.0,12114528000.0,79620380000.0,9.997228864757425
2017-05-05,121.52,7964245000.0,20078773000.0,12114528000.0,80081680000.0,10.055150237090897
2017-05-08,121.11,7964245000.0,20078773000.0,12114528000.0,79811490000.0,10.021224861867006
2017-05-09,121.07,7964245000.0,20078773000.0,12114528000.0,79785130000.0,10.017915069162237
2017-05-10,121.2,7964245000.0,20078773000.0,12114528000.0,79870800000.0,10.028671895452739
2017-05-11,120.8,7964245000.0,20078773000.0,12114528000.0,79607200000.0,9.99557396840504
2017-05-12,120.96,7964245000.0,20078773000.0,12114528000.0,79712640000.0,10.00881313922412
2017-05-15,122.25,7964245000.0,20078773000.0,12114528000.0,80562750000.0,10.115553953952949
2017-05-16,123.14,7964245000.0,20078773000.0,12114528000.0,81149260000.0,10.189196841634079
2017-05-17,120.44,7964245000.0,20078773000.0,12114528000.0,79369960000.0,9.965785834062112
2017-05-18,120.4,7964245000.0,20078773000.0,12114528000.0,79343600000.0,9.962476041357341
2017-05-19,120.98,7964245000.0,20078773000.0,12114528000.0,79725820000.0,10.010468035576505
2017-05-22,122.71,7964245000.0,20078773000.0,12114528000.0,80865890000.0,10.153616570057801
2017-05-23,122.15,7964245000.0,20078773000.0,12114528000.0,80496850000.0,10.107279472191024
2017-05-24,121.95,7964245000.0,20078773000.0,12114528000.0,80365050000.0,10.090730508667175
2017-05-25,123.1,7964245000.0,20078773000.0,12114528000.0,81122900000.0,10.185887048929308
2017-05-26,122.89,7964245000.0,20078773000.0,12114528000.0,80984510000.0,10.168510637229266
2017-05-30,123.77,7964245000.0,20078773000.0,12114528000.0,81564430000.0,10.241326076734204
2017-05-31,124.47,7964245000.0,20078773000.0,12114528000.0,82025730000.0,10.299247449067677
2017-06-01,125.29,7964245000.0,20078773000.0,12114528000.0,82566110000.0,10.367098199515459
2017-06-02,125.74,7964245000.0,20078773000.0,12114528000.0,82862660000.0,10.40433336744412
2017-06-05,126.58,7964245000.0,20078773000.0,12114528000.0,83416220000.0,10.473839014244287
2017-06-06,126.33,7964245000.0,20078773000.0,12114528000.0,83251470000.0,10.453152809839477
2017-06-07,126.55,7964245000.0,20078773000.0,12114528000.0,83396450000.0,10.47135666971571
2017-06-08,126.17,7964245000.0,20078773000.0,12114528000.0,83146030000.0,10.439913639020396
2017-06-09,125.82,7964245000.0,20078773000.0,12114528000.0,82915380000.0,10.41095295285366
2017-06-12,126.3,7964245000.0,20078773000.0,12114528000.0,83231700000.0,10.4506704653109
2017-06-13,127.07,7964245000.0,20078773000.0,12114528000.0,83739130000.0,10.514383974877719
2017-06-14,127.25,7964245000.0,20078773000.0,12114528000.0,83857750000.0,10.529278042049183
2017-06-15,127.03,7964245000.0,20078773000.0,12114528000.0,83712770000.0,10.51107418217295
2017-06-16,127.56,7964245000.0,20078773000.0,12114528000.0,84062040000.0,10.55492893551115
2017-06-19,127.77,7964245000.0,20078773000.0,12114528000.0,84200430000.0,10.572305347211191
2017-06-20,126.53,7964245000.0,20078773000.0,12114528000.0,83383270000.0,10.469701773363326
2017-06-21,127.11,7964245000.0,20078773000.0,12114528000.0,83765490000.0,10.51769376758249
2017-06-22,122.08,8167356000.0,21135592000.0,12968236000.0,80450720000.0,9.850277127628575
2017-06-23,122.74,8167356000.0,21135592000.0,12968236000.0,80885660000.0,9.90353059178515
2017-06-26,122.34,8167356000.0,21135592000.0,12968236000.0,80622060000.0,9.871255765023589
2017-06-27,122.19,8167356000.0,21135592000.0,12968236000.0,80523210000.0,9.859152704988004
2017-06-28,123.74,8167356000.0,21135592000.0,12968236000.0,81544660000.0,9.984217658689055
2017-06-29,122.99,8167356000.0,21135592000.0,12968236000.0,81050410000.0,9.923702358511127
2017-06-30,123.68,8167356000.0,21135592000.0,12968236000.0,81505120000.0,9.97937643467482
2017-07-03,123.93,8167356000.0,21135592000.0,12968236000.0,81669870000.0,9.999548201400795
2017-07-05,124.05,8167356000.0,21135592000.0,12968236000.0,81748950000.0,10.009230649429265
2017-07-06,122.94,8167356000.0,21135592000.0,12968236000.0,81017460000.0,9.919668005165931
2017-07-07,124.21,8167356000.0,21135592000.0,12968236000.0,81854390000.0,10.02214058013389
2017-07-10,124.06,8167356000.0,21135592000.0,12968236000.0,81755540000.0,10.010037520098303
2017-07-11,123.85,8167356000.0,21135592000.0,12968236000.0,81617150000.0,9.993093236048484
2017-07-12,125.47,8167356000.0,21135592000.0,12968236000.0,82684730000.0,10.123806284432808
2017-07-13,125.73,8167356000.0,21135592000.0,12968236000.0,82856070000.0,10.144784921827823
