date,AIZ,AIZ_SHE,PB Ratio
2004-11-26,4080200038.83,3555051000.0,1.1477191294386493
2004-11-29,4040075996.4,3555051000.0,1.1364326408819452
2004-11-30,4150763010.0,3555051000.0,1.1675677817280259
2004-12-01,4081583626.5,3555051000.0,1.1481083186992254
2004-12-02,4132776370.29,3555051000.0,1.1625083213405376
2004-12-03,4146612246.99,3555051000.0,1.1664002139462977
2004-12-06,4109255379.9,3555051000.0,1.1558921039107457
2004-12-07,4124474844.27,3555051000.0,1.1601731857770816
2004-12-08,4157680948.35,3555051000.0,1.1695137280309058
2004-12-09,4128625607.28,3555051000.0,1.1613407535588098
2004-12-10,4192270640.1,3555051000.0,1.179243459545306
2004-12-13,4275285900.2999997,3555051000.0,1.2025948151798664
2004-12-14,4289121777.0,3555051000.0,1.2064867077856267
2004-12-15,4244846971.56,3555051000.0,1.1940326514471944
2004-12-16,4219942393.5,3555051000.0,1.1870272447568262
2004-12-17,4232394682.53,3555051000.0,1.1905299481020104
2004-12-20,4268367961.9500003,3555051000.0,1.2006488688769867
2004-12-21,4218558805.83,3555051000.0,1.1866380554962503
2004-12-22,4178434763.4,3555051000.0,1.175351566939546
2004-12-23,4219942393.5,3555051000.0,1.1870272447568262
2004-12-27,4178434763.4,3555051000.0,1.175351566939546
2004-12-28,4192270640.1,3555051000.0,1.179243459545306
2004-12-29,4189503464.76,3555051000.0,1.1784650810241541
2004-12-30,4185352701.75,3555051000.0,1.1772975132424262
2004-12-31,4226860331.85,3555051000.0,1.1889731910597063
2005-01-03,4289911563.1,3555051000.0,1.2067088666519834
2005-01-04,4206069643.3,3555051000.0,1.1831249800073191
2005-01-05,4171135510.05,3555051000.0,1.1732983605720424
2005-01-06,4275937909.8,3555051000.0,1.2027782188778726
2005-01-07,4245195872.54,3555051000.0,1.1941307937748291
2005-01-10,4220043296.6,3555051000.0,1.18705562778143
2005-01-11,4227030123.25,3555051000.0,1.1890209516684853
2005-01-12,4189301259.34,3555051000.0,1.1784082026783864
