date,close price,HON_SHE,HON_TA,HON_TL,market cap,PB Ratio
2007-04-25,51.47,9163000000.0,31213000000.0,22050000000.0,40359579308.57,4.404625047317473
2007-04-26,51.19,9163000000.0,31213000000.0,22050000000.0,40140020687.89,4.380663613215104
2007-04-27,52.33,9163000000.0,31213000000.0,22050000000.0,41033937929.229996,4.478220880631889
2007-04-30,51.65,9163000000.0,31213000000.0,22050000000.0,40500724136.15,4.42002882638328
2007-05-01,52.51,9163000000.0,31213000000.0,22050000000.0,41175082756.81,4.493624659697697
2007-05-02,52.91,9163000000.0,31213000000.0,22050000000.0,41488737929.21,4.527855279843937
2007-05-03,53.39,9163000000.0,31213000000.0,22050000000.0,41865124136.090004,4.568932024019427
2007-05-04,53.5,9163000000.0,31213000000.0,22050000000.0,41951379308.5,4.578345444559642
2007-05-07,52.75,9163000000.0,31213000000.0,22050000000.0,41363275860.25,4.514163031785442
2007-05-08,53.19,9163000000.0,31213000000.0,22050000000.0,41708296549.89,4.551816713946306
2007-05-09,54.16,9163000000.0,31213000000.0,22050000000.0,42468910342.96,4.634825967800938
2007-05-10,54.21,9163000000.0,31213000000.0,22050000000.0,42508117239.51,4.639104795319219
2007-05-11,55.1,9163000000.0,31213000000.0,22050000000.0,43205999998.1,4.7152679251446035
2007-05-14,55.96,9163000000.0,31213000000.0,22050000000.0,43880358618.76,4.78886375845902
2007-05-15,55.3,9163000000.0,31213000000.0,22050000000.0,43362827584.299995,4.732383235217723
2007-05-16,55.43,9163000000.0,31213000000.0,22050000000.0,43464765515.33,4.7435081867652515
2007-05-17,55.51,9163000000.0,31213000000.0,22050000000.0,43527496549.81,4.750354310794499
2007-05-18,55.96,9163000000.0,31213000000.0,22050000000.0,43880358618.76,4.78886375845902
2007-05-21,55.58,9163000000.0,31213000000.0,22050000000.0,43582386204.979996,4.756344669320091
2007-05-22,54.32,9163000000.0,31213000000.0,22050000000.0,42594372411.92,4.6485182158594345
2007-05-23,53.9,9163000000.0,31213000000.0,22050000000.0,42265034480.9,4.612576064705882
2007-05-24,53.38,9163000000.0,31213000000.0,22050000000.0,41857282756.78,4.56807625851577
2007-05-25,54.28,9163000000.0,31213000000.0,22050000000.0,42563006894.68,4.645095153844811
2007-05-29,54.68,9163000000.0,31213000000.0,22050000000.0,42876662067.08,4.679325773991051
2007-05-30,55.04,9163000000.0,31213000000.0,22050000000.0,43158951722.24,4.710133332122667
2007-05-31,55.21,9163000000.0,31213000000.0,22050000000.0,43292255170.51,4.72468134568482
2007-06-01,56.06,9163000000.0,31213000000.0,22050000000.0,43958772411.86,4.79742141349558
2007-06-04,55.89,9163000000.0,31213000000.0,22050000000.0,43825468963.590004,4.782873399933428
2007-06-05,55.47,9163000000.0,31213000000.0,22050000000.0,43496131032.57,4.746931248779876
2007-06-06,54.67,9163000000.0,31213000000.0,22050000000.0,42868820687.770004,4.678470008487396
2007-06-07,53.77,9163000000.0,31213000000.0,22050000000.0,42163096549.87,4.601451113158355
2007-06-08,54.7,9163000000.0,31213000000.0,22050000000.0,42892344825.700005,4.681037304998363
2007-06-11,54.36,9163000000.0,31213000000.0,22050000000.0,42625737929.159996,4.651941277874058
2007-06-12,54.0,9163000000.0,31213000000.0,22050000000.0,42343448274.0,4.621133719742442
2007-06-13,54.87,9163000000.0,31213000000.0,22050000000.0,43025648273.97,4.695585318560515
2007-06-14,55.52,9163000000.0,31213000000.0,22050000000.0,43535337929.12,4.751210076298156
2007-06-15,56.12,9163000000.0,31213000000.0,22050000000.0,44005820687.72,4.802556006517516
2007-06-18,55.11,9163000000.0,31213000000.0,22050000000.0,43213841377.409996,4.716123690648259
2007-06-19,55.17,9163000000.0,31213000000.0,22050000000.0,43260889653.270004,4.7212582836701955
2007-06-20,53.91,9163000000.0,31213000000.0,22050000000.0,42272875860.21,4.613431830209538
2007-06-21,53.75,9163000000.0,31213000000.0,22050000000.0,42147413791.25,4.5997395821510425
2007-06-22,53.08,9163000000.0,31213000000.0,22050000000.0,41622041377.479996,4.542403293406089
2007-06-25,53.08,9163000000.0,31213000000.0,22050000000.0,41622041377.479996,4.542403293406089
2007-06-26,53.4,9163000000.0,31213000000.0,22050000000.0,41872965515.4,4.569787789523082
2007-06-27,53.68,9163000000.0,31213000000.0,22050000000.0,42092524136.08,4.5937492236254505
2007-06-28,53.75,9163000000.0,31213000000.0,22050000000.0,42147413791.25,4.5997395821510425
2007-06-29,53.66,9163000000.0,31213000000.0,22050000000.0,42076841377.46,4.592037692618138
2007-07-02,54.42,9163000000.0,31213000000.0,22050000000.0,41889078941.64,4.571546321252865
2007-07-03,54.53,9163000000.0,31213000000.0,22050000000.0,41973749994.26,4.580786859572193
2007-07-05,55.64,9163000000.0,31213000000.0,22050000000.0,42828157888.88,4.674032291703591
2007-07-06,56.33,9163000000.0,31213000000.0,22050000000.0,43359276309.86,4.731995668433919
2007-07-09,55.8,9163000000.0,31213000000.0,22050000000.0,42951315783.6,4.687473074713521
2007-07-10,55.12,9163000000.0,31213000000.0,22050000000.0,42427894731.04,4.630349746921314
2007-07-11,56.0,9163000000.0,31213000000.0,22050000000.0,43105263152.0,4.7042740534759355
2007-07-12,57.62,9163000000.0,31213000000.0,22050000000.0,44352236836.04,4.8403619814514895
2007-07-13,57.34,9163000000.0,31213000000.0,22050000000.0,44136710520.28001,4.81684061118411
2007-07-16,57.77,9163000000.0,31213000000.0,22050000000.0,44467697362.340004,4.852962715523301
2007-07-17,58.0,9163000000.0,31213000000.0,22050000000.0,44644736836.0,4.872283841100076
2007-07-18,57.72,9163000000.0,31213000000.0,22050000000.0,44429210520.24,4.848762470832696
2007-07-19,58.14,7800000000.0,31771000000.0,23971000000.0,44752499993.88,5.737499999215384
2007-07-20,58.12,7800000000.0,31771000000.0,23971000000.0,44737105257.04,5.735526315005128
2007-07-23,58.58,7800000000.0,31771000000.0,23971000000.0,45091184204.36,5.780921051841026
2007-07-24,57.85,7800000000.0,31771000000.0,23971000000.0,44529276309.700005,5.708881578166667
2007-07-25,58.04,7800000000.0,31771000000.0,23971000000.0,44675526309.68,5.727631578164103
2007-07-26,56.65,7800000000.0,31771000000.0,23971000000.0,43605592099.299995,5.590460525551282
2007-07-27,55.88,7800000000.0,31771000000.0,23971000000.0,43012894730.96,5.51447368345641
2007-07-30,56.67,7800000000.0,31771000000.0,23971000000.0,43620986836.14,5.592434209761539
2007-07-31,54.83,7800000000.0,31771000000.0,23971000000.0,42204671046.86,5.4108552624179485
2007-08-01,54.49,7800000000.0,31771000000.0,23971000000.0,41942960520.58,5.37730263084359
2007-08-02,56.3,7800000000.0,31771000000.0,23971000000.0,43336184204.6,5.5559210518717945
2007-08-03,55.47,7800000000.0,31771000000.0,23971000000.0,42697302625.74,5.474013157146153
2007-08-06,56.2,7800000000.0,31771000000.0,23971000000.0,43259210520.4,5.546052630820513
2007-08-07,56.12,7800000000.0,31771000000.0,23971000000.0,43197631573.04,5.538157893979487
2007-08-08,55.06,7800000000.0,31771000000.0,23971000000.0,42381710520.520004,5.433552630835898
2007-08-09,54.13,7800000000.0,31771000000.0,23971000000.0,41665855257.46,5.341776315058974
2007-08-10,53.4,7800000000.0,31771000000.0,23971000000.0,41103947362.799995,5.269736841384614
2007-08-13,53.86,7800000000.0,31771000000.0,23971000000.0,41458026310.12,5.315131578220513
2007-08-14,53.74,7800000000.0,31771000000.0,23971000000.0,41365657889.08,5.303289472958975
2007-08-15,52.17,7800000000.0,31771000000.0,23971000000.0,40157171047.14,5.148355262453846
2007-08-16,51.6,7800000000.0,31771000000.0,23971000000.0,39718421047.200005,5.092105262461539
