date,WMT,WMT_SHE,PB Ratio
2010-11-08,201519700000.0,64646000000.0,3.1172802648269036
2010-11-09,202033500000.0,64646000000.0,3.125228165702441
2010-11-10,200051700000.0,64646000000.0,3.094571976611082
2010-11-11,199427800000.0,64646000000.0,3.0849209541193576
2010-11-12,198657100000.0,64646000000.0,3.0729991028060515
2010-11-15,197996500000.0,64646000000.0,3.062780373108932
2010-11-16,199134200000.0,64646000000.0,3.0803792964761936
2010-11-17,197335900000.0,64646000000.0,3.052561643411812
2010-11-18,198106600000.0,64646000000.0,3.0644834947251183
2010-11-19,199611300000.0,64646000000.0,3.087759490146335
2010-11-22,199574600000.0,64646000000.0,3.08719178294094
2010-11-23,196968900000.0,64646000000.0,3.0468845713578565
2010-11-24,198216700000.0,64646000000.0,3.0661866163413047
2010-11-26,197225800000.0,64646000000.0,3.0508585217956252
2010-11-29,197629500000.0,64646000000.0,3.057103301054976
2010-11-30,198510300000.0,64646000000.0,3.0707282739844692
2010-12-01,200749000000.0,64646000000.0,3.105358413513597
2010-12-02,200932500000.0,64646000000.0,3.108196949540575
2010-12-03,200455400000.0,64646000000.0,3.100816755870433
2010-12-06,199978300000.0,65525000000.0,3.0519389545974818
2010-12-07,202180300000.0,65525000000.0,3.0855444486837085
2010-12-08,199978300000.0,65525000000.0,3.0519389545974818
2010-12-09,199427800000.0,65525000000.0,3.0435375810759253
2010-12-10,199207600000.0,65525000000.0,3.0401770316673025
2010-12-13,198950700000.0,65525000000.0,3.036256390690576
2010-12-14,199831500000.0,65525000000.0,3.0496985883250667
2010-12-15,199024100000.0,65525000000.0,3.0373765738267835
2010-12-16,200492100000.0,65525000000.0,3.059780236550935
2010-12-17,199684700000.0,65525000000.0,3.0474582220526516
2010-12-20,197335900000.0,65525000000.0,3.01161236169401
2010-12-21,196895500000.0,65525000000.0,3.0048912628767646
2010-12-22,195647700000.0,65525000000.0,2.985848149561236
2010-12-23,196712000000.0,65525000000.0,3.0020908050362456
2010-12-27,196601900000.0,65525000000.0,3.0004105303319344
2010-12-28,197225800000.0,65525000000.0,3.0099320869896986
2010-12-29,198473600000.0,65525000000.0,3.028975200305227
2010-12-30,198436900000.0,65525000000.0,3.028415108737123
2010-12-31,197923100000.0,65525000000.0,3.02057382678367
2011-01-03,200235200000.0,65525000000.0,3.0558595955742085
2011-01-04,201005900000.0,65525000000.0,3.067621518504388
2011-01-05,199684700000.0,65525000000.0,3.0474582220526516
2011-01-06,198033200000.0,65525000000.0,3.022254101487982
2011-01-07,198473600000.0,65525000000.0,3.028975200305227
2011-01-10,197189100000.0,65525000000.0,3.0093719954215947
2011-01-11,199244300000.0,65525000000.0,3.0407371232354063
2011-01-12,201299500000.0,65525000000.0,3.072102251049218
2011-01-13,201079300000.0,65525000000.0,3.068741701640595
2011-01-14,201152700000.0,65525000000.0,3.069861884776803
2011-01-18,202363800000.0,65525000000.0,3.0883449065242274
2011-01-19,201960100000.0,65525000000.0,3.0821838992750856
2011-01-20,205483300000.0,65525000000.0,3.1359526898130485
2011-01-21,204529100000.0,65525000000.0,3.1213903090423503
2011-01-24,205703500000.0,65525000000.0,3.139313239221671
2011-01-25,210144200000.0,65525000000.0,3.2070843189622282
2011-01-26,210364400000.0,65525000000.0,3.2104448683708506
2011-01-27,211281900000.0,65525000000.0,3.2244471575734455
2011-01-28,208089000000.0,65525000000.0,3.1757191911484166
2011-01-31,205776900000.0,65525000000.0,3.1404334223578787
2011-02-01,197887290000.0,65525000000.0,3.0200273178176267
2011-02-02,196236180000.0,65525000000.0,2.9948291491797026
2011-02-03,196446960000.0,65525000000.0,2.998045936665395
2011-02-04,196833390000.0,65525000000.0,3.0039433803891646
2011-02-07,196973910000.0,65525000000.0,3.006087905379626
2011-02-08,198062940000.0,65525000000.0,3.022707974055704
2011-02-09,199292490000.0,65525000000.0,3.0414725677222436
2011-02-10,195287670000.0,65525000000.0,2.980353605494086
2011-02-11,195638970000.0,65525000000.0,2.9857149179702405
2011-02-14,192512400000.0,65525000000.0,2.9379992369324683
2011-02-15,193039350000.0,65525000000.0,2.9460412056467
2011-02-16,191634150000.0,65525000000.0,2.9245959557420833
2011-02-17,192336750000.0,65525000000.0,2.9353185806943913
2011-02-18,194549940000.0,65525000000.0,2.9690948492941627
2011-02-22,188542710000.0,65525000000.0,2.877416405951927
2011-02-23,186294390000.0,65525000000.0,2.8431040061045403
2011-02-24,182992170000.0,65525000000.0,2.792707668828691
2011-02-25,181797750000.0,65525000000.0,2.7744792064097674
2011-02-28,182605740000.0,65525000000.0,2.786810225104922
2011-03-01,182921910000.0,65525000000.0,2.7916354063334605
2011-03-02,182570610000.0,65525000000.0,2.7862740938573065
2011-03-03,182711130000.0,65525000000.0,2.788418618847768
2011-03-04,182921910000.0,65525000000.0,2.7916354063334605
2011-03-07,182746260000.0,65525000000.0,2.7889547500953835
2011-03-08,184221720000.0,65525000000.0,2.8114722624952306
2011-03-09,185029710000.0,65525000000.0,2.8238032811903855
2011-03-10,184959450000.0,65525000000.0,2.8227310186951544
2011-03-11,184748670000.0,65525000000.0,2.819514231209462
2011-03-14,183800160000.0,65525000000.0,2.805038687523846
2011-03-15,182886780000.0,65525000000.0,2.791099275085845
2011-03-16,180497940000.0,65525000000.0,2.754642350247997
2011-03-17,180462810000.0,65525000000.0,2.7541062190003816
2011-03-18,180989760000.0,65525000000.0,2.7621481877146126
2011-03-21,182394960000.0,65525000000.0,2.7835934376192295
2011-03-22,182676000000.0,65525000000.0,2.7878824876001524
2011-03-23,181411320000.0,65525000000.0,2.7685817626859976
2011-03-24,184748670000.0,65525000000.0,2.819514231209462
2011-03-25,183905550000.0,65525000000.0,2.806647081266692
2011-03-28,183343470000.0,65525000000.0,2.7980689813048456
2011-03-29,183589380000.0,65525000000.0,2.8018219000381532
2011-03-30,183940680000.0,68542000000.0,2.6836199702372268
2011-03-31,182851650000.0,68542000000.0,2.667731463919932
2011-04-01,183132690000.0,68542000000.0,2.671831723614718
2011-04-04,184959450000.0,68542000000.0,2.698483411630825
