date,close price,UPS_SHE,UPS_TA,UPS_TL,market cap,PB Ratio
2018-08-28,122.75,2328000000.0,45223000000.0,42895000000.0,106792500000.0,45.87306701030928
2018-08-29,123.47,2328000000.0,45223000000.0,42895000000.0,107418900000.0,46.14213917525773
2018-08-30,122.85,2328000000.0,45223000000.0,42895000000.0,106879500000.0,45.910438144329895
2018-08-31,122.88,2328000000.0,45223000000.0,42895000000.0,106905600000.0,45.92164948453608
2018-09-04,124.34,2328000000.0,45223000000.0,42895000000.0,108175800000.0,46.46726804123711
2018-09-05,124.66,2328000000.0,45223000000.0,42895000000.0,108454200000.0,46.58685567010309
2018-09-06,123.7,2328000000.0,45223000000.0,42895000000.0,107619000000.0,46.228092783505154
2018-09-07,122.99,2328000000.0,45223000000.0,42895000000.0,107001300000.0,45.96275773195876
2018-09-10,124.34,2328000000.0,45223000000.0,42895000000.0,108175800000.0,46.46726804123711
2018-09-11,123.07,2328000000.0,45223000000.0,42895000000.0,107070900000.0,45.99265463917526
2018-09-12,123.3,2328000000.0,45223000000.0,42895000000.0,107271000000.0,46.07860824742268
2018-09-13,119.7,2328000000.0,45223000000.0,42895000000.0,104139000000.0,44.733247422680414
2018-09-14,120.39,2328000000.0,45223000000.0,42895000000.0,104739300000.0,44.99110824742268
2018-09-17,119.09,2328000000.0,45223000000.0,42895000000.0,103608300000.0,44.50528350515464
2018-09-18,118.24,2328000000.0,45223000000.0,42895000000.0,102868800000.0,44.187628865979384
2018-09-19,118.25,2328000000.0,45223000000.0,42895000000.0,102877500000.0,44.191365979381445
2018-09-20,119.12,2328000000.0,45223000000.0,42895000000.0,103634400000.0,44.516494845360825
2018-09-21,118.49,2328000000.0,45223000000.0,42895000000.0,103086300000.0,44.28105670103093
2018-09-24,117.33,2328000000.0,45223000000.0,42895000000.0,102077100000.0,43.847551546391756
2018-09-25,116.26,2328000000.0,45223000000.0,42895000000.0,101146200000.0,43.447680412371135
2018-09-26,116.7,2328000000.0,45223000000.0,42895000000.0,101529000000.0,43.61211340206186
2018-09-27,116.73,2328000000.0,45223000000.0,42895000000.0,101555100000.0,43.62332474226804
2018-09-28,116.75,2328000000.0,45223000000.0,42895000000.0,101572500000.0,43.63079896907217
2018-10-01,117.46,2328000000.0,45223000000.0,42895000000.0,102190200000.0,43.896134020618554
2018-10-02,116.99,2328000000.0,45223000000.0,42895000000.0,101781300000.0,43.72048969072165
2018-10-03,117.78,2328000000.0,45223000000.0,42895000000.0,102468600000.0,44.01572164948453
2018-10-04,117.31,2328000000.0,45223000000.0,42895000000.0,102059700000.0,43.84007731958763
2018-10-05,117.24,2328000000.0,45223000000.0,42895000000.0,101998800000.0,43.8139175257732
2018-10-08,118.78,2328000000.0,45223000000.0,42895000000.0,103338600000.0,44.389432989690725
2018-10-09,117.92,2328000000.0,45223000000.0,42895000000.0,102590400000.0,44.068041237113405
2018-10-10,116.65,2328000000.0,45223000000.0,42895000000.0,101485500000.0,43.59342783505155
2018-10-11,113.76,2328000000.0,45223000000.0,42895000000.0,98971200000.0,42.51340206185567
2018-10-12,115.64,2328000000.0,45223000000.0,42895000000.0,100606800000.0,43.2159793814433
2018-10-15,115.77,2328000000.0,45223000000.0,42895000000.0,100719900000.0,43.2645618556701
2018-10-16,117.48,2328000000.0,45223000000.0,42895000000.0,102207600000.0,43.90360824742268
2018-10-17,118.01,2328000000.0,45223000000.0,42895000000.0,102668700000.0,44.10167525773196
2018-10-18,114.73,2328000000.0,45223000000.0,42895000000.0,99815100000.0,42.87590206185567
2018-10-19,116.49,2328000000.0,45223000000.0,42895000000.0,101346300000.0,43.53363402061856
2018-10-22,115.64,2328000000.0,45223000000.0,42895000000.0,100606800000.0,43.2159793814433
