date,close price,AVB_SHE,AVB_TA,AVB_TL,market cap,PB Ratio
2003-04-10,37.8,2194540000.0,4950835000.0,2678852000.0,4129271999.9999995,1.8816116361515396
2003-04-11,37.55,2194540000.0,4950835000.0,2678852000.0,4101961999.9999995,1.8691671147484208
2003-04-14,38.04,2194540000.0,4950835000.0,2678852000.0,4155489600.0,1.8935583766985336
2003-04-15,38.5,2194540000.0,4950835000.0,2678852000.0,4205740000.0,1.916456296080272
2003-04-16,38.83,2194540000.0,4950835000.0,2678852000.0,4241789200.0,1.9328830643323887
2003-04-17,39.1,2194540000.0,4950835000.0,2678852000.0,4271284000.0,1.9463231474477567
2003-04-21,39.47,2194540000.0,4950835000.0,2678852000.0,4311702800.0,1.9647410391243723
2003-04-22,39.89,2194540000.0,4950835000.0,2678852000.0,4357583600.0,1.9856478350816116
2003-04-23,40.15,2194540000.0,4950835000.0,2678852000.0,4385986000.0,1.998590137340855
2003-04-24,39.7,2194540000.0,4950835000.0,2678852000.0,4336828000.0,1.9761899988152414
2003-04-25,39.6,2194540000.0,4950835000.0,2678852000.0,4325904000.0,1.971212190253994
2003-04-28,39.65,2194540000.0,4950835000.0,2678852000.0,4331366000.0,1.9737010945346178
2003-04-29,40.0,2194540000.0,4950835000.0,2678852000.0,4369600000.0,1.991123424498984
2003-04-30,39.89,2194540000.0,4950835000.0,2678852000.0,4357583600.0,1.9856478350816116
2003-05-01,40.15,2194540000.0,4950835000.0,2678852000.0,4385986000.0,1.998590137340855
2003-05-02,40.19,2194540000.0,4950835000.0,2678852000.0,4390355600.0,2.000581260765354
2003-05-05,40.35,2194540000.0,4950835000.0,2678852000.0,4407834000.0,2.00854575446335
2003-05-06,40.77,2194540000.0,4950835000.0,2678852000.0,4453714800.0,2.029452550420589
2003-05-07,40.54,2194540000.0,4950835000.0,2678852000.0,4428589600.0,2.01800359072972
2003-05-08,40.81,2194540000.0,4950835000.0,2678852000.0,4458084400.0,2.031443673845088
2003-05-09,40.91,2194540000.0,4950835000.0,2678852000.0,4469008400.0,2.0364214824063356
