date,VRSK,VRSK_SHE,PB Ratio
2016-08-18,14009441989.41,1449864000.0,9.662590414969955
2016-08-19,14054030738.550001,1449864000.0,9.693344160935096
2016-08-22,14108909199.029999,1449864000.0,9.73119492519988
2016-08-23,14112339102.810001,1449864000.0,9.73356059796643
2016-08-24,14081469968.789999,1449864000.0,9.712269543067487
2016-08-25,14234100687.0,1449864000.0,9.817541981178925
2016-08-26,14258110013.460001,1449864000.0,9.834101690544768
2016-08-29,14251250205.9,1449864000.0,9.82937034501167
2016-08-30,14234100687.0,1449864000.0,9.817541981178925
2016-08-31,14242675446.449999,1449864000.0,9.823456163095296
2016-09-01,14285549243.699999,1449864000.0,9.853027072677161
2016-09-02,14378156645.76,1449864000.0,9.916900237373989
2016-09-06,14415885587.34,1449864000.0,9.94292263780603
2016-09-07,14340427704.18,1449864000.0,9.890877836941948
2016-09-08,14203231552.98,1449864000.0,9.796250926279981
2016-09-09,14055745690.439999,1449864000.0,9.694526997318368
2016-09-12,14191226889.75,1449864000.0,9.78797107159706
2016-09-13,14030021412.09,1449864000.0,9.676784451569251
2016-09-14,13915119635.460001,1449864000.0,9.597534413889855
2016-09-15,13975142951.609999,1449864000.0,9.638933687304464
2016-09-16,13829372040.960001,1449864000.0,9.538392594726126
2016-09-19,13843091656.08,1449864000.0,9.547855285792323
2016-09-20,13817367377.73,1449864000.0,9.530112740043204
2016-09-21,13867100982.539999,1449864000.0,9.564414995158167
2016-09-22,13899685068.449999,1449864000.0,9.586888886440383
2016-09-23,13945988769.48,1449864000.0,9.618825468788797
2016-09-26,13911689731.68,1449864000.0,9.595168741123306
2016-09-27,13957993432.710001,1449864000.0,9.627105323471719
2016-09-28,14040311123.43,1449864000.0,9.683881469868899
2016-09-29,13899685068.449999,1449864000.0,9.586888886440383
2016-09-30,13939128961.92,1449864000.0,9.614094123255699
2016-10-03,13904266793.560001,1449864000.0,9.5900489932573
2016-10-04,13804987281.800001,1449864000.0,9.52157394196973
2016-10-05,13745077231.6,1449864000.0,9.48025279033068
2016-10-06,13650932867.0,1449864000.0,9.415319552040744
2016-10-07,13626968846.92,1449864000.0,9.398791091385123
2016-10-10,13710842917.199999,1449864000.0,9.456640703679792
2016-10-11,13591022816.800001,1449864000.0,9.373998400401694
2016-10-12,13611563405.439999,1449864000.0,9.388165652392223
2016-10-13,13584175953.92,1449864000.0,9.369275983071516
2016-10-14,13585887669.640001,1449864000.0,9.37045658740406
2016-10-17,13603004826.84,1449864000.0,9.382262630729503
2016-10-18,13751924094.480001,1449864000.0,9.484975207660858
2016-10-19,13770752967.4,1449864000.0,9.497961855318843
2016-10-20,13707419485.76,1449864000.0,9.454279495014704
2016-10-21,13909401940.720001,1449864000.0,9.593590806254932
2016-10-24,14073726649.84,1449864000.0,9.706928822179183
2016-10-25,14051474345.480001,1449864000.0,9.691580965856108
