date,close price,SWKS_SHE,SWKS_TA,SWKS_TL,market cap,PB Ratio
2019-01-14,68.35,4097000000.0,4828900000.0,731900000.0,12036434999.999998,2.937865511349768
2019-01-15,68.45,4097000000.0,4828900000.0,731900000.0,12054045000.0,2.9421637783744203
2019-01-16,68.8,4097000000.0,4828900000.0,731900000.0,12115680000.0,2.957207712960703
2019-01-17,69.03,4097000000.0,4828900000.0,731900000.0,12156183000.0,2.967093727117403
2019-01-18,70.07,4097000000.0,4828900000.0,731900000.0,12339326999.999998,3.0117957041737853
2019-01-22,68.9,4097000000.0,4828900000.0,731900000.0,12133290000.000002,2.961505979985356
2019-01-23,68.27,4097000000.0,4828900000.0,731900000.0,12022347000.0,2.9344268977300465
2019-01-24,70.03,4097000000.0,4828900000.0,731900000.0,12332283000.0,3.0100763973639246
2019-01-25,72.47,4097000000.0,4828900000.0,731900000.0,12761967000.0,3.1149541127654383
2019-01-28,72.69,4097000000.0,4828900000.0,731900000.0,12800709000.0,3.124410300219673
2019-01-29,71.54,4097000000.0,4828900000.0,731900000.0,12598194000.000002,3.074980229436173
2019-01-30,73.92,4097000000.0,4828900000.0,731900000.0,13017312000.0,3.1772789846228946
2019-01-31,73.04,4097000000.0,4828900000.0,731900000.0,12862344000.000002,3.139454234805956
2019-02-01,73.96,4097000000.0,4828900000.0,731900000.0,13024355999.999998,3.1789982914327553
2019-02-04,74.87,4097000000.0,4828900000.0,731900000.0,13184607000.0,3.2181125213570905
2019-02-05,75.96,4097000000.0,4828900000.0,731900000.0,13376555999.999998,3.264963631925799
2019-02-06,84.69,4038300000.0,4738900000.0,700600000.0,14913909000.0,3.693115667483842
2019-02-07,81.56,4038300000.0,4738900000.0,700600000.0,14362716000.0,3.556624322115742
2019-02-08,81.71,4038300000.0,4738900000.0,700600000.0,14389130999.999998,3.56316544090335
2019-02-11,81.84,4038300000.0,4738900000.0,700600000.0,14412024000.0,3.568834410519278
2019-02-12,83.58,4038300000.0,4738900000.0,700600000.0,14718438000.0,3.6447113884555384
2019-02-13,82.98,4038300000.0,4738900000.0,700600000.0,14612778000.0,3.618546913305104
2019-02-14,83.64,4038300000.0,4738900000.0,700600000.0,14729004000.0,3.647327835970582
2019-02-15,83.38,4038300000.0,4738900000.0,700600000.0,14683218000.0,3.6359898967387267
2019-02-19,82.62,4038300000.0,4738900000.0,700600000.0,14549382000.0,3.602848228214843
2019-02-20,82.33,4038300000.0,4738900000.0,700600000.0,14498313000.0,3.590202065225466
2019-02-21,81.76,4038300000.0,4738900000.0,700600000.0,14397936000.0,3.565345813832553
2019-02-22,82.42,4038300000.0,4738900000.0,700600000.0,14514162000.0,3.594126736498031
