date,close price,DOW_SHE,DOW_TA,DOW_TL,market cap,PB Ratio
2019-09-03,41.8,17911000000.0,64889000000.0,46978000000.0,31186979999.999996,1.7412193624029924
2019-09-04,42.54,17911000000.0,64889000000.0,46978000000.0,31739094000.0,1.7720447769527106
2019-09-05,43.36,17911000000.0,64889000000.0,46978000000.0,32350896000.0,1.8062026687510468
2019-09-06,43.24,17911000000.0,64889000000.0,46978000000.0,32261364000.0,1.8012039528781196
2019-09-09,44.45,17911000000.0,64889000000.0,46978000000.0,33164145000.000004,1.8516076712634695
2019-09-10,46.32,17911000000.0,64889000000.0,46978000000.0,34559352000.0,1.929504326949919
2019-09-11,46.88,17911000000.0,64889000000.0,46978000000.0,34977168000.0,1.9528316676902462
2019-09-12,46.97,17911000000.0,64889000000.0,46978000000.0,35044317000.0,1.9565807045949417
2019-09-13,48.2,17911000000.0,64889000000.0,46978000000.0,35962020000.0,2.007817542292446
2019-09-16,49.01,17911000000.0,64889000000.0,46978000000.0,36566361000.0,2.041558874434705
2019-09-17,48.0,17911000000.0,64889000000.0,46978000000.0,35812800000.0,1.9994863491709005
2019-09-18,47.51,17911000000.0,64889000000.0,46978000000.0,35447211000.0,1.9790749260231142
2019-09-19,47.64,17911000000.0,64889000000.0,46978000000.0,35544204000.0,1.9844902015521189
2019-09-20,48.21,17911000000.0,64889000000.0,46978000000.0,35969481000.0,2.0082341019485233
2019-09-23,47.91,17911000000.0,64889000000.0,46978000000.0,35745651000.0,1.9957373122662052
2019-09-24,46.6,17911000000.0,64889000000.0,46978000000.0,34768260000.0,1.9411679973200826
2019-09-25,47.68,17911000000.0,64889000000.0,46978000000.0,35574048000.0,1.9861564401764278
2019-09-26,47.23,17911000000.0,64889000000.0,46978000000.0,35238303000.0,1.9674112556529506
2019-09-27,47.07,17911000000.0,64889000000.0,46978000000.0,35118927000.0,1.9607463011557145
2019-09-30,47.65,17911000000.0,64889000000.0,46978000000.0,35551665000.0,1.984906761208196
2019-10-01,45.97,17911000000.0,64889000000.0,46978000000.0,34132725000.0,1.9056850538775054
2019-10-02,44.93,17911000000.0,64889000000.0,46978000000.0,33360525000.0,1.862571883200268
2019-10-03,45.31,17911000000.0,64889000000.0,46978000000.0,33642675000.0,1.8783247724861816
2019-10-04,45.34,17911000000.0,64889000000.0,46978000000.0,33664950000.000004,1.879568421640333
2019-10-07,45.17,17911000000.0,64889000000.0,46978000000.0,33538725000.0,1.8725210764334765
2019-10-08,43.85,17911000000.0,64889000000.0,46978000000.0,32558625000.0,1.817800513650829
2019-10-09,44.01,17911000000.0,64889000000.0,46978000000.0,32677425000.0,1.8244333091396348
2019-10-10,44.92,17911000000.0,64889000000.0,46978000000.0,33353100000.0,1.8621573334822177
2019-10-11,47.13,17911000000.0,64889000000.0,46978000000.0,34994025000.0,1.9537728211713472
2019-10-14,46.82,17911000000.0,64889000000.0,46978000000.0,34763850000.0,1.9409217799117862
2019-10-15,47.2,17911000000.0,64889000000.0,46978000000.0,35046000000.0,1.9566746691976997
2019-10-16,47.12,17911000000.0,64889000000.0,46978000000.0,34986600000.0,1.9533582714532969
2019-10-17,47.81,17911000000.0,64889000000.0,46978000000.0,35498925000.0,1.9819622019987717
2019-10-18,47.96,17911000000.0,64889000000.0,46978000000.0,35610300000.0,1.988180447769527
2019-10-21,47.12,17911000000.0,64889000000.0,46978000000.0,34986600000.0,1.9533582714532969
2019-10-22,46.82,17911000000.0,64889000000.0,46978000000.0,34763850000.0,1.9409217799117862
2019-10-23,47.23,17911000000.0,64889000000.0,46978000000.0,35068275000.0,1.957918318351851
2019-10-24,49.47,17911000000.0,64889000000.0,46978000000.0,36731475000.0,2.0507774551951314
2019-10-25,50.48,17399000000.0,64937000000.0,47538000000.0,37481400000.0,2.15422725443991
2019-10-28,51.21,17399000000.0,64937000000.0,47538000000.0,38023425000.0,2.1853799068912005
2019-10-29,51.49,17399000000.0,64937000000.0,47538000000.0,38231325000.0,2.1973288694752573
2019-10-30,51.03,17399000000.0,64937000000.0,47538000000.0,37889775000.0,2.1776984309443073
2019-10-31,50.49,17399000000.0,64937000000.0,47538000000.0,37488825000.0,2.1546540031036265
2019-11-01,52.31,17399000000.0,64937000000.0,47538000000.0,38840175000.0,2.2323222598999943
2019-11-04,54.17,17399000000.0,64937000000.0,47538000000.0,40221225000.0,2.3116975113512273
2019-11-05,54.2,17399000000.0,64937000000.0,47538000000.0,40243500000.0,2.312977757342376
