date,WFC,WFC_SHE,PB Ratio
2003-07-21,43440133319.1,61248000000.0,0.7092498256122649
2003-07-22,44067488874.45,61248000000.0,0.719492699752645
2003-07-23,43999666652.25,61248000000.0,0.7183853620077391
2003-07-24,43626644430.15,61248000000.0,0.7122950044107563
2003-07-25,44169222207.75,61248000000.0,0.7211537063700039
2003-07-28,43999666652.25,61248000000.0,0.7183853620077391
2003-07-29,43931844430.05,61248000000.0,0.7172780242628332
2003-07-30,43524911096.850006,61248000000.0,0.7106339977933974
2003-07-31,42829733319.3,61248000000.0,0.6992837859081114
2003-08-01,42473666652.75,61248000000.0,0.693470262747355
2003-08-04,42626266652.700005,61248000000.0,0.6959617726733935
2003-08-05,42185422208.4,61248000000.0,0.6887640773315047
2003-08-06,42371933319.45,61248000000.0,0.691809256129996
2003-08-07,42354977763.9,61248000000.0,0.6915324216937696
2003-08-08,42609311097.15,65835000000.0,0.6472136568261563
2003-08-11,42354977763.9,65835000000.0,0.6433504634905446
2003-08-12,42694088874.9,65835000000.0,0.6485013879380269
2003-08-13,42439755541.65,65835000000.0,0.6446381946024151
2003-08-14,42795822208.2,65835000000.0,0.6500466652722715
2003-08-15,42829733319.3,65835000000.0,0.6505617577170199
2003-08-18,42677133319.350006,65835000000.0,0.6482438417156529
2003-08-19,42711044430.450005,65835000000.0,0.6487589341604011
2003-08-20,42354977763.9,65835000000.0,0.6433504634905446
2003-08-21,42100644430.649994,65835000000.0,0.6394872701549327
2003-08-22,41659799986.35,65835000000.0,0.6327910683732058
2003-08-25,42117599986.2,65835000000.0,0.6397448163773068
2003-08-26,42066733319.549995,65835000000.0,0.6389721777101844
2003-08-27,41964999986.25,65835000000.0,0.6374269003759399
2003-08-28,42456711097.2,65835000000.0,0.6448957408247892
2003-08-29,42507577763.85,65835000000.0,0.6456683794919116
2003-09-02,43372311096.899994,65835000000.0,0.6588032368329915
2003-09-03,43643599985.7,65835000000.0,0.6629239763909774
2003-09-04,43151888874.75,65835000000.0,0.655455135942128
2003-09-05,42931466652.6,65835000000.0,0.6521070350512645
2003-09-08,43423177763.549995,65835000000.0,0.6595758755001139
2003-09-09,43236666652.5,65835000000.0,0.6567428670539986
2003-09-10,42422799986.1,65835000000.0,0.6443806483800409
2003-09-11,42219333319.5,65835000000.0,0.6412900937115517
2003-09-12,42626266652.700005,65835000000.0,0.6474712030485305
