date,LLY,LLY_SHE,PB Ratio
2003-02-18,61928263124.42,0.0,inf
2003-02-19,62281710492.65,0.0,inf
2003-02-20,60889342072.35,0.0,inf
2003-02-21,61564105229.88,0.0,inf
2003-02-24,60696552598.770004,0.0,inf
2003-02-25,59936105230.76,0.0,inf
2003-02-26,59529105230.979996,0.0,inf
2003-02-27,60525184177.81,0.0,inf
2003-02-28,60578736809.36,0.0,inf
2003-03-03,60621578914.6,0.0,inf
2003-03-04,60193157862.200005,0.0,inf
2003-03-05,61049999967.0,0.0,inf
2003-03-06,59925394704.450005,0.0,inf
2003-03-07,61028578914.38,0.0,inf
2003-03-10,59978947336.0,0.0,inf
2003-03-11,57515526284.700005,0.0,inf
2003-03-12,57879684179.24,0.0,inf
2003-03-13,59164947336.44,0.0,inf
2003-03-14,57815421021.38,0.0,inf
2003-03-17,59229210494.299995,0.0,inf
2003-03-18,59957526283.38,0.0,inf
2003-03-19,60835789440.799995,0.0,inf
2003-03-20,60653710493.53001,0.0,inf
2003-03-21,62335263124.200005,0.0,inf
2003-03-24,60728684177.700005,0.0,inf
2003-03-25,62270999966.340004,0.0,inf
2003-03-26,61971105229.659996,0.0,inf
2003-03-27,62345973650.51,0.0,inf
2003-03-28,62506631545.159996,0.0,inf
2003-03-31,61210657861.65,0.0,inf
2003-04-01,62847715663.4,0.0,inf
2003-04-02,64226852917.8,0.0,inf
2003-04-03,65185784290.0,0.0,inf
2003-04-04,65993872525.0,0.0,inf
2003-04-07,64442343113.8,0.0,inf
2003-04-08,64431568604.0,0.0,inf
2003-04-09,63849745074.799995,0.0,inf
2003-04-10,64291499976.6,0.0,inf
2003-04-11,62880039192.8,0.0,inf
2003-04-14,64108333310.0,0.0,inf
2003-04-15,63645029388.6,0.0,inf
2003-04-16,62750745075.200005,0.0,inf
2003-04-17,62901588212.4,0.0,inf
2003-04-21,64076009780.6,0.0,inf
2003-04-22,66036970564.2,0.0,inf
2003-04-23,67340686250.0,0.0,inf
2003-04-24,69010735269.0,0.0,inf
2003-04-25,68181098014.4,0.0,inf
2003-04-28,68999960759.20001,0.0,inf
2003-04-29,69495588210.0,0.0,inf
2003-04-30,68762921543.6,0.0,inf
2003-05-01,69086156837.6,0.0,inf
2003-05-02,69215450955.2,0.0,inf
2003-05-05,68902990171.0,0.0,inf
2003-05-06,68946088210.2,0.0,inf
2003-05-07,69344745072.8,0.0,inf
2003-05-08,68859892131.8,0.0,inf
2003-05-09,69118480367.0,0.0,inf
2003-05-12,69355519582.6,0.0,inf
2003-05-13,68741372524.0,0.0,inf
2003-05-14,68676725465.200005,0.0,inf
2003-05-15,69118480367.0,0.0,inf
2003-05-16,68450460759.4,0.0,inf
2003-05-19,65455147035.0,0.0,inf
2003-05-20,62869264683.0,0.0,inf
2003-05-21,62815392134.0,0.0,inf
2003-05-22,62201245075.399994,0.0,inf
