date,MHK,MHK_SHE,PB Ratio
2003-03-07,3092085290.0,1897494000.0,1.62956261785281
2003-03-10,2997190950.0,1897494000.0,1.5795522673589482
2003-03-11,3002537110.0,1897494000.0,1.5823697518938136
2003-03-12,2957763020.0,1897494000.0,1.5587733189143154
2003-03-13,3140869000.0,1897494000.0,1.6552721642334574
2003-03-14,3149556510.0,1897494000.0,1.6598505766026137
2003-03-17,3009888080.0,1897494000.0,1.5862437931292537
2003-03-18,3074710270.0,1897494000.0,1.6204057931144973
2003-03-19,3079388160.0,1897494000.0,1.6228710920825047
2003-03-20,3197671950.0,1897494000.0,1.6852079374164028
2003-03-21,3348032700.0,1897494000.0,1.764449689959494
2003-03-24,3195667140.0,1897494000.0,1.6841513807158284
2003-03-25,3268508570.0,1897494000.0,1.7225396075033703
2003-03-26,3223734480.0,1897494000.0,1.6989431745238721
2003-03-27,3245119120.0,1897494000.0,1.7102131126633338
2003-03-28,3270513380.0,1897494000.0,1.7235961642039448
2003-03-31,3203686380.0,1897494000.0,1.6883776075181265
2003-04-01,3313950930.0,1897494000.0,1.7464882260497265
2003-04-02,3448941470.0,1897494000.0,1.8176297105550794
2003-04-03,3395479870.0,1897494000.0,1.7894548652064248
2003-04-04,3354047130.0,1897494000.0,1.7676193600612176
2003-04-07,3454287630.0,1897494000.0,1.820447195089945
2003-04-08,3435576070.0,1897494000.0,1.8105859992179159
2003-04-09,3388797170.0,1897494000.0,1.7859330095378432
2003-04-10,3429561640.0,1897494000.0,1.8074163291161922
2003-04-11,3456292440.0,1897494000.0,1.8215037517905195
2003-04-14,3552523320.0,1897494000.0,1.8722184734180978
2003-04-15,3559874290.0,1897494000.0,1.8760925146535379
2003-04-16,3513095390.0,1897494000.0,1.851439524973465
2003-04-17,3656773440.0,1897494000.0,1.9271594218479742
2003-04-21,3655436900.0,1897494000.0,1.926455050714258
2003-04-22,3743648540.0,1897494000.0,1.9729435455395379
2003-04-23,3643408040.0,1897494000.0,1.9201157105108106
2003-04-24,3609326270.0,1897494000.0,1.9021542466010433
2003-04-25,3564552180.0,1897494000.0,1.878557813621545
2003-04-28,3692191750.0,1897494000.0,1.9458252568914578
2003-04-29,3730951410.0,1897494000.0,1.9662520197692324
2003-04-30,3706893690.0,1897494000.0,1.953573339362338
2003-05-01,3640066690.0,1897494000.0,1.9183547826765197
2003-05-02,3719590820.0,1897494000.0,1.9602648651326433
2003-05-05,3730951410.0,1897494000.0,1.9662520197692324
2003-05-06,3775725500.0,1897494000.0,1.9898484527487308
2003-05-07,3792432250.0,1897494000.0,1.9986530919201853
2003-05-08,3775725500.0,1897494000.0,1.9898484527487308
2003-05-09,3779066850.0,1897494000.0,1.9916093805830215
2003-05-12,3851240010.0,1897494000.0,2.029645421803705
2003-05-13,3879307350.0,1897494000.0,2.044437215611749
2003-05-14,3872624650.0,1897494000.0,2.0409153599431673
2003-05-15,3867946760.0,1897494000.0,2.0384500609751597
2003-05-16,3813816890.0,1897494000.0,2.009923030059647
2003-05-19,3717586010.0,1897494000.0,1.9592083084320688
2003-05-20,3595292600.0,1897494000.0,1.8947583496970215
2003-05-21,3568561800.0,1897494000.0,1.8806709270226942
2003-05-22,3608658000.0,1897494000.0,1.901802061034185
2003-05-23,3599302220.0,1897494000.0,1.8968714630981705
2003-05-27,3675485000.0,1897494000.0,1.9370206177200033
2003-05-28,3775057230.0,1897494000.0,1.9894962671818726
2003-05-29,3756345670.0,1897494000.0,1.9796350713098434
2003-05-30,3856586170.0,1897494000.0,2.0324629063385706
2003-06-02,3949475700.0,1897494000.0,2.081416700131858
2003-06-03,3946134350.0,1897494000.0,2.079655772297567
2003-06-04,4059071980.0,1897494000.0,2.1391751330966002
2003-06-05,4180028850.0,1897494000.0,2.202920720697931
2003-06-06,4067091220.0,1897494000.0,2.143401359898898
2003-06-09,3905369880.0,1897494000.0,2.058172452719218
2003-06-10,3910716040.0,1897494000.0,2.0609899372540834
2003-06-11,4006946920.0,1897494000.0,2.1117046588816617
2003-06-12,4060408520.0,1897494000.0,2.1398795042303163
2003-06-13,3999595950.0,1897494000.0,2.1078306176462216
2003-06-16,4080456620.0,1897494000.0,2.150445071236062
2003-06-17,4057735440.0,1897494000.0,2.1384707619628838
2003-06-18,3835869800.0,1897494000.0,2.021545153765967
2003-06-19,3887994860.0,1897494000.0,2.0490156279809053
2003-06-20,3710235040.0,1897494000.0,1.9553342671966287
2003-06-23,3708898500.0,1897494000.0,1.9546298960629125
2003-06-24,3855249630.0,1897494000.0,2.0317585352048546
2003-06-25,3799114950.0,1897494000.0,2.002174947588767
2003-06-26,3849235200.0,1897494000.0,2.028588865103131
2003-06-27,3779735120.0,1897494000.0,1.9919615661498797
2003-06-30,3710903310.0,1897494000.0,1.955686452763487
2003-07-01,3812480350.0,1897494000.0,2.009218658925931
2003-07-02,3826514020.0,1897494000.0,2.0166145558299524
2003-07-03,3819163050.0,1897494000.0,2.0127405145945128
2003-07-07,3895345830.0,1897494000.0,2.0528896692163454
2003-07-08,3875966000.0,1897494000.0,2.042676287777458
2003-07-09,3787086090.0,1897494000.0,1.9958356073853198
2003-07-10,3734961030.0,1897494000.0,1.9683651331703815
2003-07-11,3751667780.0,1897494000.0,1.9771697723418362
2003-07-14,3815821700.0,1897494000.0,2.0109795867602216
2003-07-15,3869283300.0,1897494000.0,2.039154432108876
2003-07-16,3859259250.0,1897494000.0,2.0338716486060036
2003-07-17,4283610699.9999995,1897494000.0,2.2575094835609493
2003-07-18,4436644530.0,1897494000.0,2.3381599783714733
2003-07-21,4424615670.0,1897494000.0,2.331820638168026
2003-07-22,4454019550.0,1897494000.0,2.347316803109786
2003-07-23,4518841740.0,1897494000.0,2.3814788030950296
2003-07-24,4530870600.0,1897494000.0,2.387818143298477
2003-07-25,4453351280.0,1897494000.0,2.3469646175429277
2003-07-28,4508149420.0,1897494000.0,2.3758438340252988
2003-07-29,4441990690.0,1897494000.0,2.3409774629063387
2003-07-30,4428625290.0,1897494000.0,2.333933751569175
2003-07-31,4504808070.0,1897494000.0,2.3740829061910076
2003-08-01,4467384950.0,1897494000.0,2.3543605144469497
2003-08-04,4466048410.0,1897494000.0,2.3536561433132333
2003-08-05,4355115590.0,1897494000.0,2.2951933392147748
2003-08-06,4433303180.0,1897494000.0,2.336399050537182
2003-08-07,4397216600.0,1897494000.0,2.3173810299268403
2003-08-08,4426620480.0,1897494000.0,2.3328771948686002
2003-08-11,4478745540.0,1897494000.0,2.3603476690835388
2003-08-12,4534880220.0,1897494000.0,2.389931256699626
2003-08-13,4517505200.0,1897494000.0,2.380774431961313
2003-08-14,4540894650.0,1897494000.0,2.3931009268013494
2003-08-15,4578986040.0,1897494000.0,2.413175504112266
2003-08-18,4603043760.0,1897494000.0,2.4258541845191606
2003-08-19,4667197680.0,1897494000.0,2.459663998937546
2003-08-20,4676553460.0,1897494000.0,2.4645945968735608
2003-08-21,4763428560.0,1897494000.0,2.5103787205651242
2003-08-22,4740039110.0,1897494000.0,2.498052225725088
2003-08-25,4714644850.0,1897494000.0,2.484669174184477
2003-08-26,4738034300.0,1897494000.0,2.496995669024513
2003-08-27,4741375650.0,1897494000.0,2.4987565968588044
2003-08-28,4781471850.0,1897494000.0,2.519887730870295
2003-08-29,4875697920.0,1897494000.0,2.5695458957972988
