date,close price,JNJ_SHE,JNJ_TA,JNJ_TL,market cap,PB Ratio
2012-01-13,65.26,61527000000.0,111821000000.0,50294000000.0,181089974000.0,2.9432602597233735
2012-01-17,65.12,61527000000.0,111821000000.0,50294000000.0,180701488000.0,2.9369461862271846
2012-01-18,65.28,61527000000.0,111821000000.0,50294000000.0,181145472000.0,2.944162270222829
2012-01-19,65.19,61527000000.0,111821000000.0,50294000000.0,180895731000.0,2.9401032229752793
2012-01-20,65.27,61527000000.0,111821000000.0,50294000000.0,181117723000.0,2.943711264973101
2012-01-23,65.0,61527000000.0,111821000000.0,50294000000.0,180368500000.0,2.9315341232304517
2012-01-24,65.0,61527000000.0,111821000000.0,50294000000.0,180368500000.0,2.9315341232304517
2012-01-25,65.22,61527000000.0,111821000000.0,50294000000.0,180978978000.0,2.9414562387244625
2012-01-26,65.7,61527000000.0,111821000000.0,50294000000.0,182310930000.0,2.963104490711395
2012-01-27,65.56,61527000000.0,111821000000.0,50294000000.0,181922444000.0,2.956790417215206
2012-01-30,65.71,61527000000.0,111821000000.0,50294000000.0,182338678999.99997,2.9635554959611223
2012-01-31,65.91,61527000000.0,111821000000.0,50294000000.0,182893659000.0,2.972575600955678
2012-02-01,65.69,61527000000.0,111821000000.0,50294000000.0,182283181000.0,2.9626534854616673
2012-02-02,65.59,61527000000.0,111821000000.0,50294000000.0,182005691000.0,2.9581434329643894
2012-02-03,65.64,61527000000.0,111821000000.0,50294000000.0,182144436000.0,2.9603984592130286
2012-02-06,65.19,61527000000.0,111821000000.0,50294000000.0,180895731000.0,2.9401032229752793
2012-02-07,65.26,61527000000.0,111821000000.0,50294000000.0,181089974000.0,2.9432602597233735
2012-02-08,65.24,61527000000.0,111821000000.0,50294000000.0,181034476000.0,2.942358249223918
2012-02-09,64.89,61527000000.0,111821000000.0,50294000000.0,180063261000.0,2.926573065483446
2012-02-10,64.6,61527000000.0,111821000000.0,50294000000.0,179258539999.99997,2.9134939132413407
2012-02-13,64.68,61527000000.0,111821000000.0,50294000000.0,179480532000.00003,2.917101955239164
2012-02-14,64.61,61527000000.0,111821000000.0,50294000000.0,179286289000.0,2.913944918491069
2012-02-15,64.65,61527000000.0,111821000000.0,50294000000.0,179397285000.00003,2.9157489394899807
2012-02-16,64.92,61527000000.0,111821000000.0,50294000000.0,180146508000.0,2.9279260812326298
2012-02-17,64.99,61527000000.0,111821000000.0,50294000000.0,180340751000.0,2.931083117980724
2012-02-21,65.04,61527000000.0,111821000000.0,50294000000.0,180479496000.00003,2.933338144229363
2012-02-22,65.0,61527000000.0,111821000000.0,50294000000.0,180368500000.0,2.9315341232304517
2012-02-23,65.1,57080000000.0,113644000000.0,56564000000.0,180645989999.99997,3.164786089698668
2012-02-24,64.46,57080000000.0,113644000000.0,56564000000.0,178870053999.99997,3.1336729852838117
2012-02-27,64.45,57080000000.0,113644000000.0,56564000000.0,178842305000.0,3.13318684302733
2012-02-28,65.18,57080000000.0,113644000000.0,56564000000.0,180867982000.00003,3.168675227750526
2012-02-29,65.08,57080000000.0,113644000000.0,56564000000.0,180590492000.0,3.163813805185704
2012-03-01,64.83,57080000000.0,113644000000.0,56564000000.0,179896767000.0,3.151660248773651
2012-03-02,64.77,57080000000.0,113644000000.0,56564000000.0,179730273000.0,3.1487433952347583
2012-03-05,64.91,57080000000.0,113644000000.0,56564000000.0,180118759000.0,3.1555493868255082
2012-03-06,64.35,57080000000.0,113644000000.0,56564000000.0,178564814999.99997,3.128325420462508
2012-03-07,64.3,57080000000.0,113644000000.0,56564000000.0,178426070000.0,3.125894709180098
2012-03-08,64.85,57080000000.0,113644000000.0,56564000000.0,179952264999.99997,3.1526325332866145
2012-03-09,64.74,57080000000.0,113644000000.0,56564000000.0,179647026000.0,3.147284968465312
2012-03-12,65.1,57080000000.0,113644000000.0,56564000000.0,180645989999.99997,3.164786089698668
2012-03-13,65.33,57080000000.0,113644000000.0,56564000000.0,181284217000.0,3.1759673615977575
2012-03-14,65.08,57080000000.0,113644000000.0,56564000000.0,180590492000.0,3.163813805185704
2012-03-15,65.07,57080000000.0,113644000000.0,56564000000.0,180562742999.99997,3.1633276629292215
2012-03-16,65.12,57080000000.0,113644000000.0,56564000000.0,180701488000.0,3.1657583742116326
2012-03-19,65.21,57080000000.0,113644000000.0,56564000000.0,180951228999.99997,3.1701336545199714
2012-03-20,64.96,57080000000.0,113644000000.0,56564000000.0,180257503999.99997,3.157980098107918
2012-03-21,64.76,57080000000.0,113644000000.0,56564000000.0,179702524000.0,3.148257252978276
2012-03-22,64.46,57080000000.0,113644000000.0,56564000000.0,178870053999.99997,3.1336729852838117
2012-03-23,64.55,57080000000.0,113644000000.0,56564000000.0,179119795000.0,3.1380482655921513
2012-03-26,65.17,57080000000.0,113644000000.0,56564000000.0,180840233000.0,3.1681890854940433
2012-03-27,65.4,57080000000.0,113644000000.0,56564000000.0,181478460000.00003,3.179370357393133
2012-03-28,65.62,57080000000.0,113644000000.0,56564000000.0,182088938000.0,3.1900654870357394
2012-03-29,65.54,57080000000.0,113644000000.0,56564000000.0,181866946000.00003,3.186176348983883
2012-03-30,65.96,57080000000.0,113644000000.0,56564000000.0,183032403999.99997,3.206594323756131
2012-04-02,66.21,57080000000.0,113644000000.0,56564000000.0,184884803999.99997,3.239047021723896
2012-04-03,65.88,57080000000.0,113644000000.0,56564000000.0,183963312000.0,3.2229031534688155
2012-04-04,65.39,57080000000.0,113644000000.0,56564000000.0,182595036000.0,3.1989319551506656
2012-04-05,65.34,57080000000.0,113644000000.0,56564000000.0,182455416000.0,3.1964859145059568
2012-04-09,64.92,57080000000.0,113644000000.0,56564000000.0,181282608000.0,3.1759391730903994
2012-04-10,64.2,57080000000.0,113644000000.0,56564000000.0,179272080000.0,3.1407161878065875
2012-04-11,64.13,57080000000.0,113644000000.0,56564000000.0,179076612000.0,3.1372917309039945
2012-04-12,64.15,57080000000.0,113644000000.0,56564000000.0,179132460000.00003,3.1382701471618786
2012-04-13,63.54,57080000000.0,113644000000.0,56564000000.0,177429096000.0,3.108428451296426
2012-04-16,63.98,57080000000.0,113644000000.0,56564000000.0,178657752000.0,3.129953608969867
2012-04-17,64.22,57080000000.0,113644000000.0,56564000000.0,179327928000.0,3.141694604064471
2012-04-18,63.26,57080000000.0,113644000000.0,56564000000.0,176647224000.0,3.0947306236860546
2012-04-19,63.03,57080000000.0,113644000000.0,56564000000.0,176004972000.0,3.0834788367203925
2012-04-20,63.71,57080000000.0,113644000000.0,56564000000.0,177903804000.0,3.116744989488437
2012-04-23,63.37,57080000000.0,113644000000.0,56564000000.0,176954388000.0,3.100111913104415
2012-04-24,63.77,57080000000.0,113644000000.0,56564000000.0,178071348000.0,3.1196802382620885
2012-04-25,64.43,57080000000.0,113644000000.0,56564000000.0,179914332000.00003,3.15196797477225
2012-04-26,64.75,57080000000.0,113644000000.0,56564000000.0,180807900000.0,3.1676226348983882
2012-04-27,64.84,57080000000.0,113644000000.0,56564000000.0,181059216000.0,3.172025508058865
2012-04-30,65.1,57080000000.0,113644000000.0,56564000000.0,181785239999.99997,3.1847449194113517
2012-05-01,65.22,57080000000.0,113644000000.0,56564000000.0,182120328000.0,3.1906154169586545
2012-05-02,65.33,57080000000.0,113644000000.0,56564000000.0,182427492000.0,3.1959967063770147
2012-05-03,65.34,57080000000.0,113644000000.0,56564000000.0,182455416000.0,3.1964859145059568
2012-05-04,64.74,57080000000.0,113644000000.0,56564000000.0,180779976000.0,3.167133426769446
2012-05-07,64.8,61366000000.0,116194000000.0,54828000000.0,180947520000.0,2.9486608219535246
2012-05-08,64.98,61366000000.0,116194000000.0,54828000000.0,181450152000.0,2.9568515464589513
2012-05-09,64.28,61366000000.0,116194000000.0,54828000000.0,179495472000.0,2.9249987289378483
2012-05-10,64.57,61366000000.0,116194000000.0,54828000000.0,180305267999.99997,2.9381948961965905
2012-05-11,64.34,61366000000.0,116194000000.0,54828000000.0,179663016000.0,2.927728970439657
2012-05-14,63.93,61366000000.0,116194000000.0,54828000000.0,178518132000.0,2.9090723201772968
2012-05-15,63.61,61366000000.0,116194000000.0,54828000000.0,177624564000.0,2.89451103216765
2012-05-16,63.71,61366000000.0,116194000000.0,54828000000.0,177903804000.0,2.8990614346706645
2012-05-17,63.55,61366000000.0,116194000000.0,54828000000.0,177457020000.0,2.891780790665841
2012-05-18,63.35,61366000000.0,116194000000.0,54828000000.0,176898540000.0,2.8826799856598115
2012-05-21,63.47,61366000000.0,116194000000.0,54828000000.0,177233628000.0,2.8881404686634293
2012-05-22,63.52,61366000000.0,116194000000.0,54828000000.0,177373248000.0,2.890415669914937
2012-05-23,63.27,61366000000.0,116194000000.0,54828000000.0,176675148000.0,2.8790396636574
2012-05-24,63.1,61366000000.0,116194000000.0,54828000000.0,176200440000.0,2.871303979402275
2012-05-25,62.51,61366000000.0,116194000000.0,54828000000.0,174552924000.0,2.8444566046344884
2012-05-29,62.59,61366000000.0,116194000000.0,54828000000.0,174776316000.0,2.8480969266369
2012-05-30,62.21,61366000000.0,116194000000.0,54828000000.0,173715204000.0,2.830805397125444
2012-05-31,62.43,61366000000.0,116194000000.0,54828000000.0,174329532000.0,2.840816282632076
2012-06-01,61.78,61366000000.0,116194000000.0,54828000000.0,172514472000.0,2.8112386663624807
2012-06-04,62.34,61366000000.0,116194000000.0,54828000000.0,174078216000.0,2.836720920379363
2012-06-05,62.21,61366000000.0,116194000000.0,54828000000.0,173715204000.0,2.830805397125444
2012-06-06,62.8,61366000000.0,116194000000.0,54828000000.0,175362720000.0,2.857652771893231
2012-06-07,62.8,61366000000.0,116194000000.0,54828000000.0,175362720000.0,2.857652771893231
2012-06-08,62.98,61366000000.0,116194000000.0,54828000000.0,175865352000.0,2.865843496398657
2012-06-11,62.12,61366000000.0,116194000000.0,54828000000.0,173463888000.0,2.8267100348727308
2012-06-12,63.08,61366000000.0,116194000000.0,54828000000.0,176144592000.0,2.8703938989016717
2012-06-13,64.45,61366000000.0,116194000000.0,54828000000.0,179970180000.0,2.932734413192973
2012-06-14,65.45,61366000000.0,116194000000.0,54828000000.0,182762580000.0,2.97823843822312
2012-06-15,66.01,61366000000.0,116194000000.0,54828000000.0,184326324000.0,3.0037206922400026
2012-06-18,66.3,61366000000.0,116194000000.0,54828000000.0,185136120000.0,3.016916859498745
2012-06-19,66.72,61366000000.0,116194000000.0,54828000000.0,186308928000.0,3.036028550011407
2012-06-20,67.0,61366000000.0,116194000000.0,54828000000.0,187090800000.0,3.0487696770198482
2012-06-21,66.39,61366000000.0,116194000000.0,54828000000.0,185387436000.0,3.0210122217514583
2012-06-22,66.63,61366000000.0,116194000000.0,54828000000.0,186057612000.0,3.031933187758694
2012-06-25,66.5,61366000000.0,116194000000.0,54828000000.0,185694600000.0,3.0260176645047747
2012-06-26,66.42,61366000000.0,116194000000.0,54828000000.0,185471208000.0,3.022377342502363
2012-06-27,66.84,61366000000.0,116194000000.0,54828000000.0,186644016000.0,3.041489033015025
2012-06-28,66.94,61366000000.0,116194000000.0,54828000000.0,186923256000.0,3.0460394355180394
