COP,dcf,Deviation
7.24,,
7.24,,
7.29,,
7.29,,
7.1,,
7.15,,
7.15,,
7.43,,
7.38,,
7.29,,
7.15,,
7.29,,
7.43,,
7.67,,
7.53,,
7.62,,
7.62,,
7.81,,
7.77,,
7.67,,
7.81,,
7.81,,
7.72,,
7.72,,
7.62,,
7.53,,
7.53,,
7.53,,
7.62,,
7.62,,
7.58,,
7.62,,
7.53,,
7.43,,
7.38,,
7.38,,
7.38,,
7.43,,
7.38,,
7.53,,
7.72,,
7.86,,
7.77,,
7.81,,
8.05,,
7.96,,
8.0,,
8.0,,
8.0,,
8.15,,
8.19,,
8.34,,
8.0,,
8.15,,
8.24,,
8.19,,
7.86,,
7.81,,
8.0,,
7.96,,
8.0,,
8.1,,
7.91,,
7.96,,
7.91,,
7.96,,
8.05,,
8.05,,
8.0,,
8.0,,
8.05,,
8.19,,
8.24,,
8.15,,
8.19,,
8.15,,
8.19,,
8.15,,
8.15,,
8.19,,
8.62,,
8.86,,
8.67,,
8.67,,
8.62,,
8.62,,
8.72,,
8.77,,
8.91,,
9.05,,
8.67,,
8.58,,
8.72,,
8.62,,
8.62,,
8.67,,
8.72,,
8.72,,
8.67,,
8.72,,
8.72,,
8.67,,
8.81,,
8.58,,
8.53,,
8.53,,
8.62,,
8.86,,
8.67,,
8.77,,
8.72,,
8.86,,
8.96,,
9.15,,
9.15,,
9.05,,
8.96,,
9.15,,
9.05,,
8.96,,
9.0,,
8.96,,
8.86,,
8.81,,
8.77,,
8.62,,
8.67,,
8.58,,
8.62,,
8.62,,
8.72,,
8.77,,
9.0,,
8.86,,
8.81,,
8.81,,
8.72,,
8.81,,
8.96,,
9.1,,
9.0,,
8.96,,
9.1,,
9.1,,
8.86,,
8.86,,
8.91,,
8.72,,
8.72,,
8.72,,
8.58,,
8.81,,
8.58,,
8.67,,
8.81,,
8.77,,
8.77,,
8.77,,
8.72,,
8.67,,
8.81,,
8.81,,
8.62,,
8.29,,
8.62,,
8.48,,
8.53,,
8.77,,
8.81,,
8.91,,
9.0,,
8.96,,
8.86,,
8.96,,
8.91,,
8.91,,
8.86,,
8.96,,
8.91,,
8.62,,
8.67,,
8.81,,
8.77,,
8.72,,
8.58,,
8.53,,
8.53,,
8.58,,
8.67,,
8.81,,
8.96,,
9.0,,
9.1,,
9.1,,
9.05,,
9.05,,
8.96,,
9.0,,
9.0,,
8.91,,
9.62,,
10.72,,
11.24,,
10.67,,
10.91,,
