date,JNPR,dcf,Deviation
2002-03-06,12.29,,
2002-03-07,12.57,,
2002-03-08,13.31,,
2002-03-11,14.71,,
2002-03-12,13.57,,
2002-03-13,12.96,,
2002-03-14,11.5,,
2002-03-15,11.42,,
2002-03-18,11.34,,
2002-03-19,11.31,,
2002-03-20,11.3,,
2002-03-21,11.84,,
2002-03-22,12.2,,
2002-03-25,11.56,,
2002-03-26,11.57,,
2002-03-27,11.92,,
2002-03-28,12.62,,
2002-04-01,13.23,14.531028093281963,-0.08953448337791448
2002-04-02,12.39,14.031028093281963,-0.11695708128955173
2002-04-03,11.89,14.451028093281963,-0.1772211690926364
2002-04-04,12.31,13.561028093281962,-0.09225171459542303
2002-04-05,11.42,13.991028093281962,-0.18376262817430022
2002-04-08,11.85,13.171028093281961,-0.10029802411216238
2002-04-09,11.03,13.021028093281963,-0.1529086704228224
2002-04-10,10.88,12.481028093281962,-0.12827694011391022
2002-04-11,10.34,13.041028093281962,-0.2071177267590879
2002-04-12,10.9,13.161028093281962,-0.1717972241420943
2002-04-15,11.02,13.941028093281963,-0.2095274519021718
2002-04-16,11.8,14.541028093281962,-0.1885030463938332
2002-04-17,12.4,14.361028093281963,-0.1365520685945405
2002-04-18,12.22,14.181028093281961,-0.13828532602731158
2002-04-19,12.04,13.311028093281962,-0.09548684627323767
2002-04-22,11.17,12.691028093281963,-0.11985066001761702
2002-04-23,10.55,12.741028093281962,-0.17196634975141745
2002-04-24,10.6,12.631028093281962,-0.1607967362816809
2002-04-25,10.49,12.171028093281961,-0.13811718126013017
2002-04-26,10.03,11.881028093281962,-0.15579696291843736
2002-04-29,9.74,12.251028093281962,-0.20496468330351159
2002-04-30,10.11,11.931028093281961,-0.1526296040076658
2002-05-01,9.79,11.511028093281961,-0.14951124081491773
2002-05-02,9.37,11.191028093281963,-0.16272214474871505
2002-05-03,9.05,10.651028093281962,-0.1503167655985993
2002-05-06,8.51,10.571028093281962,-0.19496950297500149
2002-05-07,8.43,11.761028093281961,-0.2832259277728181
2002-05-08,9.62,11.171028093281961,-0.13884380921168038
2002-05-09,9.03,11.041028093281962,-0.18214137997761237
2002-05-10,8.9,11.431028093281961,-0.2214173626928142
2002-05-13,9.29,12.051028093281962,-0.22911141455401152
2002-05-14,9.91,11.801028093281962,-0.16024265668501192
2002-05-15,9.66,12.151028093281962,-0.2050055414372054
2002-05-16,10.01,11.981028093281962,-0.16451243398612536
2002-05-17,9.84,11.681028093281961,-0.15760839530390147
2002-05-20,9.54,11.881028093281962,-0.19703918506898233
2002-05-21,9.74,12.281028093281963,-0.20690678939753993
2002-05-22,10.14,12.361028093281963,-0.17967988394825007
2002-05-23,10.22,12.221028093281962,-0.16373647765215016
2002-05-24,10.08,12.451028093281963,-0.19042829841186104
2002-05-28,10.31,12.011028093281961,-0.14162218921404268
2002-05-29,9.87,11.681028093281961,-0.15504012821641333
2002-05-30,9.54,11.411028093281962,-0.16396665383581843
2002-05-31,9.27,10.801028093281962,-0.14174836692020398
2002-06-03,8.66,10.811028093281962,-0.19896609968284362
2002-06-04,8.67,10.921028093281961,-0.20611869817152795
2002-06-05,8.78,10.551028093281962,-0.16785360418190998
2002-06-06,8.41,10.221028093281962,-0.17718649012150822
2002-06-07,8.08,10.011028093281961,-0.19289008833945875
2002-06-10,7.87,9.431028093281961,-0.16552045841046048
2002-06-11,7.29,9.351028093281963,-0.22040657697977217
2002-06-12,7.21,9.351028093281963,-0.22896178601154415
2002-06-13,7.21,9.291028093281962,-0.22398254233960235
2002-06-14,7.15,9.801028093281962,-0.2704846948759476
2002-06-17,7.66,9.671028093281961,-0.20794356855182072
2002-06-18,7.53,9.201028093281963,-0.18161319325848446
2002-06-19,7.06,8.661028093281962,-0.18485427781071628
2002-06-20,6.52,8.631028093281962,-0.24458593697836528
2002-06-21,6.49,8.951028093281963,-0.27494362297097963
2002-06-24,6.81,8.431028093281961,-0.1922693265099703
2002-06-25,6.29,7.271028093281962,-0.13492288582798617
2002-06-26,5.13,7.591028093281962,-0.3242022112208971
2002-06-27,5.45,7.791028093281962,-0.3004774293267638
2002-06-28,5.65,7.476474518569672,-0.24429622732387712
2002-07-01,5.69,8.086474518569672,-0.2963559104856436
2002-07-02,6.3,8.486474518569672,-0.25764226520510247
2002-07-03,6.7,8.946474518569671,-0.2511016505894915
2002-07-05,7.16,9.036474518569673,-0.207655597845551
2002-07-08,7.25,8.876474518569673,-0.18323429140331238
2002-07-09,7.09,8.896474518569672,-0.20305509950025769
2002-07-10,7.11,9.006474518569672,-0.21056791030269328
2002-07-11,7.22,9.486474518569672,-0.23891641875314928
2002-07-12,7.7,9.836474518569672,-0.21719921243493834
2002-07-15,8.05,10.096474518569671,-0.20269199063551813
2002-07-16,8.31,10.996474518569674,-0.24430325501441774
2002-07-17,9.21,10.716474518569672,-0.1405755704414945
2002-07-18,8.93,10.686474518569671,-0.1643642639597822
2002-07-19,8.9,9.916474518569673,-0.10250361826334697
2002-07-22,8.13,9.266474518569671,-0.12264367816392496
2002-07-23,7.48,9.696474518569671,-0.22858560751383517
2002-07-24,7.91,9.036474518569673,-0.1246586283461324
2002-07-25,7.25,8.746474518569672,-0.17109459535867866
2002-07-26,6.96,9.476474518569672,-0.2655496528417295
2002-07-29,7.69,10.266474518569671,-0.25096000714845457
2002-07-30,8.48,9.786474518569673,-0.1334979737688642
2002-07-31,8.0,9.076474518569672,-0.1186005112852242
2002-08-01,7.29,9.016474518569671,-0.19147999753273304
2002-08-02,7.23,8.536474518569673,-0.15304614518881954
2002-08-05,6.75,9.266474518569671,-0.2715676294718935
2002-08-06,7.48,9.096474518569671,-0.17770340754209524
2002-08-07,7.31,9.406474518569672,-0.2228756921023859
2002-08-08,7.62,9.256474518569672,-0.17679241867805007
2002-08-09,7.47,9.156474518569672,-0.18418382699033775
2002-08-12,7.37,8.996474518569672,-0.1807902101220269
2002-08-13,7.21,9.576474518569672,-0.24711333110957046
2002-08-14,7.79,9.496474518569672,-0.17969558231665694
2002-08-15,7.71,9.996474518569674,-0.22872808952018708
2002-08-16,8.21,10.40647451856967,-0.21106807253986015
2002-08-19,8.62,10.236474518569672,-0.15791320689923827
2002-08-20,8.45,10.196474518569671,-0.17128219321188098
2002-08-21,8.41,10.256474518569672,-0.18003013757081643
2002-08-22,8.47,9.556474518569672,-0.11368988809194103
2002-08-23,7.77,9.766474518569671,-0.20442120795724572
2002-08-26,7.98,9.236474518569672,-0.1360339939273978
2002-08-27,7.45,8.786474518569673,-0.15210588908499256
2002-08-28,7.0,9.186474518569671,-0.23801018705814736
2002-08-29,7.4,9.056474518569672,-0.1829050051621286
2002-08-30,7.27,8.716474518569672,-0.165947197515244
2002-09-03,6.93,8.796474518569672,-0.2121843830308925
2002-09-04,7.01,8.796474518569672,-0.2030898304540485
2002-09-05,7.01,8.696474518569671,-0.19392623010261512
2002-09-06,6.91,8.916474518569672,-0.22503002889661583
2002-09-09,7.13,8.936474518569671,-0.2021462171481475
2002-09-10,7.15,9.056474518569672,-0.21050956579854319
2002-09-11,7.27,8.776474518569671,-0.17164916452297596
2002-09-12,6.99,8.406474518569672,-0.16849804462509443
2002-09-13,6.62,8.346474518569671,-0.20685075054485824
2002-09-16,6.56,7.836474518569672,-0.16288887503492533
2002-09-17,6.05,7.5064745185696715,-0.194029103138446
2002-09-18,5.72,7.376474518569672,-0.22456181667809372
2002-09-19,5.59,7.526474518569672,-0.25728839097135203
2002-09-20,5.74,7.186474518569672,-0.2012773460522288
2002-09-23,5.4,6.826474518569672,-0.20896210989864739
2002-09-24,5.04,6.896474518569672,-0.2691918187431662
2002-09-25,5.11,6.366474518569672,-0.19735797495219665
2002-09-26,4.58,6.476474518569672,-0.29282513397250387
2002-09-27,4.69,6.586474518569672,-0.2879346930171549
2002-09-30,4.8,6.004383631847605,-0.2005840575308152
2002-10-01,5.28,5.794383631847605,-0.08877279526685189
2002-10-02,5.07,5.444383631847605,-0.06876510862636509
2002-10-03,4.72,5.5343836318476045,-0.1471498338426045
2002-10-04,4.81,5.154383631847605,-0.06681373689760839
2002-10-07,4.43,5.214383631847605,-0.1504269127911626
2002-10-08,4.49,5.3243836318476045,-0.1567099010027695
2002-10-09,4.6,5.904383631847605,-0.22091783210221994
2002-10-10,5.18,5.384383631847605,-0.037958593930550344
2002-10-11,4.66,5.444383631847605,-0.1440720722285722
2002-10-14,4.72,5.904383631847605,-0.2005939494614083
2002-10-15,5.18,5.264383631847605,-0.016029157019848417
2002-10-16,4.54,5.444383631847605,-0.1661131347462914
2002-10-17,4.72,5.704383631847605,-0.17256616934944313
2002-10-18,4.98,5.7443836318476045,-0.13306625755455515
2002-10-21,5.02,5.8243836318476045,-0.13810622422761654
2002-10-22,5.1,6.064383631847605,-0.15902417960220494
2002-10-23,5.34,6.454383631847604,-0.17265531387829913
2002-10-24,5.73,6.264383631847605,-0.08530506163939944
