date,DLTR,dcf,Deviation
1996-12-12,3.23,,
1996-12-13,3.31,,
1996-12-16,3.14,,
1996-12-17,3.26,,
1996-12-18,3.36,,
1996-12-19,3.51,,
1996-12-20,3.53,,
1996-12-23,3.48,,
1996-12-24,3.56,,
1996-12-26,3.65,,
1996-12-27,3.73,,
1996-12-30,3.78,,
1996-12-31,3.78,,
1997-01-02,3.65,,
1997-01-03,3.86,,
1997-01-06,3.85,,
1997-01-07,3.85,,
1997-01-08,3.9,,
1997-01-09,4.11,,
1997-01-10,4.12,,
1997-01-13,4.1,,
1997-01-14,4.1,,
1997-01-15,4.15,,
1997-01-16,4.15,,
1997-01-17,4.12,,
1997-01-20,4.3,,
1997-01-21,4.47,,
1997-01-22,4.27,,
1997-01-23,4.2,,
1997-01-24,4.0,,
1997-01-27,4.1,,
1997-01-28,4.15,,
1997-01-29,4.07,,
1997-01-30,4.2,,
1997-01-31,4.17,,
1997-02-03,4.17,,
1997-02-04,4.15,,
1997-02-05,4.16,,
1997-02-06,4.19,,
1997-02-07,4.12,,
1997-02-10,4.15,,
1997-02-11,4.21,,
1997-02-12,4.26,,
1997-02-13,4.35,,
1997-02-14,4.36,,
1997-02-18,4.38,,
1997-02-19,4.38,,
1997-02-20,4.32,,
1997-02-21,4.25,,
1997-02-24,4.21,,
1997-02-25,4.07,,
1997-02-26,4.0,,
1997-02-27,4.02,,
1997-02-28,3.88,,
1997-03-03,3.89,,
1997-03-04,4.05,,
1997-03-05,4.15,,
1997-03-06,4.15,,
1997-03-07,4.05,,
1997-03-10,3.85,,
1997-03-11,3.8,,
1997-03-12,3.67,,
1997-03-13,3.6,,
1997-03-14,3.59,,
1997-03-17,3.42,,
1997-03-18,3.31,,
1997-03-19,3.36,,
1997-03-20,3.65,,
1997-03-21,3.7,,
1997-03-24,3.6,,
1997-03-25,3.64,,
1997-03-26,3.6,,
1997-03-27,3.65,,
1997-03-31,3.65,,
1997-04-01,3.98,,
1997-04-02,3.85,,
1997-04-03,3.85,,
1997-04-04,3.9,,
1997-04-07,3.88,,
1997-04-08,3.96,,
1997-04-09,3.86,,
1997-04-10,3.95,,
1997-04-11,3.83,,
1997-04-14,3.9,,
1997-04-15,3.93,,
1997-04-16,3.95,,
1997-04-17,3.83,,
1997-04-18,3.6,,
1997-04-21,3.6,,
1997-04-22,3.56,,
1997-04-23,3.5,,
1997-04-24,3.7,,
1997-04-25,3.63,,
1997-04-28,3.57,,
1997-04-29,3.78,,
1997-04-30,3.9,,
1997-05-01,4.0,,
1997-05-02,4.05,,
1997-05-05,4.42,,
1997-05-06,4.36,,
1997-05-07,4.32,,
1997-05-08,4.38,,
1997-05-09,4.26,,
1997-05-12,4.33,,
1997-05-13,4.15,,
1997-05-14,4.12,,
1997-05-15,3.99,,
1997-05-16,3.88,,
1997-05-19,3.88,,
1997-05-20,4.04,,
1997-05-21,4.13,,
1997-05-22,4.05,,
1997-05-23,4.33,,
1997-05-27,4.54,,
1997-05-28,4.52,,
1997-05-29,4.52,,
1997-05-30,4.74,,
1997-06-02,4.74,,
1997-06-03,4.84,,
1997-06-04,4.64,,
1997-06-05,4.69,,
1997-06-06,4.81,,
1997-06-09,4.67,,
1997-06-10,4.72,,
1997-06-11,4.77,,
1997-06-12,4.77,,
1997-06-13,4.77,,
1997-06-16,4.69,,
1997-06-17,4.79,,
1997-06-18,4.8,,
1997-06-19,4.89,,
1997-06-20,4.78,,
1997-06-23,4.77,,
1997-06-24,4.68,,
1997-06-25,4.69,,
1997-06-26,4.68,,
1997-06-27,4.77,,
1997-06-30,4.98,,
1997-07-01,4.79,,
1997-07-02,4.78,,
1997-07-03,4.96,,
1997-07-07,4.83,,
1997-07-08,4.85,,
1997-07-09,4.99,,
1997-07-10,5.28,,
1997-07-11,5.21,,
1997-07-14,5.22,,
1997-07-15,5.31,,
1997-07-16,5.57,,
1997-07-17,5.53,,
1997-07-18,5.51,,
1997-07-21,5.43,,
1997-07-22,5.56,,
1997-07-23,5.47,,
1997-07-24,5.46,,
1997-07-25,5.57,,
1997-07-28,5.72,,
1997-07-29,6.04,,
1997-07-30,6.19,,
1997-07-31,6.19,,
1997-08-01,6.2,,
1997-08-04,6.24,,
1997-08-05,6.22,,
1997-08-06,6.22,,
1997-08-07,6.19,,
1997-08-08,5.85,,
1997-08-11,5.93,,
1997-08-12,5.81,,
1997-08-13,5.59,,
1997-08-14,5.57,,
1997-08-15,5.37,,
1997-08-18,5.33,,
1997-08-19,5.35,,
1997-08-20,5.39,,
1997-08-21,5.43,,
1997-08-22,5.48,,
1997-08-25,5.67,,
1997-08-26,5.52,,
1997-08-27,5.74,,
1997-08-28,5.76,,
1997-08-29,5.76,,
1997-09-02,6.22,,
1997-09-03,6.22,,
1997-09-04,6.3,,
1997-09-05,6.17,,
1997-09-08,6.04,,
1997-09-09,5.76,,
1997-09-10,5.87,,
1997-09-11,6.04,,
1997-09-12,6.11,,
1997-09-15,6.31,,
1997-09-16,6.43,,
1997-09-17,6.35,,
1997-09-18,6.81,,
1997-09-19,6.7,,
1997-09-22,6.44,,
1997-09-23,6.26,,
1997-09-24,6.17,,
1997-09-25,5.91,,
1997-09-26,6.06,,
1997-09-29,6.11,,
1997-09-30,6.23,,
1997-10-01,6.17,,
1997-10-02,6.17,,
1997-10-03,6.31,,
1997-10-06,6.41,,
1997-10-07,6.52,,
1997-10-08,6.35,,
1997-10-09,6.48,,
1997-10-10,6.44,,
1997-10-13,6.37,,
1997-10-14,6.35,,
1997-10-15,6.15,,
1997-10-16,6.17,,
1997-10-17,5.96,,
1997-10-20,5.93,,
1997-10-21,6.46,,
1997-10-22,6.0,,
1997-10-23,5.83,,
1997-10-24,5.93,,
1997-10-27,5.41,,
1997-10-28,5.93,,
1997-10-29,5.93,,
1997-10-30,5.87,,
1997-10-31,6.0,,
1997-11-03,6.35,,
1997-11-04,6.26,,
1997-11-05,6.4,,
1997-11-06,6.22,,
1997-11-07,6.15,,
1997-11-10,6.37,,
1997-11-11,6.3,,
1997-11-12,6.11,,
1997-11-13,6.11,,
1997-11-14,6.28,,
1997-11-17,6.56,,
1997-11-18,6.44,,
1997-11-19,6.41,,
1997-11-20,6.46,,
1997-11-21,6.35,,
1997-11-24,6.22,,
1997-11-25,6.02,,
1997-11-26,6.15,,
1997-11-28,6.17,,
1997-12-01,5.95,,
1997-12-02,5.91,,
1997-12-03,6.11,,
1997-12-04,5.93,,
1997-12-05,5.94,,
1997-12-08,5.96,,
1997-12-09,5.91,,
1997-12-10,5.83,,
1997-12-11,5.72,,
1997-12-12,5.63,,
1997-12-15,5.63,,
1997-12-16,5.52,,
1997-12-17,5.71,,
1997-12-18,5.63,,
1997-12-19,5.65,,
1997-12-22,5.56,,
1997-12-23,5.39,,
1997-12-24,5.31,,
1997-12-26,5.41,,
1997-12-29,5.61,,
1997-12-30,5.93,,
1997-12-31,6.13,,
1998-01-02,5.77,,
1998-01-05,5.67,,
1998-01-06,5.65,,
1998-01-07,5.69,,
1998-01-08,5.68,,
1998-01-09,5.46,,
1998-01-12,5.59,,
1998-01-13,5.74,,
1998-01-14,5.56,,
1998-01-15,5.39,,
1998-01-16,5.31,,
1998-01-20,5.39,,
1998-01-21,5.37,,
1998-01-22,5.37,,
1998-01-23,5.57,,
1998-01-26,5.69,,
1998-01-27,5.61,,
1998-01-28,6.2,,
1998-01-29,6.19,,
1998-01-30,6.31,,
1998-02-02,6.37,,
1998-02-03,6.41,,
1998-02-04,6.44,,
1998-02-05,6.58,,
1998-02-06,6.44,,
1998-02-09,6.41,,
1998-02-10,6.38,,
1998-02-11,6.22,,
1998-02-12,6.08,,
1998-02-13,6.22,,
1998-02-17,6.54,,
1998-02-18,6.44,,
1998-02-19,6.35,,
1998-02-20,6.22,,
