date,LDOS,dcf,Deviation
2011-05-27,42.64,47.04390804597701,-0.09361271690423723
2011-05-31,43.36,46.323908045977014,-0.06398225389436707
2011-06-01,42.64,46.173908045977015,-0.07653473997605265
2011-06-02,42.49,45.06390804597701,-0.057116840451364004
2011-06-03,41.38,44.74390804597701,-0.07518136418750887
2011-06-06,41.06,44.37390804597701,-0.07468145565505246
2011-06-07,40.69,44.27390804597702,-0.08094853615034947
2011-06-08,40.59,44.54390804597701,-0.08876428269149383
2011-06-09,40.86,43.68390804597701,-0.06464412577292467
2011-06-10,40.0,43.51390804597701,-0.08075367632491659
2011-06-13,39.83,43.783908045977014,-0.09030505092932906
2011-06-14,40.1,43.61390804597701,-0.0805685205341542
2011-06-15,39.93,43.80390804597701,-0.08843749835998471
2011-06-16,40.12,44.453908045977016,-0.09749217192546089
2011-06-17,40.77,44.47390804597701,-0.08328272033453676
2011-06-20,40.79,44.823908045977014,-0.08999456365650527
2011-06-21,41.14,44.843908045977,-0.0825955677676331
2011-06-22,41.16,44.72390804597701,-0.07968686551974058
2011-06-23,41.04,44.54390804597701,-0.07866189114705369
2011-06-24,40.86,44.94390804597701,-0.09086677646721841
2011-06-27,41.26,45.163908045977,-0.08643866784076382
2011-06-28,41.48,45.33390804597701,-0.0850115997515245
2011-06-29,41.65,45.213908045977014,-0.07882326921072513
2011-06-30,41.53,45.663908045977,-0.09052900250707296
2011-07-01,41.98,43.68390804597701,-0.03900539402710179
2011-07-05,40.0,44.37390804597701,-0.09856936741846323
2011-07-06,40.69,45.11390804597701,-0.09806084725509634
2011-07-07,41.43,44.94390804597701,-0.0781843012490665
2011-07-08,41.26,44.40390804597701,-0.07080250780453212
2011-07-11,40.72,44.423908045977015,-0.0833764567075822
2011-07-12,40.74,44.47390804597701,-0.08395727315253931
2011-07-13,40.79,44.423908045977015,-0.0818007286125314
2011-07-14,40.74,44.323908045977014,-0.08085722139526685
2011-07-15,40.64,43.883908045977016,-0.07392021792084658
2011-07-18,40.2,44.353908045977015,-0.09365371010083468
2011-07-19,40.67,44.52390804597702,-0.0865581709942741
2011-07-20,40.84,44.963908045977014,-0.09171596120515557
2011-07-21,41.28,44.593908045977,-0.07431302146832053
2011-07-22,40.91,44.453908045977016,-0.07972095596885853
2011-07-25,40.77,44.423908045977015,-0.08225093663968863
2011-07-26,40.74,43.75390804597701,-0.06888317365411034
2011-07-27,40.07,43.533908045977014,-0.07956804710293208
2011-07-28,39.85,43.26390804597701,-0.07890891507879993
2011-07-29,39.58,42.385043731778424,-0.06618003627716751
2011-08-01,38.49,41.62504373177842,-0.07531628680031832
2011-08-02,37.73,41.91504373177843,-0.09984586342219393
2011-08-03,38.02,40.565043731778424,-0.06273982467778405
2011-08-04,36.67,40.78504373177842,-0.10089590092978395
2011-08-05,36.89,38.73504373177843,-0.04763241638642446
2011-08-08,34.84,39.49504373177842,-0.11786399740160025
2011-08-09,35.6,38.14504373177842,-0.06672016814751114
2011-08-10,34.25,39.22504373177843,-0.126833350800011
2011-08-11,35.33,39.25504373177843,-0.099988265421316
2011-08-12,35.36,39.72504373177843,-0.1098814078406305
2011-08-15,35.83,39.49504373177842,-0.09279756104762749
2011-08-16,35.6,39.49504373177842,-0.09862107656420693
2011-08-17,35.6,37.82504373177843,-0.05882461756175239
2011-08-18,33.93,37.47504373177843,-0.09459745416580445
2011-08-19,33.58,37.775043731778425,-0.11105331238172278
