date,FDX,dcf,Deviation
2008-04-21,95.45,96.80431186313727,-0.013990201852289497
2008-04-22,93.57,96.34431186313728,-0.028795803400187836
2008-04-23,93.11,97.98431186313728,-0.049745839619158905
2008-04-24,94.75,97.69431186313727,-0.030138007085428242
2008-04-25,94.46,98.79431186313728,-0.04387207908428714
2008-04-28,95.56,100.59431186313728,-0.05004569115186819
2008-04-29,97.36,99.10431186313728,-0.017600766609894514
2008-04-30,95.87,101.88431186313728,-0.05903079437015191
2008-05-01,98.65,100.09431186313728,-0.01442950989175229
2008-05-02,96.86,98.69431186313727,-0.018585791100919513
2008-05-05,95.46,100.90431186313728,-0.05395519539860438
2008-05-06,97.67,96.98431186313728,0.007070093334583305
2008-05-07,93.75,96.44431186313727,-0.02793645173144821
2008-05-08,93.21,93.60431186313728,-0.0042125395218313155
2008-05-09,90.37,93.73431186313728,-0.03589199937851517
2008-05-12,90.5,92.84431186313728,-0.025249924482105612
2008-05-13,89.61,94.30431186313727,-0.04977833749479099
2008-05-14,91.07,94.09431186313728,-0.032141282541459315
2008-05-15,90.86,94.18431186313728,-0.03529581304334384
2008-05-16,90.95,94.30431186313727,-0.035569019028582116
2008-05-19,91.07,93.05431186313727,-0.021324233379488855
2008-05-20,89.82,91.54431186313728,-0.01883581653565991
2008-05-21,88.31,92.06431186313728,-0.04077923124780891
2008-05-22,88.83,90.06431186313728,-0.01370478314443746
2008-05-23,86.83,92.90431186313728,-0.06538245363773543
2008-05-27,89.67,94.05431186313727,-0.0466146822648289
2008-05-28,90.82,95.40431186313728,-0.048051411656464094
2008-05-29,92.17,94.94431186313727,-0.029220411509606303
2008-05-30,91.71,95.6295200010623,-0.040986507105951864
2008-06-02,90.65,94.9195200010623,-0.044980421319181896
2008-06-03,89.94,96.5295200010623,-0.06826429884857788
2008-06-04,91.55,98.6695200010623,-0.07215521065660047
2008-06-05,93.69,93.8395200010623,-0.001593358545105561
2008-06-06,88.86,94.1095200010623,-0.05578096669713162
2008-06-09,89.13,95.2595200010623,-0.06434548485016456
2008-06-10,90.28,91.54952000106229,-0.013867030663268998
2008-06-11,86.57,92.4195200010623,-0.06329312250263874
2008-06-12,87.44,90.9595200010623,-0.038693256088215944
2008-06-13,85.98,91.0095200010623,-0.055263669130477644
2008-06-16,86.03,89.3095200010623,-0.03672083335598808
2008-06-17,84.33,87.57952000106229,-0.03710365164164953
2008-06-18,82.6,86.7095200010623,-0.04739410391168075
2008-06-19,81.73,85.5195200010623,-0.04431175480188887
2008-06-20,80.54,85.1095200010623,-0.05368988100279792
2008-06-23,80.13,84.9595200010623,-0.05684495393808631
2008-06-24,79.98,84.7495200010623,-0.05627784087747645
2008-06-25,79.77,83.0695200010623,-0.039719983948626525
2008-06-26,78.09,82.2295200010623,-0.050341045417859887
2008-06-27,77.25,83.7695200010623,-0.07782687546711053
2008-06-30,78.79,81.3495200010623,-0.03146324650752541
2008-07-01,76.37,79.6795200010623,-0.04153539078822477
2008-07-02,74.7,79.9495200010623,-0.06566043174483782
2008-07-03,74.97,79.9795200010623,-0.06263503458129982
2008-07-07,75.0,82.46952000106229,-0.09057309901847466
2008-07-08,77.49,80.6095200010623,-0.03869915117992506
2008-07-09,75.63,80.1995200010623,-0.056976899624857746
2008-07-10,75.22,78.9195200010623,-0.0468771224281711
2008-07-11,73.94,78.0995200010623,-0.053259226189939834
2008-07-14,73.12,77.9895200010623,-0.06243813272598642
2008-07-15,73.01,81.93952000106229,-0.1089769625322008
2008-07-16,76.96,84.0295200010623,-0.08413138621966343
2008-07-17,79.05,84.4995200010623,-0.06449172730204611
2008-07-18,79.52,82.7895200010623,-0.03949195503271852
2008-07-21,77.81,85.4595200010623,-0.08951044893497195
2008-07-22,80.48,88.0195200010623,-0.08565736328681761
2008-07-23,83.04,84.7695200010623,-0.020402616424401443
2008-07-24,79.79,84.46952000106229,-0.05539891787006057
2008-07-25,79.49,83.0195200010623,-0.04251433880871802
2008-07-28,78.04,87.0995200010623,-0.10401343200228663
2008-07-29,82.12,84.6395200010623,-0.02976765464915998
2008-07-30,79.66,83.8195200010623,-0.049624717500286186
2008-07-31,78.84,82.3195200010623,-0.04226846805007356
2008-08-01,77.34,83.6495200010623,-0.07542804789533963
2008-08-04,78.67,88.96952000106229,-0.11576458995102268
2008-08-05,83.99,87.93952000106229,-0.04491177574103866
2008-08-06,82.96,88.1995200010623,-0.05940531196767507
2008-08-07,83.22,93.1395200010623,-0.10650172988812012
2008-08-08,88.16,92.9495200010623,-0.05152818434143136
2008-08-11,87.97,92.6095200010623,-0.050097657357570546
2008-08-12,87.63,89.79952000106229,-0.02415959462853068
2008-08-13,84.82,91.93952000106229,-0.07743699337325272
2008-08-14,86.96,92.82952000106229,-0.06322902457101076
2008-08-15,87.85,90.8995200010623,-0.03354825197126088
2008-08-18,85.92,87.8895200010623,-0.022409042637148158
2008-08-19,82.91,87.1595200010623,-0.04875566089637151
2008-08-20,82.18,86.2495200010623,-0.04718310317567176
2008-08-21,81.27,87.6595200010623,-0.07289020064203955
2008-08-22,82.68,85.8895200010623,-0.037368004862788795
2008-08-25,80.91,85.8595200010623,-0.05764672340354404
2008-08-26,80.88,86.4995200010623,-0.06496590964890081
2008-08-27,81.52,88.9095200010623,-0.08311280952786626
2008-08-28,83.93,87.79952000106229,-0.04407222272986766
2008-08-29,82.82,89.70851564035172,-0.0767877563370718
2008-09-02,84.67,90.04851564035174,-0.05972908717155534
2008-09-03,85.01,87.83851564035173,-0.03220131419265859
2008-09-04,82.8,87.31851564035173,-0.051747508615041515
2008-09-05,82.28,89.89851564035173,-0.08474573340933
2008-09-08,84.86,89.78851564035173,-0.05489026748245762
2008-09-09,84.75,92.89851564035173,-0.08771416404432097
2008-09-10,87.86,95.50851564035172,-0.08008202817383403
2008-09-11,90.47,95.87851564035172,-0.05641008941606396
2008-09-12,90.84,95.53851564035173,-0.049179282395792834
2008-09-15,90.5,97.03851564035173,-0.06738062301555658
2008-09-16,92.0,93.10851564035173,-0.011905631109334514
2008-09-17,88.07,96.16851564035173,-0.08421171509642855
2008-09-18,91.13,95.11851564035173,-0.041932063526227914
2008-09-19,90.08,90.71851564035174,-0.007038426894936167
2008-09-22,85.68,89.82851564035172,-0.04618261373661359
2008-09-23,84.79,87.53851564035173,-0.03139778667991
2008-09-24,82.5,86.91851564035173,-0.05083514838926262
2008-09-25,81.88,86.59851564035174,-0.054487257725617244
2008-09-26,81.56,84.64851564035173,-0.03648635320994853
2008-09-29,79.61,84.07851564035172,-0.053146937791646254
