date,AIG,dcf,Deviation
2007-08-28,1304.6,1322.6709854882845,-0.013662494820367854
2007-08-29,1322.6,1312.0709854882846,0.008024729323464985
2007-08-30,1312.0,1320.0709854882846,-0.006114054150882842
2007-08-31,1320.0,1331.2709854882846,-0.00846633451126455
2007-09-04,1331.2,1310.0709854882846,0.01612814476907176
2007-09-05,1310.0,1294.8709854882845,0.011683800688460533
2007-09-06,1294.8,1271.0709854882846,0.01866852031289179
2007-09-07,1271.0,1283.0709854882846,-0.00940788594302977
2007-09-10,1283.0,1298.2709854882846,-0.011762556245174971
2007-09-11,1298.2,1293.8709854882845,0.003345785291013259
2007-09-12,1293.8,1302.0709854882846,-0.006352177093619016
2007-09-13,1302.0,1299.2709854882846,0.0021004198063345747
2007-09-14,1299.2,1299.4709854882847,-0.0002085352357311665
2007-09-17,1299.4,1337.0709854882846,-0.02817425992871081
2007-09-18,1337.0,1351.2709854882846,-0.010561157341158922
2007-09-19,1351.2,1342.8709854882845,0.006202393678709894
2007-09-20,1342.8,1344.6709854882845,-0.0013914076443057866
2007-09-21,1344.6,1335.2709854882846,0.006986607672227585
2007-09-24,1335.2,1341.6709854882845,-0.0048230792483966445
2007-09-25,1341.6,1350.6709854882845,-0.006715910525763813
2007-09-26,1350.6,1349.4709854882847,0.0008366348916399868
2007-09-27,1349.4,1353.0709854882846,-0.0027130767917248333
2007-09-28,1353.0,1371.910571266973,-0.01378411367550647
2007-10-01,1371.8,1379.110571266973,-0.005300931933439501
2007-10-02,1379.0,1378.310571266973,0.0005001983931627318
2007-10-03,1378.2,1378.510571266973,-0.00022529480255462087
2007-10-04,1378.4,1387.910571266973,-0.006852438092096236
2007-10-05,1387.8,1387.510571266973,0.00020859569578823844
2007-10-08,1387.4,1402.310571266973,-0.010632859490962376
2007-10-09,1402.2,1370.7105712669727,0.022973069146115188
2007-10-10,1370.6,1362.7105712669727,0.005789511653741641
2007-10-11,1362.6,1361.910571266973,0.0005062217355324972
2007-10-12,1361.8,1335.910571266973,0.019379612146098735
2007-10-15,1335.8,1324.910571266973,0.00821899150718819
2007-10-16,1324.8,1316.110571266973,0.00660235463701353
2007-10-17,1316.0,1297.7105712669727,0.014093611578713583
2007-10-18,1297.6,1265.510571266973,0.025356902946215953
2007-10-19,1265.4,1270.910571266973,-0.00433592370034297
2007-10-22,1270.8,1285.510571266973,-0.011443368569481804
2007-10-23,1285.4,1276.910571266973,0.006648412914777468
2007-10-24,1276.8,1235.910571266973,0.03308445585274811
2007-10-25,1235.8,1243.110571266973,-0.005880869679615208
2007-10-26,1243.0,1264.110571266973,-0.016699940453638207
