date,UA,dcf,Deviation
2016-09-16,34.21,34.37709495719051,-0.004860647980831079
2016-09-19,33.83,34.0070949571905,-0.0052075885168503255
2016-09-20,33.46,34.8470949571905,-0.03980518200712391
2016-09-21,34.3,35.24709495719051,-0.02687015648639446
2016-09-22,34.7,34.8270949571905,-0.0036493126213003046
2016-09-23,34.28,34.12709495719051,0.004480458796780162
2016-09-26,33.58,34.51709495719051,-0.02714872031822879
2016-09-27,33.97,34.9170949571905,-0.027124105208399252
2016-09-28,34.37,34.2270949571905,0.004175202218833718
2016-09-29,33.68,34.40709495719051,-0.021132122839640055
2016-09-30,33.86,34.85950603011232,-0.028672409449776115
2016-10-03,34.05,34.50950603011233,-0.013315346493553815
2016-10-04,33.7,34.18950603011233,-0.014317434995439582
2016-10-05,33.38,33.70950603011232,-0.009774869730157842
2016-10-06,32.9,33.659506030112325,-0.02256438432081742
2016-10-07,32.85,34.07950603011233,-0.0360775777978104
2016-10-10,33.27,34.019506030112325,-0.022031655293551222
2016-10-11,33.21,34.56950603011232,-0.03932674157762339
2016-10-12,33.76,34.199506030112325,-0.012851239129750724
2016-10-13,33.39,34.42950603011232,-0.030192301603257365
2016-10-14,33.62,33.56950603011232,0.0015041618379008082
2016-10-17,32.76,34.119506030112326,-0.03984541947683795
2016-10-18,33.31,34.82950603011233,-0.0436269761850373
2016-10-19,34.02,34.229506030112326,-0.006120626746059843
2016-10-20,33.42,33.769506030112325,-0.010349752519348887
2016-10-21,32.96,33.70950603011232,-0.022234263220671235
2016-10-24,32.9,29.179506030112325,0.12750366527960555
2016-10-25,28.37,28.269506030112325,0.0035548541166807723
2016-10-26,27.46,27.299506030112326,0.005879006371420914
2016-10-27,26.49,26.719506030112324,-0.008589456326538292
2016-10-28,25.91,26.669506030112323,-0.028478443854744517
2016-10-31,25.86,26.319506030112326,-0.0174587634580452
2016-11-01,25.51,26.159506030112325,-0.024828680991325847
2016-11-02,25.35,26.109506030112325,-0.029089253133949722
2016-11-03,25.3,26.419506030112323,-0.04237422262310042
2016-11-04,25.61,26.749506030112325,-0.04259914290864164
2016-11-07,25.94,26.899506030112324,-0.03567002416468967
2016-11-08,26.09,26.709506030112326,-0.02319421517619591
2016-11-09,25.9,26.419506030112323,-0.019663729878984237
2016-11-10,25.61,26.419506030112323,-0.0306404680386404
2016-11-11,25.61,25.689506030112327,-0.003094883569155993
2016-11-14,24.88,26.169506030112323,-0.04927513834722508
2016-11-15,25.36,26.129506030112324,-0.029449696799684122
2016-11-16,25.32,26.079506030112324,-0.02912271533193045
2016-11-17,25.27,24.559506030112324,0.02892948942118556
2016-11-18,23.75,24.609506030112325,-0.0349257733601247
2016-11-21,23.8,24.819506030112326,-0.04107680583470952
2016-11-22,24.01,24.739506030112324,-0.029487493777134666
2016-11-23,23.93,24.949506030112325,-0.04086277415199535
2016-11-25,24.14,27.099506030112327,-0.10920885520288792
2016-11-28,26.29,26.669506030112323,-0.014229960978048406
2016-11-29,25.86,26.589506030112325,-0.027435862452133142
2016-11-30,25.78,26.009506030112327,-0.008823928829967631
2016-12-01,25.2,25.579506030112324,-0.014836331462600105
2016-12-02,24.77,25.869506030112326,-0.042502011009892926
2016-12-05,25.06,26.219506030112324,-0.044223031081541575
2016-12-06,25.41,27.839506030112325,-0.08726828800354702
2016-12-07,27.03,29.629506030112324,-0.08773369449596824
2016-12-08,28.82,29.619506030112326,-0.026992551101274853
2016-12-09,28.81,28.419506030112323,0.013740350359148445
2016-12-12,27.61,28.149506030112324,-0.019165737030525487
2016-12-13,27.34,27.379506030112324,-0.0014429051447778507
2016-12-14,26.57,26.609506030112325,-0.0014846585302116244
2016-12-15,25.8,26.289506030112324,-0.01861982608389967
2016-12-16,25.48,26.179506030112325,-0.02671960384996319
2016-12-19,25.37,26.499506030112325,-0.042623663581835336
2016-12-20,25.69,26.859506030112325,-0.04354160604447399
2016-12-21,26.05,26.289506030112324,-0.009110328274635204
2016-12-22,25.48,26.039506030112324,-0.021486814283854128
2016-12-23,25.23,25.989506030112324,-0.029223565435692933
2016-12-27,25.18,26.039506030112324,-0.033007770159632965
2016-12-28,25.23,25.929506030112325,-0.026977221598436074
2016-12-29,25.12,25.979506030112326,-0.03308400202513817
2016-12-30,25.17,26.883667587840506,-0.06374381703096188
2017-01-03,25.76,27.693667587840505,-0.06982345627234732
2017-01-04,26.57,27.333667587840505,-0.027938716434095623
2017-01-05,26.21,28.163667587840504,-0.06936836552793246
2017-01-06,27.04,28.143667587840504,-0.039215485486949975
2017-01-09,27.02,28.443667587840505,-0.05005218062839101
2017-01-10,27.32,28.103667587840505,-0.02788488674622558
2017-01-11,26.98,27.963667587840504,-0.03517662998784299
2017-01-12,26.84,27.623667587840504,-0.028369425795778946
2017-01-13,26.5,27.323667587840504,-0.030144840007022
2017-01-17,26.2,26.473667587840506,-0.010337350763073072
2017-01-18,25.35,26.383667587840506,-0.03917831303775576
2017-01-19,25.26,26.283667587840505,-0.03894690816718738
2017-01-20,25.16,26.083667587840505,-0.03541172209505894
2017-01-23,24.96,26.243667587840505,-0.04891342201100224
2017-01-24,25.12,26.813667587840506,-0.06316433894364193
2017-01-25,25.69,26.623667587840504,-0.03506908222768401
2017-01-26,25.5,26.643667587840504,-0.042924555490342686
2017-01-27,25.52,26.213667587840504,-0.02646205783742639
2017-01-30,25.09,20.343667587840507,0.23330760747370816
