date,INTU,dcf,Deviation
1995-06-08,5.53,,
1995-06-09,5.65,,
1995-06-12,5.65,,
1995-06-13,5.66,,
1995-06-14,5.86,,
1995-06-15,5.98,,
1995-06-16,6.27,,
1995-06-19,6.52,,
1995-06-20,6.46,,
1995-06-21,6.38,,
1995-06-22,6.52,,
1995-06-23,6.32,,
1995-06-26,6.19,,
1995-06-27,6.14,,
1995-06-28,6.08,,
1995-06-29,6.23,,
1995-06-30,6.33,,
1995-07-03,6.29,,
1995-07-05,6.3,,
1995-07-06,6.33,,
1995-07-07,6.45,,
1995-07-10,6.42,,
1995-07-11,6.48,,
1995-07-12,6.52,,
1995-07-13,6.92,,
1995-07-14,7.15,,
1995-07-17,7.13,,
1995-07-18,6.88,,
1995-07-19,6.69,,
1995-07-20,6.69,,
1995-07-21,6.65,,
1995-07-24,6.9,,
1995-07-25,7.17,,
1995-07-26,7.15,,
1995-07-27,7.29,,
1995-07-28,7.13,,
1995-07-31,7.19,,
1995-08-01,7.22,,
1995-08-02,7.21,,
1995-08-03,7.33,,
1995-08-04,7.35,,
1995-08-07,7.44,,
1995-08-08,7.43,,
1995-08-09,7.46,,
1995-08-10,7.38,,
1995-08-11,7.4,,
1995-08-14,7.43,,
1995-08-15,7.48,,
1995-08-16,7.4,,
1995-08-17,7.48,,
1995-08-18,7.46,,
1995-08-21,7.5,,
1995-08-22,7.42,,
1995-08-23,7.5,,
1995-08-24,7.46,,
1995-08-25,7.29,,
1995-08-28,7.0,,
1995-08-29,6.77,,
1995-08-30,6.92,,
1995-08-31,7.18,,
1995-09-01,7.09,,
1995-09-05,7.0,,
1995-09-06,7.0,,
1995-09-07,7.1,,
1995-09-08,7.38,,
1995-09-11,7.29,,
1995-09-12,7.27,,
1995-09-13,7.21,,
1995-09-14,7.83,,
1995-09-15,7.65,,
1995-09-18,8.08,,
1995-09-19,8.54,,
1995-09-20,8.27,,
1995-09-21,8.54,,
1995-09-22,8.54,,
1995-09-25,8.46,,
1995-09-26,8.33,,
1995-09-27,8.0,,
1995-09-28,8.0,,
1995-09-29,7.83,,
1995-10-02,7.88,,
1995-10-03,7.54,,
1995-10-04,7.33,,
1995-10-05,7.5,,
1995-10-06,7.52,,
1995-10-09,7.38,,
1995-10-10,7.38,,
1995-10-11,7.83,,
1995-10-12,7.98,,
1995-10-13,8.02,,
1995-10-16,8.08,,
1995-10-17,8.15,,
1995-10-18,8.96,,
1995-10-19,9.42,,
1995-10-20,9.46,,
1995-10-23,9.46,,
1995-10-24,10.0,,
1995-10-25,10.63,,
1995-10-26,10.92,,
1995-10-27,11.42,,
1995-10-30,11.92,,
1995-10-31,12.0,,
1995-11-01,13.13,,
1995-11-02,13.79,,
1995-11-03,13.38,,
1995-11-06,12.83,,
1995-11-07,12.83,,
1995-11-08,13.15,,
1995-11-09,13.58,,
1995-11-10,13.83,,
1995-11-13,13.71,,
1995-11-14,13.38,,
1995-11-15,13.38,,
1995-11-16,13.46,,
1995-11-17,13.5,,
1995-11-20,12.21,,
1995-11-21,11.46,,
1995-11-22,12.04,,
1995-11-24,12.33,,
1995-11-27,12.42,,
1995-11-28,13.38,,
1995-11-29,13.67,,
1995-11-30,14.0,,
1995-12-01,14.04,,
1995-12-04,14.5,,
1995-12-05,14.08,,
1995-12-06,13.9,,
1995-12-07,13.29,,
1995-12-08,12.96,,
1995-12-11,13.21,,
1995-12-12,12.92,,
1995-12-13,12.96,,
1995-12-14,12.42,,
1995-12-15,12.29,,
1995-12-18,11.33,,
1995-12-19,12.54,,
1995-12-20,12.29,,
1995-12-21,12.75,,
1995-12-22,13.0,,
1995-12-26,12.94,,
1995-12-27,12.98,,
1995-12-28,12.63,,
1995-12-29,13.0,,
1996-01-02,12.5,,
1996-01-03,11.92,,
1996-01-04,11.33,,
1996-01-05,11.21,,
1996-01-08,11.0,,
1996-01-09,9.92,,
1996-01-10,9.6,,
1996-01-11,10.33,,
1996-01-12,10.92,,
1996-01-15,10.04,,
1996-01-16,10.23,,
1996-01-17,8.88,,
1996-01-18,9.04,,
1996-01-19,9.08,,
1996-01-22,9.5,,
1996-01-23,9.75,,
1996-01-24,9.63,,
1996-01-25,9.63,,
1996-01-26,9.71,,
1996-01-29,9.38,,
1996-01-30,10.42,,
1996-01-31,10.27,,
1996-02-01,10.17,,
1996-02-02,10.96,,
1996-02-05,11.13,,
1996-02-06,11.15,,
1996-02-07,10.83,,
1996-02-08,10.58,,
1996-02-09,9.79,,
1996-02-12,9.63,,
1996-02-13,9.42,,
1996-02-14,9.33,,
1996-02-15,9.21,,
1996-02-16,9.42,,
1996-02-20,10.17,,
1996-02-21,10.58,,
1996-02-22,11.27,,
1996-02-23,11.04,,
1996-02-26,10.58,,
1996-02-27,10.88,,
1996-02-28,10.79,,
1996-02-29,11.13,,
1996-03-01,8.42,,
1996-03-04,7.48,,
1996-03-05,7.17,,
1996-03-06,7.46,,
1996-03-07,7.29,,
1996-03-08,7.54,,
1996-03-11,8.19,,
1996-03-12,8.46,,
1996-03-13,8.88,,
1996-03-14,8.54,,
1996-03-15,8.63,,
1996-03-18,8.08,,
1996-03-19,8.17,,
1996-03-20,7.88,,
1996-03-21,7.83,,
1996-03-22,8.08,,
1996-03-25,7.79,,
1996-03-26,7.92,,
1996-03-27,7.79,,
1996-03-28,7.58,,
1996-03-29,7.5,,
1996-04-01,7.71,,
1996-04-02,8.0,,
1996-04-03,7.96,,
1996-04-04,7.83,,
1996-04-08,7.98,,
1996-04-09,7.54,,
1996-04-10,7.54,,
1996-04-11,7.71,,
