DFS,dcf,Deviation
16.21,16.403078080593595,-0.011770844450348816
15.63,15.943078080593596,-0.01963724188083127
15.17,15.753078080593596,-0.0370135968101305
14.98,16.053078080593597,-0.06684562768624602
15.28,15.583078080593596,-0.01944917936149182
14.81,15.003078080593596,-0.012869231204184817
14.23,14.743078080593596,-0.034801286257105546
13.97,15.343078080593596,-0.08949169608478413
14.57,14.933078080593596,-0.02431367991475497
14.16,15.873078080593595,-0.10792349611686236
15.1,16.273078080593596,-0.07208704307715119
15.5,16.963078080593597,-0.08625074256230736
16.19,16.873078080593597,-0.04048331177814146
16.1,16.533078080593597,-0.026194643156130737
15.76,15.863078080593596,-0.006497987343307532
15.09,17.251246336838477,-0.12528059101581146
14.98,17.001246336838477,-0.11888812718740616
14.73,16.991246336838476,-0.1330830176910507
14.72,16.071246336838477,-0.08407850321733623
13.8,16.421246336838475,-0.15962529780447432
14.15,15.571246336838476,-0.09127376872049664
13.3,17.301246336838474,-0.23126925418770938
15.03,17.551246336838474,-0.1436505583963349
15.28,18.021246336838477,-0.15211191754451003
15.75,17.741246336838476,-0.1122382440913291
15.47,17.451246336838476,-0.11353036331028066
15.18,19.671246336838475,-0.22831529125979622
17.4,17.471246336838476,-0.004077919540762975
15.2,19.031246336838475,-0.2013134751675404
16.76,18.951246336838476,-0.11562544741867498
16.68,19.491246336838476,-0.14423122504614894
17.22,18.261246336838475,-0.05701945626449201
15.99,18.491246336838476,-0.1352665088807704
16.22,18.251246336838477,-0.11129356863364404
15.98,18.641246336838478,-0.14276118070385524
16.37,20.001246336838477,-0.18155100315675898
17.73,19.741246336838476,-0.10188041334985809
17.47,19.951246336838476,-0.12436548047913387
17.68,19.411246336838477,-0.08918779901076912
17.14,20.361246336838477,-0.15820477212195272
18.09,20.641246336838478,-0.12359943267017082
18.37,19.971246336838476,-0.08017758680813303
17.7,20.071246336838477,-0.11814145953090749
17.8,19.821246336838477,-0.10197372569261298
17.55,19.311246336838476,-0.09120314174019362
17.04,19.291246336838476,-0.11669781710990379
17.02,20.221246336838476,-0.15831103006774316
17.95,20.481246336838478,-0.1235884914037515
