date,IQV,dcf,Deviation
2014-04-29,47.58,47.13,0.00954805856142582
2014-04-30,47.13,48.76,-0.03342904019688264
2014-05-01,48.76,47.32,0.030431107354184306
2014-05-02,47.32,46.99,0.007022770802298295
2014-05-05,46.99,46.75,0.005133689839572186
2014-05-06,46.75,47.35,-0.012671594508975703
2014-05-07,47.35,46.99,0.007661204511598241
2014-05-08,46.99,47.54,-0.011569204880100936
2014-05-09,47.54,47.87,-0.006893670357217441
2014-05-12,47.87,47.5,0.007789473684210568
2014-05-13,47.5,47.76,-0.005443886097152406
2014-05-14,47.76,49.22,-0.02966273872409586
2014-05-15,49.22,49.6,-0.007661290322580672
2014-05-16,49.6,49.81,-0.0042160208793414755
2014-05-19,49.81,50.4,-0.011706349206349165
2014-05-20,50.4,50.64,-0.004739336492891044
2014-05-21,50.64,50.89,-0.0049125564943997
2014-05-22,50.89,51.24,-0.006830601092896238
2014-05-23,51.24,51.26,-0.0003901677721419583
2014-05-27,51.26,50.87,0.007666601140161156
2014-05-28,50.87,50.87,0.0
2014-05-29,50.87,50.98,-0.002157708905453082
2014-05-30,50.98,51.1,-0.0023483365949120705
2014-06-02,51.1,51.44,-0.006609642301710683
2014-06-03,51.44,52.63,-0.022610678320349686
2014-06-04,52.63,52.81,-0.0034084453701950235
2014-06-05,52.81,52.99,-0.0033968673334591193
2014-06-06,52.99,52.98,0.00018875047187627558
2014-06-09,52.98,52.67,0.005885703436491196
2014-06-10,52.67,52.34,0.0063049293083683455
2014-06-11,52.34,52.14,0.003835826620636862
2014-06-12,52.14,51.61,0.01026932764968036
2014-06-13,51.61,51.05,0.010969637610186211
2014-06-16,51.05,51.25,-0.0039024390243902474
2014-06-17,51.25,51.25,0.0
2014-06-18,51.25,52.93,-0.031740034007179285
2014-06-19,52.93,53.33,-0.0075004687792986635
2014-06-20,53.33,52.95,0.007176581680830907
2014-06-23,52.95,52.88,0.001323751891074032
2014-06-24,52.88,52.69,0.0036059973429494185
2014-06-25,52.69,52.28,0.007842387146136165
2014-06-26,52.28,51.92,0.006933744221879756
2014-06-27,51.92,53.29,-0.025708388065302956
2014-06-30,53.29,58.36204615930165,-0.08690658558230269
2014-07-01,53.56,59.22204615930165,-0.09560706740985081
2014-07-02,54.42,59.76204615930165,-0.08938860870094534
2014-07-03,54.96,60.10204615930165,-0.08555525956092336
2014-07-07,55.3,59.72204615930165,-0.07404378188092142
2014-07-08,54.92,59.85204615930165,-0.0824039690501902
2014-07-09,55.05,60.35204615930165,-0.08785197017689661
2014-07-10,55.55,60.19204615930165,-0.07712059076736177
2014-07-11,55.39,59.82204615930165,-0.0740871709319243
2014-07-14,55.02,59.90204615930165,-0.08150049075650079
2014-07-15,55.1,59.70204615930165,-0.07708355835949265
2014-07-16,54.9,59.28204615930165,-0.07391860509548365
2014-07-17,54.48,60.01204615930165,-0.09218226195148993
2014-07-18,55.21,60.07204615930165,-0.08093691608919507
2014-07-21,55.27,59.77204615930165,-0.07532026170399131
2014-07-22,54.97,59.80204615930165,-0.08080068274637242
2014-07-23,55.0,59.64204615930165,-0.07783177235239247
2014-07-24,54.84,59.79204615930165,-0.08282115226677644
2014-07-25,54.99,59.60204615930165,-0.07738066822361733
2014-07-28,54.8,60.74204615930165,-0.09782426729119542
2014-07-29,55.94,61.62204615930165,-0.09220800855286049
2014-07-30,56.82,59.73204615930165,-0.04875182329323535
2014-07-31,54.93,59.84204615930165,-0.08208352612518643
2014-08-01,55.04,60.21204615930165,-0.08589719979982224
2014-08-04,55.41,60.33204615930165,-0.08158261608275985
2014-08-05,55.53,59.86204615930165,-0.07236715811172645
2014-08-06,55.06,60.56204615930165,-0.09084974019585035
2014-08-07,55.76,60.65204615930165,-0.08065756176556294
2014-08-08,55.85,60.74204615930165,-0.08053805343454856
2014-08-11,55.94,60.90204615930165,-0.08147585298402638
2014-08-12,56.1,61.19204615930165,-0.08321418352387644
2014-08-13,56.39,61.97204615930165,-0.09007361391542201
2014-08-14,57.17,61.82204615930165,-0.07524898395168544
2014-08-15,57.02,61.88204615930165,-0.07856957649372787
2014-08-18,57.08,60.93204615930165,-0.06321872318600308
2014-08-19,56.13,60.85204615930165,-0.07759880656995544
2014-08-20,56.05,61.14204615930165,-0.08328223340832686
2014-08-21,56.34,60.54204615930165,-0.0694070720412221
2014-08-22,55.74,60.29204615930165,-0.07549994483972866
2014-08-25,55.49,60.65204615930165,-0.08510918404539247
2014-08-26,55.85,61.56204615930165,-0.09278519015629882
2014-08-27,56.76,61.16204615930165,-0.07197349395139852
2014-08-28,56.36,60.92204615930165,-0.0748833377554754
2014-08-29,56.12,60.68204615930165,-0.07517950445054922
2014-09-02,55.88,60.78204615930165,-0.08064957448872379
2014-09-03,55.98,61.07204615930165,-0.08337769044153931
2014-09-04,56.27,60.49204615930165,-0.06979506277871939
2014-09-05,55.69,60.76204615930165,-0.08347391965708517
2014-09-08,55.96,60.34204615930165,-0.0726201121475587
2014-09-09,55.54,61.30204615930165,-0.09399435288551705
2014-09-10,56.5,63.47204615930165,-0.10984435796828196
2014-09-11,58.67,62.37204615930165,-0.05935425222136237
2014-09-12,57.57,62.05204615930165,-0.07223043294648535
2014-09-15,57.25,61.96204615930165,-0.07604729752124695
2014-09-16,57.16,61.02204615930165,-0.06328935855771789
2014-09-17,56.22,61.80204615930165,-0.0903213810253678
2014-09-18,57.0,62.12204615930165,-0.0824513433792411
2014-09-19,57.32,61.09204615930165,-0.06174365398509962
2014-09-22,56.29,60.56204615930165,-0.070539990476288
2014-09-23,55.76,61.78204615930165,-0.0974724298346179
2014-09-24,56.98,60.63204615930165,-0.06023293605672564
2014-09-25,55.83,61.72204615930165,-0.09546096615291333
2014-09-26,56.92,62.00204615930165,-0.08196578135896293
2014-09-29,57.2,60.58204615930165,-0.05582588198504368
2014-09-30,55.78,59.45021477904218,-0.06173593809010136
2014-10-01,54.56,59.460214779042175,-0.08241165621839197
