DE,dcf,Deviation
4.08,,
4.07,,
4.15,,
4.17,,
4.15,,
4.16,,
4.1,,
4.13,,
4.11,,
4.04,,
4.05,,
4.02,,
3.96,,
3.96,,
3.98,,
3.99,,
4.02,,
4.08,,
4.17,,
4.27,,
4.25,,
4.21,,
4.29,,
4.27,,
4.19,,
4.22,,
4.17,,
4.13,,
4.14,,
4.19,,
4.19,,
4.18,,
4.08,,
4.0,,
4.04,,
3.92,,
3.94,,
3.9,,
3.93,,
3.94,,
3.96,,
4.02,,
4.04,,
4.09,,
4.13,,
4.14,,
4.1,,
4.17,,
4.18,,
4.2,,
4.17,,
4.25,,
4.32,,
4.33,,
4.46,,
4.46,,
4.46,,
4.32,,
4.34,,
4.43,,
4.4,,
4.46,,
4.5,,
4.55,,
4.64,,
4.69,,
4.7,,
4.66,,
4.8,,
4.82,,
4.8,,
4.79,,
4.91,,
4.88,,
4.92,,
5.02,,
5.04,,
4.92,,
4.92,,
4.92,,
4.91,,
4.91,,
4.89,,
4.89,,
4.9,,
5.0,,
5.14,,
5.17,,
5.18,,
5.16,,
5.38,,
5.52,,
5.46,,
5.57,,
5.77,,
5.71,,
5.6,,
5.61,,
5.66,,
5.69,,
5.67,,
5.72,,
5.6,,
5.44,,
5.54,,
5.47,,
5.45,,
5.42,,
5.44,,
5.52,,
5.52,,
5.45,,
5.39,,
5.29,,
5.25,,
5.3,,
5.36,,
5.36,,
5.56,,
5.59,,
5.55,,
5.45,,
5.33,,
5.21,,
5.2,,
5.17,,
5.1,,
5.17,,
5.23,,
5.26,,
5.31,,
5.19,,
5.25,,
5.22,,
5.25,,
5.33,,
5.36,,
5.36,,
5.39,,
5.38,,
5.4,,
5.52,,
5.64,,
5.64,,
5.64,,
5.44,,
5.4,,
5.39,,
5.42,,
5.43,,
5.42,,
5.39,,
5.32,,
5.35,,
5.54,,
5.54,,
5.64,,
5.74,,
5.75,,
5.78,,
5.75,,
5.69,,
5.75,,
5.68,,
5.73,,
5.83,,
5.94,,
5.89,,
5.96,,
6.07,,
6.08,,
6.09,,
6.03,,
5.91,,
5.96,,
5.97,,
5.79,,
5.78,,
5.79,,
5.79,,
5.8,,
5.78,,
5.68,,
5.72,,
5.68,,
5.77,,
5.68,,
5.68,,
5.66,,
5.65,,
5.63,,
5.5,,
5.52,,
5.5,,
5.4,,
5.34,,
5.4,,
5.42,,
5.49,,
5.6,,
5.67,,
5.67,,
5.64,,
5.56,,
5.51,,
5.51,,
5.54,,
5.54,,
5.53,,
5.56,,
5.65,,
5.71,,
5.68,,
5.53,,
5.47,,
5.42,,
5.45,,
5.46,,
5.45,,
5.41,,
5.36,,
5.43,,
5.48,,
5.47,,
5.55,,
5.64,,
5.69,,
5.6,,
5.65,,
5.67,,
5.68,,
5.65,,
5.58,,
5.64,,
5.63,,
