date,LEN,dcf,Deviation
1981-10-07,2.31,,
1981-10-08,2.29,,
1981-10-09,2.27,,
1981-10-12,2.25,,
1981-10-13,2.19,,
1981-10-14,1.97,,
1981-10-15,2.03,,
1981-10-16,2.03,,
1981-10-19,2.13,,
1981-10-20,2.09,,
1981-10-21,2.17,,
1981-10-22,2.05,,
1981-10-23,1.95,,
1981-10-26,1.93,,
1981-10-27,1.84,,
1981-10-28,1.95,,
1981-10-29,1.91,,
1981-10-30,1.93,,
1981-11-02,2.27,,
1981-11-03,2.42,,
1981-11-04,2.25,,
1981-11-05,2.25,,
1981-11-06,2.21,,
1981-11-09,2.21,,
1981-11-10,2.27,,
1981-11-11,2.17,,
1981-11-12,2.19,,
1981-11-13,2.25,,
1981-11-16,2.15,,
1981-11-17,2.17,,
1981-11-18,2.17,,
1981-11-19,2.17,,
1981-11-20,2.13,,
1981-11-23,2.19,,
1981-11-24,2.21,,
1981-11-25,2.21,,
1981-11-27,2.25,,
1981-11-30,2.23,,
1981-12-01,2.23,,
1981-12-02,2.25,,
1981-12-03,2.23,,
1981-12-04,2.31,,
1981-12-07,2.25,,
1981-12-08,2.23,,
1981-12-09,2.25,,
1981-12-10,2.21,,
1981-12-11,2.19,,
1981-12-14,2.09,,
1981-12-15,2.01,,
1981-12-16,1.91,,
1981-12-17,2.03,,
1981-12-18,2.17,,
1981-12-21,2.09,,
1981-12-22,2.09,,
1981-12-23,2.01,,
1981-12-24,1.97,,
1981-12-28,1.97,,
1981-12-29,1.99,,
1981-12-30,2.01,,
1981-12-31,2.09,,
1982-01-04,2.19,,
1982-01-05,2.21,,
1982-01-06,2.07,,
1982-01-07,2.05,,
1982-01-08,2.13,,
1982-01-11,2.07,,
1982-01-12,2.07,,
1982-01-13,2.05,,
1982-01-14,2.09,,
1982-01-15,2.07,,
1982-01-18,2.07,,
1982-01-19,2.07,,
1982-01-20,2.05,,
1982-01-21,2.03,,
1982-01-22,2.01,,
1982-01-25,1.86,,
1982-01-26,1.84,,
1982-01-27,1.93,,
1982-01-28,2.01,,
1982-01-29,1.99,,
1982-02-01,1.93,,
1982-02-02,1.86,,
1982-02-03,1.82,,
1982-02-04,1.86,,
1982-02-05,1.91,,
1982-02-08,1.78,,
1982-02-09,1.68,,
1982-02-10,1.66,,
1982-02-11,1.66,,
1982-02-12,1.72,,
1982-02-16,1.74,,
1982-02-17,1.78,,
1982-02-18,1.74,,
1982-02-19,1.74,,
1982-02-22,1.74,,
1982-02-23,1.7,,
1982-02-24,1.7,,
1982-02-25,1.84,,
1982-02-26,1.78,,
1982-03-01,1.76,,
1982-03-02,1.7,,
1982-03-03,1.68,,
1982-03-04,1.62,,
1982-03-05,1.6,,
1982-03-08,1.64,,
1982-03-09,1.68,,
1982-03-10,1.76,,
1982-03-11,1.7,,
1982-03-12,1.62,,
1982-03-15,1.6,,
1982-03-16,1.62,,
1982-03-17,1.64,,
1982-03-18,1.62,,
1982-03-19,1.64,,
1982-03-22,1.62,,
1982-03-23,1.64,,
1982-03-24,1.62,,
1982-03-25,1.64,,
1982-03-26,1.62,,
1982-03-29,1.66,,
1982-03-30,1.76,,
1982-03-31,1.74,,
1982-04-01,1.74,,
1982-04-02,1.86,,
1982-04-05,1.86,,
1982-04-06,1.84,,
1982-04-07,1.8,,
1982-04-08,1.8,,
1982-04-12,1.8,,
1982-04-13,1.8,,
1982-04-14,1.8,,
1982-04-15,1.88,,
1982-04-16,1.91,,
1982-04-19,2.05,,
1982-04-20,1.99,,
1982-04-21,2.07,,
1982-04-22,2.17,,
1982-04-23,2.11,,
1982-04-26,2.13,,
1982-04-27,2.13,,
1982-04-28,2.15,,
1982-04-29,2.11,,
1982-04-30,2.07,,
1982-05-03,2.07,,
1982-05-04,2.05,,
1982-05-05,2.07,,
1982-05-06,2.13,,
1982-05-07,2.23,,
1982-05-10,2.25,,
1982-05-11,2.23,,
1982-05-12,2.25,,
1982-05-13,2.21,,
1982-05-14,2.15,,
1982-05-17,2.09,,
1982-05-18,1.95,,
1982-05-19,2.03,,
1982-05-20,1.99,,
1982-05-21,1.97,,
1982-05-24,2.03,,
1982-05-25,2.05,,
1982-05-26,1.99,,
1982-05-27,1.91,,
1982-05-28,1.97,,
1982-06-01,1.97,,
