date,LRCX,dcf,Deviation
1986-10-06,1.11,,
1986-10-07,1.14,,
1986-10-08,1.19,,
1986-10-09,1.22,,
1986-10-10,1.31,,
1986-10-13,1.28,,
1986-10-14,1.22,,
1986-10-15,1.22,,
1986-10-16,1.28,,
1986-10-17,1.31,,
1986-10-20,1.25,,
1986-10-21,1.22,,
1986-10-22,1.22,,
1986-10-23,1.17,,
1986-10-24,1.19,,
1986-10-27,1.17,,
1986-10-28,1.11,,
1986-10-29,1.11,,
1986-10-30,1.14,,
1986-10-31,1.14,,
1986-11-03,1.11,,
1986-11-04,1.06,,
1986-11-05,1.08,,
1986-11-06,1.11,,
1986-11-07,1.08,,
1986-11-10,1.11,,
1986-11-11,1.08,,
1986-11-12,1.14,,
1986-11-13,1.14,,
1986-11-14,1.17,,
1986-11-17,1.17,,
1986-11-18,1.14,,
1986-11-19,1.14,,
1986-11-20,1.11,,
1986-11-21,1.19,,
1986-11-24,1.17,,
1986-11-25,1.11,,
1986-11-26,1.14,,
1986-11-28,1.14,,
1986-12-01,1.11,,
1986-12-02,1.08,,
1986-12-03,1.03,,
1986-12-04,1.08,,
1986-12-05,1.08,,
1986-12-08,1.03,,
1986-12-09,1.0,,
1986-12-10,1.03,,
1986-12-11,1.03,,
1986-12-12,1.06,,
1986-12-15,1.03,,
1986-12-16,1.03,,
1986-12-17,1.06,,
1986-12-18,1.06,,
1986-12-19,1.03,,
1986-12-22,0.97,,
1986-12-23,1.0,,
1986-12-24,1.0,,
1986-12-26,0.97,,
1986-12-29,1.0,,
1986-12-30,1.0,,
1986-12-31,1.0,,
1987-01-02,1.03,,
1987-01-05,0.97,,
1987-01-06,1.03,,
1987-01-07,1.28,,
1987-01-08,1.25,,
1987-01-09,1.31,,
1987-01-12,1.36,,
1987-01-13,1.36,,
1987-01-14,1.47,,
1987-01-15,1.47,,
1987-01-16,1.5,,
1987-01-19,1.53,,
1987-01-20,1.53,,
1987-01-21,1.56,,
1987-01-22,1.47,,
1987-01-23,1.44,,
1987-01-26,1.47,,
1987-01-27,1.44,,
1987-01-28,1.47,,
1987-01-29,1.42,,
1987-01-30,1.44,,
1987-02-02,1.39,,
1987-02-03,1.5,,
1987-02-04,1.53,,
1987-02-05,1.56,,
1987-02-06,1.5,,
1987-02-09,1.47,,
1987-02-10,1.39,,
1987-02-11,1.36,,
1987-02-12,1.39,,
1987-02-13,1.44,,
1987-02-17,1.53,,
1987-02-18,1.56,,
1987-02-19,1.53,,
1987-02-20,1.53,,
1987-02-23,1.47,,
1987-02-24,1.44,,
1987-02-25,1.47,,
1987-02-26,1.61,,
1987-02-27,1.67,,
1987-03-02,1.72,,
1987-03-03,1.69,,
1987-03-04,1.75,,
1987-03-05,1.61,,
1987-03-06,1.58,,
1987-03-09,1.61,,
1987-03-10,1.61,,
1987-03-11,1.61,,
1987-03-12,1.64,,
1987-03-13,1.58,,
1987-03-16,1.61,,
1987-03-17,1.61,,
1987-03-18,1.61,,
1987-03-19,1.67,,
1987-03-20,1.67,,
1987-03-23,1.72,,
1987-03-24,1.72,,
1987-03-25,1.72,,
1987-03-26,1.69,,
1987-03-27,1.69,,
1987-03-30,1.67,,
1987-03-31,1.67,,
1987-04-01,1.58,,
1987-04-02,1.64,,
1987-04-03,1.61,,
1987-04-06,1.69,,
1987-04-07,1.72,,
1987-04-08,1.67,,
1987-04-09,1.64,,
1987-04-10,1.61,,
1987-04-13,1.64,,
1987-04-14,1.61,,
1987-04-15,1.61,,
1987-04-16,1.72,,
1987-04-20,1.69,,
1987-04-21,1.64,,
1987-04-22,1.78,,
1987-04-23,1.69,,
1987-04-24,1.75,,
1987-04-27,1.69,,
1987-04-28,1.94,,
1987-04-29,1.97,,
1987-04-30,1.94,,
1987-05-01,1.92,,
1987-05-04,1.92,,
1987-05-05,1.92,,
1987-05-06,1.97,,
1987-05-07,1.94,,
1987-05-08,2.06,,
1987-05-11,2.06,,
1987-05-12,2.08,,
1987-05-13,2.14,,
1987-05-14,2.06,,
1987-05-15,1.97,,
1987-05-18,1.94,,
1987-05-19,1.97,,
1987-05-20,1.97,,
1987-05-21,1.97,,
1987-05-22,1.92,,
1987-05-26,1.94,,
1987-05-27,1.86,,
1987-05-28,1.89,,
1987-05-29,1.86,,
1987-06-01,1.83,,
1987-06-02,1.81,,
1987-06-03,1.81,,
1987-06-04,1.83,,
1987-06-05,1.81,,
1987-06-08,1.78,,
1987-06-09,1.81,,
1987-06-10,1.81,,
1987-06-11,1.81,,
1987-06-12,1.92,,
1987-06-15,2.0,,
1987-06-16,1.97,,
1987-06-17,2.08,,
1987-06-18,2.11,,
1987-06-19,2.08,,
1987-06-22,2.08,,
1987-06-23,2.06,,
1987-06-24,2.08,,
1987-06-25,2.03,,
1987-06-26,1.81,,
1987-06-29,1.89,,
1987-06-30,1.89,,
1987-07-01,1.83,,
1987-07-02,1.86,,
1987-07-06,1.86,,
1987-07-07,1.89,,
1987-07-08,1.89,,
1987-07-09,1.97,,
1987-07-10,1.97,,
1987-07-13,1.92,,
1987-07-14,2.03,,
1987-07-15,2.08,,
1987-07-16,2.11,,
1987-07-17,2.17,,
1987-07-20,2.11,,
1987-07-21,2.14,,
1987-07-22,2.14,,
1987-07-23,2.06,,
1987-07-24,2.0,,
1987-07-27,1.94,,
1987-07-28,1.94,,
1987-07-29,2.0,,
1987-07-30,1.94,,
1987-07-31,2.0,,
1987-08-03,1.92,,
1987-08-04,1.86,,
1987-08-05,2.0,,
1987-08-06,2.11,,
1987-08-07,2.53,,
1987-08-10,2.44,,
1987-08-11,2.47,,
1987-08-12,2.47,,
1987-08-13,2.53,,
1987-08-14,2.5,,
1987-08-17,2.44,,
1987-08-18,2.44,,
1987-08-19,2.47,,
1987-08-20,2.64,,
1987-08-21,2.69,,
1987-08-24,2.69,,
1987-08-25,2.64,,
1987-08-26,2.56,,
1987-08-27,2.53,,
1987-08-28,2.58,,
1987-08-31,2.53,,
1987-09-01,2.5,,
1987-09-02,2.44,,
1987-09-03,2.5,,
1987-09-04,2.44,,
1987-09-08,2.44,,
1987-09-09,2.42,,
1987-09-10,2.44,,
1987-09-11,2.44,,
1987-09-14,2.42,,
1987-09-15,2.42,,
1987-09-16,2.47,,
1987-09-17,2.44,,
1987-09-18,2.44,,
1987-09-21,2.44,,
1987-09-22,2.44,,
1987-09-23,2.44,,
1987-09-24,2.44,,
1987-09-25,2.44,,
1987-09-28,2.5,,
1987-09-29,2.42,,
1987-09-30,2.42,,
1987-10-01,2.33,,
1987-10-02,2.44,,
1987-10-05,2.58,,
1987-10-06,2.39,,
1987-10-07,2.33,,
1987-10-08,2.25,,
1987-10-09,2.31,,
1987-10-12,2.22,,
1987-10-13,2.31,,
1987-10-14,2.28,,
1987-10-15,2.22,,
1987-10-16,2.19,,
1987-10-19,1.89,,
1987-10-20,1.53,,
1987-10-21,1.56,,
1987-10-22,1.44,,
1987-10-23,1.17,,
1987-10-26,0.89,,
1987-10-27,0.89,,
1987-10-28,0.94,,
1987-10-29,1.31,,
1987-10-30,1.44,,
1987-11-02,1.25,,
1987-11-03,1.19,,
1987-11-04,1.19,,
1987-11-05,1.22,,
1987-11-06,1.08,,
1987-11-09,1.11,,
1987-11-10,1.14,,
1987-11-11,1.22,,
1987-11-12,1.22,,
1987-11-13,1.17,,
1987-11-16,1.19,,
1987-11-17,1.14,,
1987-11-18,1.11,,
1987-11-19,1.08,,
1987-11-20,1.11,,
1987-11-23,1.08,,
1987-11-24,1.08,,
1987-11-25,1.08,,
1987-11-27,1.03,,
1987-11-30,1.03,,
1987-12-01,1.03,,
1987-12-02,1.06,,
1987-12-03,1.03,,
1987-12-04,1.0,,
1987-12-07,1.0,,
1987-12-08,1.11,,
1987-12-09,1.11,,
1987-12-10,1.17,,
1987-12-11,1.22,,
1987-12-14,1.28,,
1987-12-15,1.47,,
1987-12-16,1.61,,
1987-12-17,1.64,,
1987-12-18,1.69,,
1987-12-21,1.64,,
1987-12-22,1.61,,
1987-12-23,1.56,,
1987-12-24,1.58,,
1987-12-28,1.56,,
1987-12-29,1.56,,
1987-12-30,1.56,,
1987-12-31,1.58,,
1988-01-04,1.67,,
1988-01-05,1.67,,
1988-01-06,1.56,,
1988-01-07,1.56,,
1988-01-08,1.47,,
1988-01-11,1.47,,
1988-01-12,1.39,,
1988-01-13,1.39,,
1988-01-14,1.5,,
1988-01-15,1.5,,
1988-01-18,1.5,,
1988-01-19,1.56,,
1988-01-20,1.53,,
1988-01-21,1.53,,
1988-01-22,1.56,,
1988-01-25,1.39,,
1988-01-26,1.31,,
1988-01-27,1.31,,
1988-01-28,1.33,,
1988-01-29,1.33,,
1988-02-01,1.22,,
1988-02-02,1.28,,
1988-02-03,1.19,,
1988-02-04,1.31,,
1988-02-05,1.31,,
1988-02-08,1.33,,
1988-02-09,1.33,,
1988-02-10,1.33,,
1988-02-11,1.33,,
1988-02-12,1.33,,
1988-02-16,1.36,,
1988-02-17,1.39,,
1988-02-18,1.5,,
1988-02-19,1.53,,
1988-02-22,1.44,,
1988-02-23,1.36,,
1988-02-24,1.33,,
1988-02-25,1.36,,
1988-02-26,1.31,,
1988-02-29,1.33,,
1988-03-01,1.36,,
1988-03-02,1.39,,
1988-03-03,1.47,,
1988-03-04,1.53,,
1988-03-07,1.56,,
1988-03-08,1.56,,
1988-03-09,1.58,,
1988-03-10,1.56,,
1988-03-11,1.58,,
1988-03-14,1.53,,
1988-03-15,1.56,,
1988-03-16,1.53,,
1988-03-17,1.53,,
1988-03-18,1.53,,
1988-03-21,1.42,,
1988-03-22,1.5,,
1988-03-23,1.44,,
1988-03-24,1.31,,
1988-03-25,1.31,,
1988-03-28,1.31,,
1988-03-29,1.36,,
1988-03-30,1.47,,
1988-03-31,1.47,,
1988-04-04,1.42,,
1988-04-05,1.42,,
1988-04-06,1.39,,
