date,INFO,dcf,Deviation
2017-03-15,40.77,41.18665087636192,-0.010116163064888606
2017-03-16,40.82,40.71665087636191,0.002538252076574654
2017-03-17,40.35,40.96665087636191,-0.015052508886385985
2017-03-20,40.6,40.796650876361916,-0.004820270099079593
2017-03-21,40.43,40.52665087636191,-0.0023848720353619735
2017-03-22,40.16,40.546650876361916,-0.009535951009638888
2017-03-23,40.18,40.696650876361915,-0.01269516938707127
2017-03-24,40.33,40.486650876361914,-0.0038691981917767793
2017-03-27,40.12,41.77665087636191,-0.03965494700053329
2017-03-28,41.41,41.88665087636191,-0.011379541366743795
2017-03-29,41.52,41.99665087636191,-0.011349735429264762
2017-03-30,41.63,42.31665087636191,-0.01622649387750752
2017-03-31,41.95,42.14665087636191,-0.004665871955966017
2017-04-03,41.78,42.366650876361916,-0.013846996735095485
2017-04-04,42.0,42.28665087636191,-0.0067787557165504
2017-04-05,41.92,42.56665087636191,-0.015191490592956325
2017-04-06,42.2,42.546650876361916,-0.008147547908512465
2017-04-07,42.18,42.57665087636192,-0.009316159636739596
2017-04-10,42.21,42.806650876361914,-0.013938275107884812
2017-04-11,42.44,42.806650876361914,-0.008565278265307619
2017-04-12,42.44,42.57665087636192,-0.0032095261968523303
2017-04-13,42.21,42.99665087636191,-0.01829563141147783
2017-04-17,42.63,43.14665087636191,-0.011974298488250823
2017-04-18,42.78,43.27665087636191,-0.011476185571309694
2017-04-19,42.91,43.766650876361915,-0.01957314208898242
2017-04-20,43.4,43.616650876361916,-0.004967159834808221
2017-04-21,43.25,44.17665087636191,-0.020976032767973884
2017-04-24,43.81,44.126650876361914,-0.007175955348370566
2017-04-25,43.76,44.016650876361915,-0.005830767931045533
2017-04-26,43.65,44.07665087636192,-0.009679748072481842
2017-04-27,43.71,43.766650876361915,-0.0012943845422842548
2017-04-28,43.4,44.02665087636191,-0.01423344415003791
2017-05-01,43.66,44.07665087636192,-0.009452870580631378
2017-05-02,43.71,43.946650876361915,-0.005384958162743758
