date,SYF,dcf,Deviation
2015-09-02,31.79,44.909760479041914,-0.29213605993655944
2015-09-03,32.19,44.31976047904192,-0.2736874104899074
2015-09-04,31.6,44.99976047904192,-0.29777404004811736
2015-09-08,32.28,44.84976047904192,-0.2802637147842898
2015-09-09,32.13,44.80976047904191,-0.2829687180535677
2015-09-10,32.09,44.049760479041915,-0.27150568695446486
2015-09-11,31.33,43.88976047904192,-0.2861660747736231
2015-09-14,31.17,43.839760479041914,-0.2890015898946079
2015-09-15,31.12,43.59976047904192,-0.28623461096858194
2015-09-16,30.88,43.48976047904192,-0.28994780242854334
2015-09-17,30.77,43.27976047904192,-0.2890441245648697
2015-09-18,30.56,43.589760479041914,-0.29891791870034845
2015-09-21,30.87,43.299760479041915,-0.2870630308696097
2015-09-22,30.58,43.77976047904192,-0.30150371620605054
2015-09-23,31.06,43.549760479041915,-0.2867928627311864
2015-09-24,30.83,43.74976047904192,-0.2953104277046513
2015-09-25,31.03,43.87976047904191,-0.29284026026485
2015-09-28,31.16,43.759760479041915,-0.28793028894836803
2015-09-29,31.04,44.01976047904191,-0.2948621332281365
2015-09-30,31.3,46.075808383233536,-0.32068473460815683
2015-10-01,31.38,46.515808383233534,-0.32539063405139457
2015-10-02,31.82,48.005808383233536,-0.3371635418368786
2015-10-05,33.31,47.49580838323353,-0.2986749539827025
2015-10-06,32.8,46.825808383233536,-0.29953158028672977
2015-10-07,32.13,47.05580838323353,-0.31719375133616334
2015-10-08,32.36,47.085808383233534,-0.312744091879649
2015-10-09,32.39,47.03580838323353,-0.3113757132417905
2015-10-12,32.34,46.515808383233534,-0.3047524890128138
2015-10-13,31.82,46.225808383233534,-0.3116399450238416
2015-10-14,31.53,46.015808383233534,-0.3148006933311125
2015-10-15,31.32,44.84580838323353,-0.30160696999031944
2015-10-16,30.15,46.03580838323353,-0.3450750392170635
2015-10-19,31.34,47.03580838323353,-0.33369913099715076
2015-10-20,32.34,47.155808383233534,-0.3141884084103913
2015-10-21,32.46,46.52580838323353,-0.30232270801988714
2015-10-22,31.83,46.38580838323353,-0.3137987434211631
2015-10-23,31.69,46.09580838323353,-0.3125188360613146
2015-10-26,31.4,46.42580838323353,-0.32365205704549527
2015-10-27,31.73,46.145808383233536,-0.31239691942359227
2015-10-28,31.45,45.615808383233535,-0.31054603404639636
2015-10-29,30.92,45.45580838323353,-0.31977889955632366
2015-10-30,30.76,46.02580838323353,-0.33167931035828635
2015-11-02,31.33,47.13580838323353,-0.3353248607666979
2015-11-03,32.44,46.77580838323353,-0.3064791155671851
2015-11-04,32.08,47.30580838323353,-0.32185917339972936
2015-11-05,32.61,48.67580838323353,-0.33005735121529955
2015-11-06,33.98,47.21580838323354,-0.28032578147986575
2015-11-09,32.52,45.77580838323353,-0.2895810877277436
2015-11-10,31.08,45.62580838323353,-0.31880658992507394
2015-11-11,30.93,45.48580838323353,-0.3200076881254007
2015-11-12,30.79,45.21580838323354,-0.3190434695088359
2015-11-13,30.52,44.98580838323353,-0.32156381986068794
2015-11-16,30.29,45.27580838323353,-0.33098930573226504
2015-11-17,30.58,46.28580838323353,-0.3393223307929255
2015-11-18,31.59,46.34580838323353,-0.31838496075454636
2015-11-19,31.65,46.045808383233535,-0.3126410174715365
2015-11-20,31.35,46.24580838323353,-0.3221007244547166
2015-11-23,31.55,46.03580838323353,-0.3146639299269769
2015-11-24,31.34,46.225808383233534,-0.3220237547783531
2015-11-25,31.53,46.045808383233535,-0.3152471178792273
2015-11-27,31.35,46.52580838323353,-0.3261804342705934
2015-11-30,31.83,47.10580838323353,-0.3242871507257836
2015-12-01,32.41,46.53580838323353,-0.303547072114964
2015-12-02,31.84,45.78580838323353,-0.30458801265460234
2015-12-03,31.09,46.725808383233534,-0.33462895398175885
