CHRW,dcf,Deviation
14.25,15.186239343601418,-0.06165050625228652
14.16,15.276239343601418,-0.07307029685083877
14.25,15.256239343601418,-0.06595592274995621
14.23,15.526239343601418,-0.08348701285064342
14.5,15.896239343601419,-0.08783456976340986
14.87,15.856239343601418,-0.062198817905672166
14.83,15.756239343601418,-0.058785559383975894
14.73,15.736239343601419,-0.063944079753119
14.71,15.196239343601418,-0.03199734701507939
14.17,14.636239343601417,-0.0318551325006341
13.61,14.686239343601418,-0.07328216015152444
13.66,14.636239343601417,-0.0667001489032224
13.61,14.766239343601418,-0.07830289870673446
13.74,14.586239343601418,-0.05801627984204438
13.56,14.386239343601417,-0.05743261486671314
13.36,14.496239343601419,-0.07838166276572622
13.47,14.426239343601418,-0.06628472749036607
13.4,14.326239343601419,-0.06465334840403236
13.3,14.416239343601418,-0.07742930156725347
13.39,14.646239343601419,-0.08577214356054053
13.62,14.856239343601418,-0.08321347785325406
13.83,14.956239343601418,-0.07530230813558392
13.93,15.276239343601418,-0.08812635841328986
14.25,15.356239343601418,-0.07203842808443606
14.33,15.406239343601419,-0.06985736879703919
14.38,15.506239343601418,-0.07263136590666364
14.48,15.166239343601418,-0.045247824991693775
14.14,15.156239343601419,-0.0670508904328202
14.13,15.766239343601418,-0.10378120666203572
14.74,15.466239343601417,-0.046956427316758975
14.44,15.586239343601418,-0.07354175169085808
14.56,16.00623934360142,-0.09035472433939085
14.98,15.576239343601419,-0.038278773871457505
14.55,15.756239343601418,-0.07655629730524938
14.73,15.826239343601419,-0.06926720364839101
14.8,15.436239343601418,-0.04121725048692959
14.41,15.296239343601417,-0.057938381042144216
14.27,15.036239343601418,-0.05095950696790996
14.01,15.166239343601418,-0.07623770912525074
14.14,14.926239343601418,-0.052674978975093434
13.9,14.806239343601417,-0.061206584776238415
13.78,14.736239343601419,-0.06489032386791582
13.71,14.996239343601419,-0.0857707932055799
13.97,15.386239343601417,-0.09204584122047854
14.36,15.476239343601419,-0.07212600676552106
14.45,14.936239343601418,-0.032554335292552805
13.91,14.476239343601419,-0.039115085773412495
13.45,14.256239343601418,-0.056553437703280474
13.23,14.366239343601418,-0.07909093788747767
13.34,14.446239343601418,-0.07657628516942694
13.42,14.816239343601419,-0.09423709425998184
13.79,15.316239343601419,-0.099648439108457
14.29,15.406239343601419,-0.07245371947729873
