date,FBHS,dcf,Deviation
2018-02-06,64.16,65.47317073170731,-0.020056623454030698
2018-02-07,63.4,64.51317073170732,-0.017254937543477622
2018-02-08,62.44,63.783170731707315,-0.02105838760128642
2018-02-09,61.71,65.22317073170731,-0.05386384458613014
2018-02-12,63.15,65.15317073170732,-0.030745560180887144
2018-02-13,63.08,65.23317073170732,-0.033007298396745655
2018-02-14,63.16,64.98317073170732,-0.02805604452935284
2018-02-15,62.91,65.89317073170731,-0.0452728362982211
2018-02-16,63.82,65.90317073170732,-0.03160956762138101
2018-02-20,63.83,65.55317073170731,-0.026286611501369128
2018-02-21,63.48,65.33317073170731,-0.02836492873302321
2018-02-22,63.26,65.59317073170732,-0.03557033004625709
2018-02-23,63.52,65.58317073170731,-0.031458843918167445
2018-02-26,63.51,64.59317073170732,-0.016769121556307387
2018-02-27,62.52,62.73317073170732,-0.0033980544777337807
2018-02-28,60.66,61.97317073170732,-0.021189342359006713
2018-03-01,59.9,62.08317073170732,-0.03516525824916228
2018-03-02,60.01,63.173170731707316,-0.050071425813675186
2018-03-05,61.1,64.30317073170731,-0.04981357365831818
2018-03-06,62.23,63.863170731707314,-0.025572966593975677
2018-03-07,61.79,64.04317073170732,-0.03518206088118925
2018-03-08,61.97,65.59317073170732,-0.05523701158657213
2018-03-09,63.52,64.83317073170731,-0.02025461221295921
2018-03-12,62.76,64.64317073170731,-0.02913178160030483
2018-03-13,62.57,63.77317073170732,-0.018866409148277086
2018-03-14,61.7,63.73317073170732,-0.031901295798795304
2018-03-15,61.66,64.15317073170732,-0.03886278266952581
2018-03-16,62.08,63.04317073170732,-0.01527795509851948
2018-03-19,60.97,62.753170731707314,-0.028415627623519124
2018-03-20,60.68,62.94317073170732,-0.035955778925627846
2018-03-21,60.87,61.76317073170732,-0.01446121889672991
2018-03-22,59.69,59.963170731707315,-0.004555641877737937
2018-03-23,57.89,61.493170731707316,-0.05859464862249231
2018-03-26,59.42,60.34317073170732,-0.01529867788704442
2018-03-27,58.27,60.37317073170732,-0.034836181472952754
2018-03-28,58.3,60.963170731707315,-0.04368491172199129
2018-03-29,58.89,58.726837606837606,0.002778327589418872
2018-04-02,57.12,59.406837606837605,-0.03849451845883811
2018-04-03,57.8,60.57683760683761,-0.04583992358366651
2018-04-04,58.97,61.556837606837604,-0.0420235624084474
2018-04-05,59.95,60.32683760683761,-0.006246599718910062
2018-04-06,58.72,59.77683760683761,-0.017679717582060994
2018-04-09,58.17,60.31683760683761,-0.03559267514705111
2018-04-10,58.71,60.32683760683761,-0.02680129890737637
2018-04-11,58.72,60.45683760683761,-0.028728555372555142
2018-04-12,58.85,59.95683760683761,-0.01846057348947605
2018-04-13,58.35,60.52683760683761,-0.03596483300478426
2018-04-16,58.92,60.766837606837605,-0.030392195473239347
2018-04-17,59.16,60.53683760683761,-0.02274379801237092
2018-04-18,58.93,59.116837606837606,-0.0031604804045877177
2018-04-19,57.51,58.70683760683761,-0.020386681613696944
2018-04-20,57.1,58.866837606837606,-0.03001414172505812
2018-04-23,57.26,56.736837606837604,0.00922085923765592
2018-04-24,55.13,57.63683760683761,-0.04349367021032069
2018-04-25,56.03,58.24683760683761,-0.03805936421477707
2018-04-26,56.64,58.486837606837604,-0.03157697838362339
2018-04-27,56.88,56.296837606837606,0.010358706065073386
2018-04-30,54.69,57.34683760683761,-0.04632927843471579
2018-05-01,55.74,56.17683760683761,-0.007776116019468482
2018-05-02,54.57,55.906837606837605,-0.02391188026478719
2018-05-03,54.3,56.96683760683761,-0.04681386081570926
2018-05-04,55.36,56.626837606837604,-0.02237168205707174
2018-05-07,55.02,57.02683760683761,-0.035191108100249724
2018-05-08,55.42,56.85683760683761,-0.02527114885940851
