date,COO,dcf,Deviation
1993-09-09,0.61,,
1993-09-10,0.66,,
1993-09-13,0.66,,
1993-09-14,0.66,,
1993-09-15,0.66,,
1993-09-16,0.61,,
1993-09-17,0.56,,
1993-09-20,0.56,,
1993-09-21,0.56,,
1993-09-22,0.61,,
1993-09-23,0.56,,
1993-09-24,0.56,,
1993-09-27,0.56,,
1993-09-28,0.66,,
1993-09-29,0.56,,
1993-09-30,0.94,,
1993-10-01,0.84,,
1993-10-04,1.22,,
1993-10-05,1.13,,
1993-10-06,1.13,,
1993-10-07,1.22,,
1993-10-08,1.22,,
1993-10-11,1.31,,
1993-10-12,1.41,,
1993-10-13,1.31,,
1993-10-14,1.03,,
1993-10-15,1.03,,
1993-10-18,1.22,,
1993-10-19,1.22,,
1993-10-20,1.22,,
1993-10-21,1.22,,
1993-10-22,1.13,,
1993-10-25,1.13,,
1993-10-26,1.13,,
1993-10-27,1.13,,
1993-10-28,1.13,,
1993-10-29,1.03,,
1993-11-01,0.94,,
1993-11-02,0.94,,
1993-11-03,1.13,,
1993-11-04,1.13,,
1993-11-05,1.13,,
1993-11-08,1.13,,
1993-11-09,1.03,,
1993-11-10,1.13,,
1993-11-11,1.13,,
1993-11-12,1.13,,
1993-11-15,1.13,,
1993-11-16,1.03,,
1993-11-17,0.94,,
1993-11-18,0.94,,
1993-11-19,0.94,,
1993-11-22,0.94,,
1993-11-23,0.94,,
1993-11-24,0.84,,
1993-11-26,0.94,,
1993-11-29,0.94,,
1993-11-30,0.94,,
1993-12-01,0.94,,
1993-12-02,0.94,,
1993-12-03,0.84,,
1993-12-06,0.94,,
1993-12-07,0.84,,
1993-12-08,0.84,,
1993-12-09,0.84,,
1993-12-10,0.94,,
1993-12-13,0.84,,
