DVA,dcf,Deviation
7.01,,
7.32,,
7.3,,
7.33,,
7.4,,
7.4,,
7.33,,
7.3,,
7.4,,
7.55,,
7.7,,
7.75,,
7.78,,
7.71,,
7.55,,
7.38,,
7.53,,
7.42,,
7.41,,
7.65,,
7.67,,
7.92,,
7.9,,
7.98,,
8.0,,
8.02,,
8.0,,
8.02,,
8.07,,
8.15,8.248120523350206,-0.011896106885493363
7.92,7.908120523350205,0.001502187101817487
7.58,7.698120523350205,-0.015344073010018167
7.37,7.7281205233502055,-0.046339924729196236
7.4,7.648120523350205,-0.03244202580132949
7.32,7.858120523350205,-0.06847954568159065
7.53,7.9781205233502055,-0.0561686830925473
7.65,8.038120523350205,-0.04828498430979489
7.71,7.958120523350205,-0.031178281683745035
7.63,8.108120523350205,-0.05896810758711446
7.78,8.248120523350206,-0.0567548112354771
7.92,8.188120523350205,-0.03274506311742742
7.86,8.168120523350206,-0.03772232822341215
7.84,8.238120523350206,-0.04832662040106961
7.91,8.178120523350206,-0.0327851029566838
7.85,8.298120523350205,-0.05400265302115492
7.97,8.258120523350206,-0.03488935800047144
7.93,8.168120523350206,-0.029152425294104223
7.84,8.198120523350205,-0.043683246950345866
7.87,8.208120523350205,-0.04119341600654258
7.88,8.458120523350205,-0.06835094413164211
8.13,8.358120523350205,-0.02729327995605002
8.03,8.328120523350206,-0.03579685506643937
8.0,8.328120523350206,-0.03939910840990213
8.0,8.298120523350205,-0.03592627059480746
7.97,8.168120523350206,-0.024255337905928154
7.84,8.078120523350206,-0.029477218452226284
7.75,8.128120523350205,-0.046520043872867345
7.8,8.398120523350205,-0.07122075965535213
8.07,8.398120523350205,-0.03907070902803733
8.07,8.458120523350205,-0.04588732476425772
8.13,8.368120523350205,-0.02845567564254825
8.04,8.328120523350206,-0.034596103951951784
8.0,8.308120523350205,-0.037086669901360114
7.98,8.108120523350205,-0.015801507017715988
7.78,8.068120523350204,-0.035710984053392014
7.74,8.078120523350206,-0.04185633556380497
7.75,8.168120523350206,-0.051189318540896256
7.84,7.9781205233502055,-0.017312413737791688
7.65,7.778120523350205,-0.01647191284392968
7.45,8.018120523350206,-0.0708545751707943
7.69,7.858120523350205,-0.021394495395004376
7.53,7.498120523350205,0.004251662339984863
7.17,7.808120523350206,-0.08172523995267544
7.48,7.698120523350205,-0.028334256743395292
7.37,7.638120523350206,-0.035102944831852834
7.31,7.658120523350205,-0.04545769713192149
7.33,7.668120523350205,-0.04409431520026241
7.34,7.798120523350205,-0.05874755615515781
7.47,7.968120523350206,-0.06251418033782086
7.64,8.818120523350204,-0.13360222512615538
8.49,8.998120523350206,-0.0564696285220484
8.67,8.788120523350205,-0.013440931202110429
8.46,8.958120523350205,-0.05560547238137792
8.63,8.738120523350206,-0.01237343008273728
8.41,8.758120523350206,-0.03974831385593225
8.43,8.678120523350206,-0.028591504656173883
8.35,8.708120523350205,-0.04112489283880838
8.38,8.748120523350206,-0.04207995561648126
8.42,8.758120523350206,-0.03860651636943513
8.43,8.848774808826706,-0.04732573919826455
8.47,8.678774808826704,-0.024055792830846356
8.3,8.738774808826705,-0.0502101059273794
8.36,8.818774808826706,-0.052022510923798615
8.44,8.788774808826705,-0.03968412166806523
8.41,8.808774808826705,-0.045270178598176725
8.43,8.808774808826705,-0.0429997152892545
8.43,8.808774808826705,-0.0429997152892545
8.43,8.788774808826705,-0.04082193668978551
8.41,8.788774808826705,-0.04309756673322607
8.41,8.768774808826707,-0.040915044193581274
8.39,8.748774808826704,-0.04100857739128605
8.37,8.708774808826707,-0.038900398306699224
8.33,8.768774808826707,-0.05003832558056276
8.39,9.038774808826705,-0.07177685278685686
8.66,9.008774808826706,-0.0387150102236965
8.63,9.008774808826706,-0.042045096793360326
8.63,8.978774808826703,-0.03884436532296531
8.6,9.018774808826707,-0.04643366950651118
8.64,8.968774808826705,-0.036657717005352586
8.59,8.978774808826703,-0.043299316121004905
8.6,9.018774808826707,-0.04643366950651118
8.64,9.088774808826708,-0.04937682121806697
8.71,9.018774808826707,-0.03423689086066406
8.64,8.928774808826704,-0.03234204188252454
8.55,8.938774808826706,-0.04349307563300553
8.56,8.948774808826705,-0.043444473364469216
8.57,8.058774808826705,0.06343708607086951
7.68,7.828774808826707,-0.019003587720899606
7.45,7.178774808826704,0.03778154328504768
6.8,7.418774808826703,-0.08340660348532192
7.04,7.588774808826708,-0.07231401941040771
7.21,7.838774808826708,-0.0802134037730855
7.46,7.698774808826706,-0.03101465035098172
7.32,7.728774808826703,-0.052889988250124476
7.35,7.638774808826707,-0.03780381226751495
7.26,7.608774808826706,-0.0458384979960379
7.23,7.668774808826703,-0.05721576389512395
7.29,7.668774808826703,-0.04939182832578892
7.29,7.798774808826704,-0.06523778687017212
7.42,7.928774808826704,-0.06416814969449136
7.55,7.888774808826707,-0.04294390663143954
7.51,8.148774808826705,-0.0783890614003454
7.77,8.178774808826704,-0.04997995645821496
7.8,8.098774808826706,-0.03689135898692686
7.72,7.938774808826706,-0.027557754703340542
7.56,8.088774808826708,-0.06537143403345758
7.71,8.208774808826707,-0.060761175747005014
7.83,8.328774808826706,-0.059885735930585215
7.95,8.258774808826706,-0.03738748373387024
7.88,8.308774808826705,-0.05160505835002316
7.93,8.298774808826703,-0.04443725939333465
7.92,8.248774808826704,-0.0398574111242429
7.87,8.248774808826704,-0.04591891736714537
7.87,8.348774808826706,-0.0573467149120519
7.97,8.408774808826706,-0.052180587398549916
8.03,8.708774808826707,-0.07794148129065648
8.33,8.528774808826707,-0.023306373222680032
8.15,8.408774808826706,-0.030774377327249858
8.03,8.398774808826705,-0.043908167229241735
8.02,8.118774808826705,-0.012166221031197688
7.74,8.258774808826706,-0.06281498416354159
7.88,8.278774808826707,-0.04816833626173034
7.9,8.308774808826705,-0.04919796458949022
7.93,10.731359979923694,-0.261044265141091
7.92,10.601359979923693,-0.25292603826315807
7.79,10.461359979923694,-0.2553549428611842
7.65,10.561359979923694,-0.27566146646435286
7.75,10.481359979923694,-0.26059213548198146
7.67,10.311359979923694,-0.25616019468493434
7.5,10.051359979923692,-0.2538323157283898
7.24,9.941359979923694,-0.2717294198559369
7.13,9.831359979923693,-0.2747697150180701
7.02,9.711359979923694,-0.27713522982234684
6.9,9.701359979923692,-0.2887595126581136
6.89,9.741359979923695,-0.2927065610756775
6.93,9.671359979923697,-0.28345134351470236
6.86,9.561359979923694,-0.28252884376237575
6.75,9.301359979923692,-0.27429967073961403
6.49,9.441359979923694,-0.3125990308810942
6.63,9.811359979923694,-0.32425270160645314
7.0,9.831359979923693,-0.2879927075913732
7.02,9.971359979923696,-0.2959836958916291
7.16,10.251359979923691,-0.3015560848490175
7.44,10.131359979923692,-0.26564646654120394
7.32,10.681359979923693,-0.31469400771452194
7.87,10.461359979923694,-0.24770775357092678
7.65,10.341359979923695,-0.2602520350465116
7.53,10.121359979923696,-0.25602883259401976
7.31,10.221359979923696,-0.2848309799911215
7.41,9.811359979923694,-0.2447530194425065
7.0,10.211359979923694,-0.31448895996590764
7.4,10.201359979923692,-0.2746065216242518
7.39,10.231359979923694,-0.27771087963859176
7.42,10.251359979923691,-0.2761935963100154
7.44,10.361359979923694,-0.28194754217440177
7.55,10.431359979923693,-0.2762209324066267
7.62,10.371359979923696,-0.2652843971523142
7.56,10.501359979923691,-0.2800932436890965
7.69,10.471359979923696,-0.2656159262269926
7.66,10.431359979923693,-0.26567580691851134
7.62,10.411359979923693,-0.26810714309238126
7.6,10.371359979923696,-0.2672127845613633
7.56,10.371359979923696,-0.2710695593794614
7.56,10.131359979923692,-0.2538020547112234
7.32,10.151359979923692,-0.2789143509365506
7.34,10.231359979923694,-0.28259781550030627
7.42,10.191359979923694,-0.27193230200710117
7.38,10.041359979923696,-0.26503979393674915
7.23,10.201359979923692,-0.29127096639774863
7.39,10.201359979923692,-0.2755867830815164
7.39,10.271359979923696,-0.2805237072360014
7.46,10.371359979923696,-0.2807114964247066
7.56,10.381359979923692,-0.271771712509716
7.57,10.441359979923694,-0.27499865778448895
7.63,10.331359979923693,-0.2614718667409792
7.52,10.401359979923692,-0.27701761937719527
7.59,10.441359979923694,-0.2730831984919777
7.63,10.391359979923696,-0.26573614861372286
7.58,10.431359979923693,-0.27334498909168614
7.62,10.471359979923696,-0.27230082676848943
7.66,10.601359979923693,-0.27745119357270087
7.79,10.561359979923694,-0.2624055978767724
7.75,10.501359979923691,-0.2620003490199071
7.69,10.611359979923694,-0.2753049548267894
7.8,10.781359979923693,-0.27652911928322366
7.97,10.751359979923691,-0.2586984330463682
7.94,10.681359979923693,-0.25664896465209075
7.87,9.898860024159324,-0.20495895680994114
7.92,9.878860024159323,-0.1982880635385882
7.9,9.798860024159326,-0.1937837686708087
7.82,9.848860024159327,-0.20599947802918495
7.87,9.788860024159327,-0.19602487107012434
7.81,9.628860024159323,-0.18889671462620772
7.65,9.628860024159323,-0.20551342725870536
7.65,9.578860024159328,-0.2013663441468454
7.6,9.678860024159325,-0.2147835611807899
7.7,9.658860024159324,-0.20280447374324762
7.68,9.758860024159326,-0.2130228345332178
7.78,9.698860024159325,-0.19784387230865796
7.72,9.798860024159326,-0.21215325242261318
7.82,10.088860024159324,-0.22488765021282786
8.11,10.088860024159324,-0.1961430745813343
8.11,10.178860024159325,-0.2032506606092359
8.2,10.178860024159325,-0.19440880604139765
8.2,10.208860024159325,-0.19677613557295792
8.23,10.278860024159327,-0.19932755376994205
8.3,10.038860024159327,-0.17321289668095974
8.06,10.098860024159324,-0.2018901162390403
8.12,10.048860024159326,-0.1919481433239183
