date,REG,dcf,Deviation
2012-03-26,44.54,44.55920259719657,-0.0004309457099166414
2012-03-27,44.43,44.529202597196566,-0.002227809873307951
2012-03-28,44.4,44.50920259719657,-0.0024534835679902445
2012-03-29,44.38,44.60920259719657,-0.005138011527939135
2012-03-30,44.48,44.81297104930891,-0.007430238199170991
2012-04-02,44.51,44.65297104930892,-0.003201826125993734
2012-04-03,44.35,44.442971049308916,-0.0020919179594398596
2012-04-04,44.14,43.982971049308915,0.003570221541310703
2012-04-05,43.68,43.68297104930892,-6.801390192912038e-05
2012-04-09,43.38,42.43297104930892,0.022318233375423935
2012-04-10,42.13,42.99297104930891,-0.020072375280116406
2012-04-11,42.69,43.43297104930892,-0.01710615302981311
2012-04-12,43.13,43.00297104930892,0.002953957542734198
2012-04-13,42.7,43.802971049308915,-0.02518027939400047
2012-04-16,43.5,44.53297104930891,-0.02319564639343641
2012-04-17,44.23,43.75297104930892,0.010902778468540486
2012-04-18,43.45,43.452971049308914,-6.837390487157702e-05
2012-04-19,43.15,44.06297104930891,-0.02071968883549069
2012-04-20,43.76,43.67297104930891,0.001992741702707246
2012-04-23,43.37,44.232971049308915,-0.019509678613876424
2012-04-24,43.93,44.96297104930891,-0.02297381656955233
2012-04-25,44.66,44.872971049308916,-0.00474608755178918
2012-04-26,44.57,45.232971049308915,-0.014656809710469898
2012-04-27,44.93,45.262971049308916,-0.007356367502835415
2012-04-30,44.96,45.92297104930891,-0.020969267172956663
2012-05-01,45.62,45.81297104930891,-0.00421214876243714
2012-05-02,45.51,47.122971049308916,-0.03422897608941344
2012-05-03,46.82,47.33297104930892,-0.01083749948370094
2012-05-04,47.03,47.412971049308915,-0.008077347629420362
2012-05-07,47.11,47.762971049308916,-0.0136710726942596
2012-05-08,47.46,47.692971049308916,-0.004884808897060555
2012-05-09,47.39,47.61297104930892,-0.004682989622260769
2012-05-10,47.31,48.132971049308914,-0.017097865171585513
2012-05-11,47.83,47.052971049308915,0.01651391895905574
2012-05-14,46.75,46.452971049308914,0.00639418629167543
