date,CCL,dcf,Deviation
1992-01-22,6.69,,
1992-01-23,6.75,,
1992-01-24,6.94,,
1992-01-27,7.0,,
1992-01-28,6.91,,
1992-01-29,6.78,,
1992-01-30,6.75,,
1992-01-31,6.69,,
1992-02-03,6.53,,
1992-02-04,6.78,,
1992-02-05,7.13,,
1992-02-06,7.19,,
1992-02-07,7.63,,
1992-02-10,7.81,,
1992-02-11,7.81,,
1992-02-12,8.0,,
1992-02-13,7.84,,
1992-02-14,7.91,,
1992-02-18,7.94,,
1992-02-19,7.94,,
1992-02-20,8.09,,
1992-02-21,8.09,,
1992-02-24,8.0,,
1992-02-25,8.0,,
1992-02-26,8.16,,
1992-02-27,8.0,,
1992-02-28,8.19,,
1992-03-02,8.28,,
1992-03-03,8.25,,
1992-03-04,8.34,,
1992-03-05,8.28,,
1992-03-06,8.19,,
1992-03-09,8.25,,
1992-03-10,8.44,,
1992-03-11,8.03,,
1992-03-12,8.03,,
1992-03-13,7.97,,
1992-03-16,7.97,,
1992-03-17,8.03,,
1992-03-18,8.16,,
1992-03-19,8.22,,
1992-03-20,8.13,,
1992-03-23,8.09,,
1992-03-24,8.0,,
1992-03-25,8.16,,
1992-03-26,7.97,,
1992-03-27,7.75,,
1992-03-30,7.56,,
1992-03-31,7.75,,
1992-04-01,7.66,,
1992-04-02,7.63,,
1992-04-03,7.5,,
1992-04-06,7.5,,
1992-04-07,7.5,,
1992-04-08,7.31,,
1992-04-09,7.41,,
1992-04-10,7.5,,
1992-04-13,7.5,,
1992-04-14,7.59,,
1992-04-15,7.5,,
1992-04-16,7.44,,
1992-04-20,7.44,,
1992-04-21,7.06,,
1992-04-22,7.19,,
1992-04-23,7.09,,
1992-04-24,7.06,,
1992-04-27,7.22,,
1992-04-28,7.13,,
1992-04-29,7.13,,
1992-04-30,7.34,,
1992-05-01,7.38,,
1992-05-04,7.44,,
1992-05-05,7.44,,
1992-05-06,7.41,,
1992-05-07,7.47,,
1992-05-08,7.47,,
1992-05-11,7.47,,
1992-05-12,7.47,,
1992-05-13,7.44,,
1992-05-14,7.31,,
1992-05-15,7.25,,
1992-05-18,7.31,,
1992-05-19,7.38,,
1992-05-20,7.38,,
1992-05-21,7.47,,
1992-05-22,7.41,,
1992-05-26,7.28,,
1992-05-27,7.16,,
1992-05-28,7.13,,
1992-05-29,7.16,,
1992-06-01,7.16,,
1992-06-02,7.16,,
1992-06-03,7.19,,
1992-06-04,7.31,,
1992-06-05,7.5,,
1992-06-08,7.5,,
1992-06-09,7.59,,
1992-06-10,7.66,,
1992-06-11,7.56,,
1992-06-12,7.56,,
1992-06-15,7.59,,
1992-06-16,7.59,,
1992-06-17,7.44,,
1992-06-18,7.5,,
1992-06-19,7.41,,
1992-06-22,7.25,,
1992-06-23,6.97,,
1992-06-24,7.25,,
1992-06-25,7.38,,
1992-06-26,7.13,,
1992-06-29,7.09,,
1992-06-30,7.06,,
1992-07-01,7.03,,
1992-07-02,6.97,,
1992-07-06,7.06,,
1992-07-07,7.06,,
1992-07-08,6.91,,
1992-07-09,7.03,,
1992-07-10,7.0,,
1992-07-13,7.16,,
1992-07-14,6.81,,
1992-07-15,6.81,,
1992-07-16,6.91,,
1992-07-17,7.0,,
1992-07-20,7.0,,
1992-07-21,6.94,,
1992-07-22,6.97,,
1992-07-23,7.0,,
1992-07-24,7.0,,
1992-07-27,7.0,,
1992-07-28,7.03,,
1992-07-29,6.97,,
1992-07-30,6.97,,
1992-07-31,6.97,,
1992-08-03,6.91,,
1992-08-04,6.88,,
1992-08-05,6.78,,
1992-08-06,6.88,,
1992-08-07,6.81,,
1992-08-10,6.78,,
1992-08-11,6.69,,
1992-08-12,6.69,,
1992-08-13,6.66,,
1992-08-14,6.72,,
1992-08-17,6.69,,
1992-08-18,6.72,,
1992-08-19,6.63,,
1992-08-20,6.59,,
1992-08-21,6.66,,
1992-08-24,6.41,,
1992-08-25,6.56,,
1992-08-26,6.5,,
1992-08-27,6.56,,
1992-08-28,6.56,,
1992-08-31,6.56,,
1992-09-01,6.5,,
1992-09-02,6.63,,
1992-09-03,6.63,,
1992-09-04,6.66,,
1992-09-08,6.56,,
1992-09-09,6.5,,
1992-09-10,6.53,,
1992-09-11,6.66,,
1992-09-14,6.75,,
1992-09-15,6.69,,
1992-09-16,6.59,,
1992-09-17,6.56,,
1992-09-18,6.72,,
1992-09-21,6.66,,
1992-09-22,6.66,,
1992-09-23,6.63,,
1992-09-24,6.53,,
1992-09-25,6.47,,
1992-09-28,6.53,,
1992-09-29,6.47,,
1992-09-30,6.47,,
1992-10-01,6.34,,
1992-10-02,6.31,,
1992-10-05,6.28,,
1992-10-06,6.38,,
1992-10-07,6.53,,
1992-10-08,6.53,,
1992-10-09,6.59,,
1992-10-12,6.63,,
1992-10-13,6.63,,
1992-10-14,6.69,,
1992-10-15,6.69,,
1992-10-16,7.0,,
1992-10-19,7.38,,
1992-10-20,7.28,,
1992-10-21,7.31,,
1992-10-22,7.31,,
1992-10-23,7.38,,
1992-10-26,7.34,,
1992-10-27,7.34,,
1992-10-28,7.5,,
1992-10-29,7.53,,
1992-10-30,7.44,,
1992-11-02,7.5,,
1992-11-03,7.47,,
1992-11-04,7.5,,
1992-11-05,7.56,,
1992-11-06,7.59,,
1992-11-09,7.63,,
1992-11-10,7.66,,
1992-11-11,7.94,,
