CMI,dcf,Deviation
4.56,,
4.39,,
4.27,,
4.25,,
4.22,,
4.25,,
4.23,,
4.16,,
4.19,,
4.22,,
4.22,,
4.22,,
4.19,,
4.23,,
4.3,,
4.41,,
4.47,,
4.47,,
4.5,,
4.48,,
4.45,,
4.44,,
4.28,,
4.3,,
4.31,,
4.31,,
4.2,,
4.17,,
4.16,,
4.14,,
4.09,,
4.2,,
4.22,,
4.2,,
4.28,,
4.23,,
4.31,,
4.42,,
4.44,,
4.42,,
4.38,,
4.41,,
4.38,,
4.47,,
4.5,,
4.5,,
4.55,,
4.66,,
4.67,,
4.61,,
4.52,,
4.56,,
4.5,,
4.45,,
4.42,,
4.27,,
4.22,,
4.25,,
4.25,,
4.22,,
4.08,,
4.09,,
4.16,,
4.14,,
4.14,,
4.17,,
4.22,,
4.25,,
4.25,,
4.3,,
4.27,,
4.25,,
4.27,,
4.3,,
4.22,,
4.19,,
4.27,,
4.31,,
4.41,,
4.36,,
4.3,,
4.0,,
3.92,,
3.94,,
3.91,,
3.92,,
3.92,,
3.84,,
3.77,,
3.75,,
3.75,,
3.75,,
3.63,,
3.61,,
3.59,,
3.63,,
3.66,,
3.64,,
3.63,,
3.63,,
3.63,,
3.52,,
3.58,,
3.56,,
3.59,,
3.63,,
3.63,,
3.63,,
3.63,,
3.7,,
3.61,,
3.64,,
3.59,,
3.64,,
3.67,,
3.63,,
3.67,,
3.66,,
3.67,,
3.7,,
3.84,,
3.91,,
3.98,,
4.06,,
4.03,,
3.97,,
3.92,,
3.78,,
3.83,,
3.89,,
3.94,,
3.92,,
3.89,,
3.88,,
3.91,,
3.88,,
3.86,,
3.88,,
3.89,,
3.88,,
3.95,,
3.98,,
3.94,,
3.97,,
3.98,,
3.98,,
4.0,,
4.0,,
4.03,,
4.05,,
4.03,,
4.0,,
3.98,,
4.0,,
4.06,,
4.02,,
4.05,,
4.0,,
4.05,,
4.05,,
4.13,,
4.09,,
4.09,,
4.06,,
4.0,,
4.02,,
3.94,,
3.88,,
4.03,,
4.02,,
4.13,,
4.02,,
3.98,,
4.0,,
4.0,,
3.91,,
4.03,,
3.97,,
4.02,,
3.97,,
3.95,,
3.88,,
3.78,,
3.8,,
3.8,,
3.77,,
3.72,,
3.73,,
3.75,,
3.77,,
3.72,,
3.77,,
3.77,,
3.81,,
3.77,,
3.77,,
3.8,,
3.84,,
3.72,,
3.77,,
3.75,,
3.69,,
3.69,,
3.63,,
3.53,,
3.53,,
3.56,,
3.53,,
3.5,,
3.48,,
3.41,,
3.47,,
3.47,,
3.56,,
3.56,,
3.44,,
3.5,,
3.59,,
3.59,,
3.69,,
3.64,,
3.7,,
3.69,,
3.66,,
3.66,,
3.63,,
3.64,,
3.63,,
3.59,,
3.53,,
3.56,,
3.56,,
3.63,,
3.69,,
3.69,,
3.66,,
3.64,,
3.66,,
3.75,,
3.78,,
3.72,,
3.77,,
3.78,,
3.73,,
3.75,,
3.72,,
3.75,,
3.8,,
3.88,,
3.92,,
4.03,,
3.98,,
4.0,,
4.05,,
4.03,,
4.0,,
3.98,,
3.88,,
3.89,,
3.89,,
3.86,,
3.86,,
3.84,,
3.81,,
3.78,,
3.78,,
3.8,,
3.92,,
3.95,,
4.0,,
3.97,,
4.0,,
4.0,,
4.0,,
3.94,,
4.06,,
4.19,,
4.22,,
4.28,,
4.09,,
4.13,,
4.08,,
4.06,,
4.16,,
4.36,,
4.44,,
4.58,,
4.42,,
4.42,,
4.41,,
4.36,,
4.31,,
4.25,,
4.28,,
4.28,,
4.31,,
4.31,,
4.25,,
4.19,,
4.23,,
4.33,,
4.33,,
4.22,,
4.25,,
4.2,,
4.22,,
4.08,,
4.13,,
4.19,,
4.2,,
4.19,,
4.14,,
4.16,,
4.13,,
4.17,,
4.19,,
4.16,,
4.17,,
4.19,,
4.16,,
4.2,,
4.19,,
4.17,,
4.2,,
4.13,,
4.11,,
3.98,,
3.84,,
3.81,,
3.84,,
3.89,,
3.92,,
3.89,,
3.97,,
3.91,,
3.88,,
3.88,,
3.92,,
4.05,,
3.94,,
3.91,,
3.89,,
3.75,,
3.75,,
3.75,,
3.75,,
3.67,,
3.69,,
3.64,,
3.56,,
3.66,,
3.64,,
3.78,,
3.75,,
3.7,,
3.64,,
3.66,,
3.78,,
3.77,,
3.72,,
3.72,,
3.63,,
3.63,,
3.56,,
3.61,,
3.56,,
3.69,,
3.72,,
3.72,,
3.69,,
3.61,,
3.55,,
3.44,,
3.38,,
3.39,,
3.28,,
3.28,,
3.28,,
3.25,,
3.31,,
3.27,,
3.28,,
3.28,,
3.34,,
3.44,,
3.44,,
3.41,,
3.53,,
3.81,,
3.78,,
3.78,,
3.94,,
4.08,,
4.06,,
3.94,,
3.95,,
3.94,,
4.03,,
4.0,,
3.94,,
3.88,,
3.88,,
3.89,,
3.94,,
3.88,,
3.91,,
3.91,,
3.84,,
3.81,,
3.91,,
3.91,,
4.25,,
4.06,,
4.14,,
4.17,,
4.16,,
4.13,,
4.08,,
4.06,,
4.13,,
4.16,,
4.25,,
4.33,,
4.36,,
4.39,,
4.36,,
4.38,,
4.36,,
4.38,,
4.41,,
4.39,,
4.42,,
4.39,,
4.36,,
4.38,,
4.3,,
4.33,,
4.3,,
4.28,,
4.39,,
4.36,,
4.63,,
4.63,,
4.7,,
4.98,,
5.0,,
4.97,,
4.95,,
5.02,,
5.08,,
5.44,,
5.58,,
6.03,,
5.89,,
5.72,,
5.78,,
5.67,,
5.8,,
5.97,,
6.05,,
5.89,,
5.86,,
5.78,,
5.89,,
6.03,,
6.03,,
5.98,,
5.95,,
5.95,,
5.89,,
5.86,,
5.78,,
5.95,,
5.89,,
5.92,,
5.89,,
5.8,,
5.75,,
5.81,,
5.83,,
5.84,,
5.89,,
5.94,,
6.34,,
6.36,,
6.42,,
6.28,,
6.22,,
6.17,,
6.28,,
6.34,,
6.52,,
6.5,,
6.7,,
6.86,,
6.7,,
6.78,,
6.91,,
6.94,,
6.91,,
6.88,,
7.0,,
7.17,,
7.16,,
7.17,,
7.13,,
7.2,,
7.2,,
7.14,,
6.97,,
6.72,,
6.67,,
6.69,,
6.69,,
6.69,,
6.53,,
6.33,,
6.44,,
6.34,,
6.17,,
6.06,,
6.08,,
6.06,,
5.98,,
5.98,,
6.02,,
6.05,,
5.97,,
5.81,,
5.84,,
5.75,,
5.75,,
5.95,,
5.97,,
5.98,,
5.95,,
5.83,,
5.89,,
5.78,,
5.58,,
5.72,,
5.77,,
5.7,,
5.72,,
5.66,,
5.73,,
5.73,,
5.69,,
5.64,,
5.64,,
5.52,,
5.27,,
5.19,,
5.09,,
5.06,,
5.02,,
4.8,,
5.0,,
4.98,,
5.03,,
5.0,,
4.91,,
4.88,,
4.94,,
4.95,,
5.03,,
4.95,,
4.97,,
4.97,,
4.97,,
4.95,,
4.92,,
4.84,,
4.78,,
4.78,,
4.75,,
4.73,,
4.75,,
4.86,,
4.78,,
4.78,,
4.88,,
4.94,,
4.84,,
4.72,,
4.72,,
4.61,,
4.69,,
4.75,,
4.66,,
4.69,,
4.63,,
4.7,,
4.67,,
4.66,,
4.66,,
4.56,,
4.47,,
4.33,,
4.45,,
4.44,,
4.47,,
4.55,,
4.58,,
4.66,,
4.67,,
4.67,,
4.66,,
4.64,,
4.59,,
4.56,,
4.14,,
4.11,,
4.23,,
4.27,,
4.25,,
4.27,,
4.25,,
4.25,,
4.22,,
4.13,,
4.22,,
4.19,,
4.19,,
4.41,,
4.5,,
4.67,,
4.75,,
4.89,,
4.91,,
4.84,,
4.67,,
4.75,,
4.69,,
4.67,,
4.75,,
4.7,,
4.75,,
4.67,,
4.69,,
4.64,,
4.5,,
4.38,,
4.44,,
4.47,,
4.44,,
4.48,,
4.47,,
4.56,,
4.5,,
4.48,,
4.41,,
4.36,,
4.28,,
4.22,,
4.25,,
4.28,,
4.22,,
4.17,,
4.14,,
4.14,,
4.11,,
4.09,,
4.23,,
4.2,,
4.22,,
4.19,,
4.13,,
4.25,,
4.19,,
4.22,,
4.31,,
4.44,,
4.44,,
4.38,,
4.42,,
4.47,,
4.41,,
4.38,,
4.34,,
4.39,,
4.31,,
4.16,,
4.16,,
4.17,,
4.16,,
4.06,,
4.09,,
4.2,,
4.11,,
4.14,,
4.2,,
4.22,,
4.3,,
4.28,,
4.25,,
4.13,,
4.25,,
4.41,,
4.55,,
4.5,,
4.44,,
4.34,,
4.34,,
4.39,,
4.34,,
4.36,,
4.47,,
4.58,,
4.56,,
4.55,,
4.48,,
4.5,,
4.58,,
4.58,,
4.78,,
4.8,,
4.95,,
4.86,,
4.84,,
4.88,,
4.88,,
4.83,,
4.8,,
4.73,,
4.72,,
4.72,,
4.72,,
