date,V,dcf,Deviation
2015-03-19,66.81,70.77833602584815,-0.0560670997464382
2015-03-20,67.41,70.44833602584814,-0.043128570485090556
2015-03-23,67.08,70.46833602584815,-0.04808309968615254
2015-03-24,67.1,69.09833602584814,-0.028920175807136905
2015-03-25,65.73,68.95833602584814,-0.04681574718737469
2015-03-26,65.59,68.90833602584816,-0.04815579967862549
2015-03-27,65.54,69.02833602584815,-0.05053484158363475
2015-03-30,65.66,68.77833602584815,-0.04533892801181205
2015-03-31,65.41,66.00584042122318,-0.009027086352067726
2015-04-01,65.18,66.11584042122318,-0.014154556839343635
2015-04-02,65.29,66.02584042122317,-0.011144733887955671
2015-04-06,65.2,66.62584042122317,-0.021400711979146503
2015-04-07,65.8,67.32584042122316,-0.0226635183709073
2015-04-08,66.5,67.26584042122316,-0.011385279904739365
2015-04-09,66.44,67.16584042122317,-0.010806690077443282
2015-04-10,66.34,66.43584042122316,-0.0014426011715288345
2015-04-13,65.61,66.35584042122316,-0.011240011677775663
2015-04-14,65.53,66.50584042122318,-0.014673003378990024
2015-04-15,65.68,66.47584042122317,-0.011971874536377936
2015-04-16,65.65,65.34584042122317,0.004654612700918825
2015-04-17,64.52,65.54584042122316,-0.015650732596160455
2015-04-20,64.72,66.17584042122317,-0.02199957585663348
2015-04-21,65.35,68.83584042122317,-0.05063990502465676
2015-04-22,68.01,68.54584042122316,-0.007817256567726694
2015-04-23,67.72,68.30584042122317,-0.008576725176214106
2015-04-24,67.48,67.92584042122317,-0.006563634965109144
2015-04-27,67.1,67.59584042122317,-0.007335368835321043
2015-04-28,66.77,68.16584042122317,-0.020477124797372515
2015-04-29,67.34,66.87584042122317,0.006940616758657203
2015-04-30,66.05,66.59584042122317,-0.008196314030586516
2015-05-01,65.77,66.40584042122316,-0.009575067752925381
2015-05-04,65.58,66.78584042122316,-0.01805533049547381
2015-05-05,65.96,66.49584042122316,-0.008058254739376935
2015-05-06,65.67,67.40584042122316,-0.025752077422012465
2015-05-07,66.58,70.29584042122316,-0.052860032669889034
2015-05-08,69.47,69.84584042122317,-0.0053809993402123
2015-05-11,69.02,69.51584042122316,-0.007132768851224047
2015-05-12,68.69,69.47584042122317,-0.011310988344419015
2015-05-13,68.65,70.82584042122316,-0.03072099686050689
2015-05-14,70.0,70.39584042122316,-0.005623065494418267
2015-05-15,69.57,70.82584042122316,-0.017731387495782625
2015-05-18,70.0,70.98584042122317,-0.013887846017928251
2015-05-19,70.16,70.60584042122316,-0.00631449776057269
2015-05-20,69.78,70.19584042122317,-0.00592400374050428
2015-05-21,69.37,70.44584042122317,-0.015271879997318383
2015-05-22,69.62,69.36584042122318,0.0036640452596470308
2015-05-26,68.54,70.31584042122317,-0.025255197272550434
2015-05-27,69.49,70.38584042122316,-0.012727565883450809
2015-05-28,69.56,69.50584042122318,0.0007792090340696944
2015-05-29,68.68,69.93584042122316,-0.01795703624435252
2015-06-01,69.11,69.86584042122318,-0.010818454579036074
2015-06-02,69.04,69.77584042122317,-0.01054577654358635
2015-06-03,68.95,69.03584042122316,-0.0012434182114593462
2015-06-04,68.21,69.19584042122317,-0.014247105248262892
2015-06-05,68.37,68.50584042122318,-0.001982902777163731
2015-06-08,67.68,68.77584042122317,-0.01593350825684714
2015-06-09,67.95,70.45584042122317,-0.035566113557682355
2015-06-10,69.63,70.46584042122316,-0.011861639855946793
2015-06-11,69.64,70.15584042122316,-0.007352779442538204
2015-06-12,69.33,69.39584042122316,-0.0009487661050505691
2015-06-15,68.57,69.83584042122317,-0.0181259424041883
2015-06-16,69.01,69.57584042122316,-0.008132714140389408
2015-06-17,68.75,70.32584042122316,-0.022407701234489652
2015-06-18,69.5,69.51584042122316,-0.00022786779426353654
2015-06-19,68.69,69.91584042122317,-0.01753308569042189
2015-06-22,69.09,70.24584042122316,-0.016454218702378176
2015-06-23,69.42,69.68584042122316,-0.0038148412879325244
2015-06-24,68.86,69.44584042122317,-0.008435932485945319
2015-06-25,68.62,69.57584042122316,-0.013738108162781093
2015-06-26,68.75,67.54584042122316,0.017827294342147137
2015-06-29,66.72,67.97584042122317,-0.01847480536380508
2015-06-30,67.15,68.72205523964257,-0.022875556241160222
2015-07-01,67.85,69.11205523964257,-0.018260999984249682
2015-07-02,68.24,68.99205523964257,-0.010900606410844338
2015-07-06,68.12,68.64205523964257,-0.007605472152894754
2015-07-07,67.77,67.60205523964257,0.002484314415620581
2015-07-08,66.73,67.92205523964256,-0.01755034112905962
2015-07-09,67.05,69.29205523964256,-0.03235659891871512
2015-07-10,68.42,70.39205523964257,-0.028015309865991433
2015-07-13,69.52,70.97205523964257,-0.02045953487946206
2015-07-14,70.1,70.89205523964257,-0.011172693991803873
2015-07-15,70.02,71.44205523964256,-0.019905015818378557
2015-07-16,70.57,71.75205523964257,-0.01647416559281356
2015-07-17,70.88,73.57205523964257,-0.03659073041895966
2015-07-20,72.7,72.89205523964257,-0.002634789745071142
2015-07-21,72.02,72.84205523964256,-0.011285448178776525
2015-07-22,71.97,72.62205523964256,-0.008978749465171076
2015-07-23,71.75,75.67205523964256,-0.05182963813024466
2015-07-24,74.8,74.73205523964256,0.0009091782654653269
2015-07-27,73.86,75.61205523964257,-0.02317163888866214
2015-07-28,74.74,76.88205523964257,-0.02786157618921281
2015-07-29,76.01,77.25205523964257,-0.016077957224433725
2015-07-30,76.38,76.21205523964257,0.002203650850634231
2015-07-31,75.34,76.64205523964257,-0.016988782928267443
2015-08-03,75.77,76.14205523964257,-0.004886330405340478
2015-08-04,75.27,75.85205523964257,-0.007673559243762895
2015-08-05,74.98,74.45205523964256,0.007091070335911054
2015-08-06,73.58,75.08205523964256,-0.020005515763365622
2015-08-07,74.21,75.25205523964257,-0.013847531955427983
2015-08-10,74.38,74.23205523964256,0.00199300369469535
2015-08-11,73.36,74.41205523964258,-0.014138236556623274
2015-08-12,73.54,74.80205523964258,-0.016871932670824985
2015-08-13,73.93,75.09205523964256,-0.015475075704534547
2015-08-14,74.22,75.28205523964257,-0.014107681256333549
2015-08-17,74.41,75.34205523964256,-0.012370982403890562
2015-08-18,74.47,75.27205523964257,-0.010655418363283431
2015-08-19,74.4,74.82205523964257,-0.0056407865072776175
2015-08-20,73.95,72.06205523964256,0.026198874762578983
2015-08-21,71.19,69.23205523964256,0.028280898979239133
2015-08-24,68.36,67.84205523964256,0.00763456765170023
2015-08-25,66.97,71.56205523964256,-0.06416885630611047
2015-08-26,70.69,73.27205523964257,-0.03523929049345942
2015-08-27,72.4,73.33205523964256,-0.01271006569496358
2015-08-28,72.46,72.17205523964256,0.003989698774703454
2015-08-31,71.3,69.83205523964256,0.0210210734213665
2015-09-01,68.96,70.49205523964257,-0.021733729204436503
2015-09-02,69.62,71.27205523964257,-0.02317956503552132
2015-09-03,70.4,70.03205523964257,0.005253947768609102
2015-09-04,69.16,71.40205523964256,-0.03140043003128812
2015-09-08,70.53,70.47205523964257,0.0008222374125514964
2015-09-09,69.6,71.10205523964257,-0.021125342081604326
2015-09-10,70.23,71.63205523964257,-0.0195730142734567
2015-09-11,70.76,70.88205523964257,-0.0017219483722630269
2015-09-14,70.01,71.38205523964257,-0.019221290771697763
2015-09-15,70.51,71.86205523964257,-0.018814591861223473
2015-09-16,70.99,71.83205523964256,-0.011722555296981851
2015-09-17,70.96,70.66205523964258,0.004216474589466168
2015-09-18,69.79,71.65205523964256,-0.02598746446860256
2015-09-21,70.78,71.12205523964256,-0.004809411630330773
2015-09-22,70.25,71.82205523964257,-0.02188819624274496
2015-09-23,70.95,71.11205523964257,-0.0022788715513347713
2015-09-24,70.24,71.56205523964256,-0.018474249170392754
2015-09-25,70.69,68.07205523964257,0.038458435714055605
2015-09-28,67.2,69.40205523964256,-0.03172896295417982
2015-09-29,68.53,70.53205523964257,-0.02838504043077017
2015-09-30,69.66,71.42182743182744,-0.024667913090142046
2015-10-01,69.99,72.10182743182743,-0.029289513276541834
2015-10-02,70.67,73.66182743182743,-0.04061571014642973
2015-10-05,72.23,73.51182743182743,-0.01743702308334194
2015-10-06,72.08,74.65182743182743,-0.03445096416663129
2015-10-07,73.22,75.33182743182743,-0.0280336678907539
2015-10-08,73.9,75.41182743182743,-0.020047616976184846
2015-10-09,73.98,76.42182743182744,-0.03195196338383399
2015-10-12,74.99,76.43182743182743,-0.0188642281661191
2015-10-13,75.0,75.63182743182743,-0.008353988701343296
2015-10-14,74.2,76.77182743182743,-0.03349962502991333
2015-10-15,75.34,77.43182743182743,-0.02701508541392894
2015-10-16,76.0,78.42182743182744,-0.03088205810981326
2015-10-19,76.99,77.71182743182743,-0.009288514447310603
2015-10-20,76.28,76.89182743182742,-0.007956989087947841
2015-10-21,75.46,77.85182743182743,-0.030722816801209807
2015-10-22,76.42,78.50182743182742,-0.026519477315802842
2015-10-23,77.07,79.61182743182745,-0.03192776141213505
2015-10-26,78.18,78.95182743182743,-0.009775928650845533
2015-10-27,77.52,80.30182743182743,-0.034642143532649716
2015-10-28,78.87,79.94182743182743,-0.013407592323823936
2015-10-29,78.51,79.01182743182743,-0.006351295092629106
2015-10-30,77.58,76.65182743182743,0.01210894246452332
2015-11-02,75.22,79.33182743182743,-0.05183074139267585
2015-11-03,77.9,79.78182743182744,-0.023587168812790438
2015-11-04,78.35,80.69182743182743,-0.02902186635698556
2015-11-05,79.26,80.18182743182743,-0.011496712676088428
2015-11-06,78.75,79.47182743182745,-0.009082809029988037
2015-11-09,78.04,80.91182743182743,-0.035493295887391696
2015-11-10,79.48,80.61182743182745,-0.014040463637728817
2015-11-11,79.18,79.74182743182743,-0.0070455800916744415
2015-11-12,78.31,79.54182743182743,-0.015486536726644684
2015-11-13,78.11,80.33182743182743,-0.02765812135561041
2015-11-16,78.9,80.26182743182743,-0.0169673115527319
2015-11-17,78.83,81.89182743182742,-0.03738868123777439
2015-11-18,80.46,81.58182743182743,-0.013750947571809169
2015-11-19,80.15,81.62182743182743,-0.01803227737159807
2015-11-20,80.19,81.54182743182743,-0.016578331322751105
2015-11-23,80.11,81.22182743182745,-0.013688776366927335
2015-11-24,79.79,80.99182743182743,-0.01483887288305763
2015-11-25,79.56,81.27182743182743,-0.02106298684206831
2015-11-27,79.84,80.44182743182743,-0.007481523618262709
2015-11-30,79.01,81.34182743182743,-0.028667015549677988
2015-12-01,79.91,80.47182743182745,-0.00698166612785589
2015-12-02,79.04,79.72182743182745,-0.00855258156758254
2015-12-03,78.29,81.83182743182743,-0.04328178342073641
2015-12-04,80.4,80.98182743182743,-0.007184666613225255
2015-12-07,79.55,80.50182743182742,-0.011823674843077003
2015-12-08,79.07,79.31182743182744,-0.003049071489814148
2015-12-09,77.88,79.55182743182743,-0.021015575453123603
2015-12-10,78.12,77.54182743182743,0.007456266989334104
2015-12-11,76.11,78.30182743182743,-0.027992034205532756
2015-12-14,76.87,80.05182743182743,-0.03974709302591617
2015-12-15,78.62,81.29182743182743,-0.03286710996954845
2015-12-16,79.86,80.12182743182743,-0.003267866450627377
2015-12-17,78.69,77.75182743182742,0.012066244603641696
2015-12-18,76.32,78.60182743182743,-0.0290302084109495
2015-12-21,77.17,78.81182743182744,-0.02083224669860151
2015-12-22,77.38,79.99182743182743,-0.032651178447615226
2015-12-23,78.56,79.69182743182743,-0.014202553364655368
2015-12-24,78.26,79.96182743182743,-0.021282998231604178
2015-12-28,78.53,80.64182743182742,-0.02618774275189517
2015-12-29,79.21,79.78182743182744,-0.007167389495008281
2015-12-30,78.35,78.98182743182743,-0.007999655773637149
2015-12-31,77.55,80.98271604938272,-0.042388255381425766
2016-01-04,75.7,81.55271604938271,-0.0717660469559187
2016-01-05,76.27,80.55271604938271,-0.05316662503046077
2016-01-06,75.27,79.07271604938272,-0.0480913801798315
2016-01-07,73.79,78.16271604938271,-0.055943757719729814
2016-01-08,72.88,79.20271604938272,-0.07982953571239304
2016-01-11,73.92,80.04271604938272,-0.07649310707554302
2016-01-12,74.76,78.38271604938272,-0.04621830209481814
2016-01-13,73.1,79.08271604938271,-0.0756513729959255
2016-01-14,73.8,77.11271604938271,-0.042959400460765296
2016-01-15,71.83,76.67271604938271,-0.06316087780513291
2016-01-19,71.39,75.96271604938273,-0.06019684770631484
2016-01-20,70.68,76.84271604938272,-0.08019909194024666
2016-01-21,71.56,77.98271604938272,-0.08236076370199152
2016-01-22,72.7,77.02271604938272,-0.05612261253694606
2016-01-25,71.74,77.16271604938271,-0.07027637604037007
2016-01-26,71.88,76.19271604938271,-0.05660273413258454
2016-01-27,70.91,74.61271604938271,-0.04962580435930064
2016-01-28,69.33,79.77271604938272,-0.13090586063182597
2016-01-29,74.49,79.66271604938271,-0.06493271012974455
2016-02-01,74.38,78.68271604938272,-0.05468438642461526
2016-02-02,73.4,79.66271604938271,-0.07861539701333387
2016-02-03,74.38,78.96271604938273,-0.05803645414776182
2016-02-04,73.68,76.82271604938272,-0.04090868184564744
2016-02-05,71.54,73.05271604938271,-0.020707184225157715
2016-02-08,67.77,73.61271604938271,-0.0793710158101375
2016-02-09,68.33,75.43271604938272,-0.09415962226168373
2016-02-10,70.15,73.75271604938271,-0.04884858812481474
2016-02-11,68.47,75.70271604938272,-0.09554103771738709
2016-02-12,70.42,76.38271604938272,-0.07806368191369006
2016-02-16,71.1,77.31271604938271,-0.08035826920650946
2016-02-17,72.03,76.52271604938272,-0.05871088065514318
2016-02-18,71.24,76.81271604938271,-0.07254939463148302
2016-02-19,71.53,78.34271604938272,-0.08696042711984064
2016-02-22,73.06,77.43271604938272,-0.05647116971325161
2016-02-23,72.15,77.13271604938272,-0.0645992557320636
2016-02-24,71.85,78.55271604938271,-0.0853276167455369
2016-02-25,73.27,78.01271604938272,-0.06079414087288726
2016-02-26,72.73,77.67271604938271,-0.06363516432514393
2016-02-29,72.39,79.92271604938271,-0.09425000077235102
2016-03-01,74.64,79.58271604938271,-0.06210790853526105
2016-03-02,74.3,79.19271604938271,-0.061782399865307425
2016-03-03,73.91,79.18271604938272,-0.06658922947394685
2016-03-04,73.9,77.22271604938271,-0.043027702460735506
2016-03-07,71.94,75.90271604938272,-0.05220782938524304
2016-03-08,70.62,75.96271604938273,-0.07033339942596939
2016-03-09,70.68,75.50271604938271,-0.06387473592643211
2016-03-10,70.22,76.91271604938271,-0.08701702908379383
2016-03-11,71.63,76.77271604938272,-0.06698624607829118
2016-03-14,71.49,77.19271604938271,-0.07387634923655884
2016-03-15,71.91,77.65271604938272,-0.0739538337040353
2016-03-16,72.37,78.42271604938271,-0.07718064808634428
2016-03-17,73.14,79.06271604938271,-0.07491161884298758
2016-03-18,73.78,79.05271604938271,-0.06669873361579304
2016-03-21,73.77,78.24271604938272,-0.057164631741052796
2016-03-22,72.96,79.19271604938271,-0.07870314797002465
2016-03-23,73.91,79.42271604938271,-0.06940981527193146
2016-03-24,74.14,79.36271604938271,-0.06580818184363701
2016-03-28,74.08,80.66271604938271,-0.08160791468207806
2016-03-29,75.38,82.06271604938271,-0.08143425383777547
2016-03-30,76.78,81.76271604938272,-0.06094117576002822
2016-03-31,76.48,84.1889238410596,-0.09156696022879796
2016-04-01,77.59,84.4289238410596,-0.08100214393273697
2016-04-04,77.83,83.5689238410596,-0.0686729417740799
2016-04-05,76.97,84.80892384105961,-0.09243041281540765
2016-04-06,78.21,84.1789238410596,-0.07090758076605597
2016-04-07,77.58,84.6289238410596,-0.0832921360821991
2016-04-08,78.03,84.4189238410596,-0.07568118083438724
2016-04-11,77.82,85.1189238410596,-0.08574971947118015
2016-04-12,78.52,86.30892384105961,-0.09024471044735938
2016-04-13,79.71,86.9289238410596,-0.08304398032418592
2016-04-14,80.33,86.6789238410596,-0.07324645438262967
2016-04-15,80.08,88.0489238410596,-0.0905056358831211
2016-04-18,81.45,87.3489238410596,-0.06753287369393701
2016-04-19,80.75,87.74892384105961,-0.07976079403249225
2016-04-20,81.15,87.38892384105961,-0.07139261552650278
2016-04-21,80.79,85.7089238410596,-0.05739103491932007
2016-04-22,79.11,84.7389238410596,-0.06642666186813373
2016-04-25,78.14,85.1289238410596,-0.08209811102638054
2016-04-26,78.53,85.3589238410596,-0.0800024594238703
2016-04-27,78.76,84.27892384105961,-0.06548403313107864
2016-04-28,77.68,83.8389238410596,-0.07346138951801873
2016-04-29,77.24,85.05892384105961,-0.09192361586504416
2016-05-02,78.46,83.7889238410596,-0.06359938279155031
